traj,method,dJ_raw,det_vs_M0,et
vi,M0_raw_p2p,0.0055998527796302,0.0,150.21328773280908
vi,M0_raw_p2p,0.0052829551727379,0.0,145.48377781991528
vi,M0_raw_p2p,0.0059239064224404,0.0,148.71642313707548
vi,M0_raw_p2p,0.0058646571764797,0.0,150.5500665247735
vi,M0_raw_p2p,0.0064493877667061,0.0,153.71366578835097
vi,M0_raw_p2p,0.0073480827766378,0.0,160.4758643315692
vi,M0_raw_p2p,0.0067824553110297,0.0,157.37343486060928
vi,M0_raw_p2p,0.0054979094888629,0.0,146.34510465975413
vi,M0_raw_p2p,0.0059110402643497,0.0,149.84050863679676
vi,M0_raw_p2p,0.0074032284148527,0.0,161.54767054974485
vi,M0_raw_p2p,0.0078376912325972,0.0,165.11404010032882
vi,M0_raw_p2p,0.0064773154341317,0.0,155.58155335010613
vi,M0_raw_p2p,0.0059088075042644,0.0,150.46731700364728
vi,M0_raw_p2p,0.0052980848693269,0.0,142.57764201744615
vi,M0_raw_p2p,0.0051531350267345,0.0,137.61304900585557
vi,M0_raw_p2p,0.0054521772772879,0.0,145.69532369131554
vi,M0_raw_p2p,0.0057428931481909,0.0,150.79603783598554
vi,M0_raw_p2p,0.0058883417728794,0.0,153.42109707672154
vi,M0_raw_p2p,0.0055399782366487,0.0,151.02728276871946
vi,M0_raw_p2p,0.0052132478503592,0.0,145.31683514011615
vi,M0_raw_p2p,0.0044960335308407,0.0,134.2610933890281
vi,M0_raw_p2p,0.005560353268789,0.0,142.68215970212273
vi,M0_raw_p2p,0.0061214416884357,0.0,148.0058691357103
vi,M0_raw_p2p,0.0059756358119872,0.0,149.94293559396587
vi,M0_raw_p2p,0.0059372669882836,0.0,151.4525736758377
vi,M0_raw_p2p,0.0053978790112008,0.0,143.54164419911646
vi,M0_raw_p2p,0.00518184500415,0.0,142.9144475278715
vi,M0_raw_p2p,0.0049427934963002,0.0,138.08906217385436
vi,M0_raw_p2p,0.0059415758717252,0.0,151.10847481377692
vi,M0_raw_p2p,0.0060624604823006,0.0,152.70978278288007
vi,M0_raw_p2p,0.0061903431643045,0.0,155.51164313387608
vi,M0_raw_p2p,0.0057373429869749,0.0,150.77622149254947
vi,M0_raw_p2p,0.0054419749556701,0.0,142.9207220869589
vi,M0_raw_p2p,0.0056532954312121,0.0,146.13187207268174
vi,M0_raw_p2p,0.0048487963545337,0.0,140.4697413618283
vi,M0_raw_p2p,0.0052857721153073,0.0,145.17656821009552
vi,M0_raw_p2p,0.0055291585091841,0.0,149.5814655486203
vi,M0_raw_p2p,0.0060989599851352,0.0,153.2348873357083
vi,M0_raw_p2p,0.0060677465823199,0.0,151.82725281081477
vi,M0_raw_p2p,0.0055570709908168,0.0,147.04226207341455
vi,M0_raw_p2p,0.0055790727201058,0.0,146.57261339987306
vi,M0_raw_p2p,0.0054933948979744,0.0,144.65174663817623
vi,M0_raw_p2p,0.0060178645949903,0.0,149.36010390970475
vi,M0_raw_p2p,0.0072878558487931,0.0,160.24068067590756
vi,M0_raw_p2p,0.0071896216183366,0.0,159.12579005109154
vi,M0_raw_p2p,0.0059327536263163,0.0,148.6976320882904
vi,M0_raw_p2p,0.0052896834062992,0.0,140.17590728802492
vi,M0_raw_p2p,0.0062469999989805,0.0,153.4255241375386
vi,M0_raw_p2p,0.0072449518071669,0.0,160.4164466702503
vi,M0_raw_p2p,0.0065848129326841,0.0,156.01867013861295
vi,M0_raw_p2p,0.0057372562582893,0.0,148.8239941304845
vi,M0_raw_p2p,0.0054979832848372,0.0,141.36939411395073
vi,M0_raw_p2p,0.0051299906897421,0.0,134.50930788705188
vi,M0_raw_p2p,0.0052834134590376,0.0,140.62938667261983
vi,M0_raw_p2p,0.0054097684376141,0.0,146.1834752608405
vi,M0_raw_p2p,0.0055881893357002,0.0,152.20455816014305
vi,M0_raw_p2p,0.0057177181032343,0.0,150.69311814827188
vi,M0_raw_p2p,0.0057592928883401,0.0,149.38511522807283
vi,M0_raw_p2p,0.0046840289706034,0.0,134.0081653790296
vi,M0_raw_p2p,0.0057363457632187,0.0,144.38033884124337
vi,M0_raw_p2p,0.0061482562428394,0.0,148.87172133730414
vi,M0_raw_p2p,0.0058276412764457,0.0,149.1336892035042
vi,M0_raw_p2p,0.005904127952707,0.0,150.35516294887526
vi,M0_raw_p2p,0.0054525815270786,0.0,143.78404514850806
vi,M0_raw_p2p,0.0049886564867238,0.0,139.29281742297283
vi,M0_raw_p2p,0.0052684939072691,0.0,140.73411180044528
vi,M0_raw_p2p,0.0060916918556263,0.0,152.58342760433018
vi,M0_raw_p2p,0.0062144431254605,0.0,155.3584182942719
vi,M0_raw_p2p,0.0058240284922247,0.0,154.9310343215925
vi,M0_raw_p2p,0.0058887544560683,0.0,151.60713963371862
vi,M0_raw_p2p,0.0052735143955397,0.0,141.60235729512584
vi,M0_raw_p2p,0.0057198663864798,0.0,147.2192248697433
vi,M0_raw_p2p,0.0050973795570542,0.0,142.97439667322945
vi,M0_raw_p2p,0.0051746968951961,0.0,144.91023061336486
vi,M0_raw_p2p,0.0055874358820668,0.0,149.922433238019
vi,M0_raw_p2p,0.0058891935200764,0.0,153.56907382298374
vi,M0_raw_p2p,0.0061633147253804,0.0,153.83096097291065
vi,M0_raw_p2p,0.006188829502708,0.0,157.36190051746766
vi,M0_raw_p2p,0.0060451720126223,0.0,158.48341278192467
vi,M0_raw_p2p,0.0064236773914484,0.0,163.0950185729123
vi,M0_raw_p2p,0.0070308505016114,0.0,165.7026831257924
vi,M0_raw_p2p,0.0079784299252105,0.0,173.17186035793398
vi,M0_raw_p2p,0.0089984479467626,0.0,179.55956163217843
vi,M0_raw_p2p,0.007651310014899,0.0,171.70794254473446
vi,M0_raw_p2p,0.0062444856474155,0.0,157.97110075949666
vi,M0_raw_p2p,0.0074726318518165,0.0,169.00418317221917
vi,M0_raw_p2p,0.0088976993288683,0.0,177.00262098992465
vi,M0_raw_p2p,0.0094741247304813,0.0,181.34428975992185
vi,M0_raw_p2p,0.0076413971437121,0.0,170.11749482180932
vi,M0_raw_p2p,0.0069282675223798,0.0,165.7954790920251
vi,M0_raw_p2p,0.0062284788400549,0.0,157.67035484980153
vi,M0_raw_p2p,0.0060742022410393,0.0,155.9929060615343
vi,M0_raw_p2p,0.0070678707989857,0.0,166.86330740421408
vi,M0_raw_p2p,0.0074362753404368,0.0,172.5600364430163
vi,M0_raw_p2p,0.006872636850408,0.0,166.0177873164014
vi,M0_raw_p2p,0.0062437977801814,0.0,161.4078916359028
vi,M0_raw_p2p,0.0054513890266952,0.0,153.54050794159485
vi,M0_raw_p2p,0.0056046351086762,0.0,150.8097917659292
vi,M0_raw_p2p,0.007103118228604,0.0,163.55080020957504
