et_mm,eR_deg,g_corr_gt,J_raw_gt,J_raw_final,dJ_raw,iters,on_bound,wmean,method,traj,order,scan,view,ndist,in_support,nearest_d
184.52507598580365,2.159431496192913,0.03199802846416778,0.011732929283233601,0.005284137311904781,0.00644879197132882,40,0,0.779860993777814,M2_raw_huber,v,1734,1734,oracle,2.828569351410015,False,2.828569351410015
188.72544256010994,2.6747522041868623,0.08300342513762647,0.011732929283233601,0.005237250285634139,0.006495678997599462,40,0,1.0,M3_global_corr,v,1734,1734,oracle,2.828569351410015,False,2.828569351410015
155.80806806895635,3.026337245222175,0.0707283063526101,0.011732929283233601,0.005830443654850775,0.005902485628382826,40,0,1.0,M4_patch_corr,v,1734,1734,oracle,2.828569351410015,False,2.828569351410015
115.15305989508843,2.7801050466895987,0.053554466968411575,0.011732929283233601,0.006504691801630091,0.00522823748160351,40,0,1.0,M5_full_corr,v,1734,1734,oracle,2.828569351410015,False,2.828569351410015
180.19047824063708,2.7004508780519134,0.07690494143943973,0.01210448174823575,0.005057475932604168,0.007047005815631582,40,0,1.0,M0_raw_p2p,v,1735,1735,oracle,2.827288803699746,False,2.827288803699746
171.35244093188967,1.0690900581395748,0.06847550799308512,0.01210448174823575,0.005110962538999268,0.0069935192092364816,40,0,1.0,M1_raw_p2l,v,1735,1735,oracle,2.827288803699746,False,2.827288803699746
183.60428675181004,2.070466738510019,0.034087358293728026,0.01210448174823575,0.005297614925161909,0.006806866823073841,40,0,0.7774004179084197,M2_raw_huber,v,1735,1735,oracle,2.827288803699746,False,2.827288803699746
187.30973856786218,2.704791570847433,0.08602827752916745,0.01210448174823575,0.005228699019715708,0.006875782728520042,40,0,1.0,M3_global_corr,v,1735,1735,oracle,2.827288803699746,False,2.827288803699746
154.22371735417573,3.358843207441602,0.07268479402496214,0.01210448174823575,0.005820768035037749,0.0062837137131980005,40,0,1.0,M4_patch_corr,v,1735,1735,oracle,2.827288803699746,False,2.827288803699746
113.76971822207723,2.584312962407765,0.055652935600418035,0.01210448174823575,0.006445386120460401,0.0056590956277753485,40,0,1.0,M5_full_corr,v,1735,1735,oracle,2.827288803699746,False,2.827288803699746
187.85071758919725,2.656803636916472,0.07336206473216568,0.01155918776932308,0.004550997694474421,0.007008190074848659,40,0,1.0,M0_raw_p2p,v,1736,1736,oracle,2.8262163964221867,False,2.8262163964221867
181.3076201509253,1.9002981095532814,0.0634238090935214,0.01155918776932308,0.004574033380402406,0.006985154388920674,40,0,1.0,M1_raw_p2l,v,1736,1736,oracle,2.8262163964221867,False,2.8262163964221867
185.8156751095456,2.1026262763051946,0.03127923856081682,0.01155918776932308,0.00472206980053696,0.006837117968786119,40,0,0.7898488105023556,M2_raw_huber,v,1736,1736,oracle,2.8262163964221867,False,2.8262163964221867
194.96079991936168,2.66614780455616,0.08346430782282441,0.01155918776932308,0.004726454965656838,0.006832732803666241,40,0,1.0,M3_global_corr,v,1736,1736,oracle,2.8262163964221867,False,2.8262163964221867
163.62046228311684,2.5339135411164624,0.0702877589711846,0.01155918776932308,0.005363415856610857,0.006195771912712223,40,0,1.0,M4_patch_corr,v,1736,1736,oracle,2.8262163964221867,False,2.8262163964221867
124.98766644484199,2.2708064215883748,0.054447519135791295,0.01155918776932308,0.005808636169809056,0.005750551599514023,40,0,1.0,M5_full_corr,v,1736,1736,oracle,2.8262163964221867,False,2.8262163964221867
186.38380216788156,2.778330455075773,0.07219344153179454,0.011840387848868523,0.004869966539605889,0.006970421309262634,40,0,1.0,M0_raw_p2p,v,1737,1737,oracle,2.825366663710489,False,2.825366663710489
