trajectory,order,kind,idempotence_P2_rel,normal_eq_resid_rel,pjw_identity_abs_diff_mm,factor2_grad_maxdiff,fd_step_vs_cached_maxdiff
II,165,p2p,2.972342745155145e-15,8.551114310082204e-16,3.469446951953614e-15,5.1781680712831464e-05,0.0
II,165,p2l,1.3335056966246844e-14,8.324190851724572e-16,2.0122792321330962e-13,0.001057417806175777,0.0
II,166,p2p,1.2627574715535382e-15,1.0236469039371037e-15,1.3877787807814457e-14,8.10757494573433e-05,0.0
II,166,p2l,8.967639636809631e-15,3.78306398662471e-16,2.0816681711721685e-13,0.0008231634215941225,0.0
II,167,p2p,6.417007990086242e-16,7.5895102769558105e-16,3.469446951953614e-15,0.00011634017145471364,0.0
II,167,p2l,1.2665338252321789e-14,6.969012815938362e-16,2.3592239273284576e-13,0.0012061904014506386,0.0
II,168,p2p,3.2366337648715466e-15,8.042084142078144e-16,1.3877787807814457e-14,0.0001561779124020559,0.0
II,168,p2l,1.0822499911792315e-14,2.795090090953789e-16,1.8735013540549517e-13,0.00040313243521355487,0.0
II,169,p2p,2.649682538505953e-15,5.082234024566256e-16,0.0,0.00026229339391048434,0.0
II,169,p2l,9.950206489789852e-15,5.310862525548512e-16,1.8041124150158794e-13,0.0005573347122498415,0.0
II,170,p2p,1.6749662364078287e-15,5.690254595551245e-16,1.0408340855860843e-14,0.0001288322591374196,0.0
II,170,p2l,1.2236535709188389e-14,1.342034086678537e-15,1.8735013540549517e-13,0.0006042615225955034,0.0
II,171,p2p,4.393089165880039e-15,1.834458636376964e-16,0.0,8.731592534892826e-05,0.0
II,171,p2l,1.1111357867876675e-14,5.319546036434531e-16,1.942890293094024e-13,0.0012393570297335108,0.0
II,172,p2p,3.9975828968698276e-15,8.914542061773188e-16,1.0408340855860843e-14,0.00019808159577819513,0.0
II,172,p2l,9.364831719941124e-15,1.716370157992602e-15,1.8735013540549517e-13,0.0017212197500707238,0.0
II,173,p2p,2.321335174642821e-15,8.074971093920116e-16,0.0,0.0001327586972381823,0.0
II,173,p2l,1.1220108825091964e-14,9.341766640454563e-16,1.8735013540549517e-13,0.0022583623844519628,0.0
II,174,p2p,2.8587105318364995e-15,3.0036983497667306e-16,0.0,0.00013025974571527488,0.0
II,174,p2l,1.304977640970336e-14,6.156064341960776e-16,2.0122792321330962e-13,0.000890311114971197,0.0
II,175,p2p,1.751375617752002e-15,7.082713915581315e-16,3.469446951953614e-15,4.338631194091003e-05,0.0
II,175,p2l,1.2887339759258813e-14,1.0118126236004035e-15,2.2898349882893854e-13,0.001454530471312027,0.0
II,176,p2p,2.584854651164549e-15,2.7847138820783943e-16,0.0,8.018224654661454e-05,0.0
II,176,p2l,1.5963217160955967e-14,4.3164574250547696e-16,2.636779683484747e-13,0.0029023463183689303,0.0
II,177,p2p,2.5163281084788714e-15,3.4077259134767916e-16,1.0408340855860843e-14,0.0001208391261288376,0.0
II,177,p2l,1.3162221527977097e-14,1.194125078470111e-15,3.3306690738754696e-13,0.0039554591991635205,0.0
II,178,p2p,1.1770834462495556e-15,5.151754949804115e-16,3.469446951953614e-15,8.895096052367879e-05,0.0
II,178,p2l,1.322333684608552e-14,5.743790955936285e-16,3.400058012914542e-13,0.0018781306493105797,0.0
II,179,p2p,2.2261964054766917e-15,1.454849525510556e-15,2.0816681711721685e-14,0.00013812669724133902,0.0
II,179,p2l,1.3992922906425605e-14,7.077155116177097e-16,3.3306690738754696e-13,0.002685708263697878,0.0
II,180,p2p,3.980190233954728e-15,1.4398269632704774e-15,1.734723475976807e-14,6.96851567223971e-05,0.0
II,180,p2l,8.653412979469635e-15,6.660294438640201e-16,1.8041124150158794e-13,0.004031316768026174,0.0
II,181,p2p,2.0080723289456423e-15,8.375559681843598e-16,6.938893903907228e-15,7.868534438872782e-05,0.0
II,181,p2l,7.799306331884454e-15,6.499554030264927e-16,1.8041124150158794e-13,0.0027641614331656503,0.0
II,182,p2p,2.5030634476427786e-15,7.038113088993995e-16,6.938893903907228e-15,0.00010230932048569535,0.0
II,182,p2l,9.173985116297656e-15,5.1554178892583785e-16,1.942890293094024e-13,0.0063790202599467785,0.0
II,183,p2p,4.172563055256602e-15,2.6884785861301047e-16,0.0,6.693028716929332e-05,0.0
II,183,p2l,1.3898694855783486e-14,1.2344077601979768e-15,2.0122792321330962e-13,0.014511353218563108,0.0
II,184,p2p,3.4749999047551887e-15,5.043569655366739e-16,3.469446951953614e-15,0.00020151549251544443,0.0
II,184,p2l,8.85806330270368e-15,4.175112829655575e-16,1.5959455978986625e-13,0.011768326483285237,0.0
II,185,p2p,2.9749708439047504e-15,7.447235825366721e-16,3.469446951953614e-15,4.00753371088379e-05,0.0
II,185,p2l,1.107309891099784e-14,7.882061980543229e-16,1.942890293094024e-13,0.001901992153734773,0.0
II,186,p2p,2.233467220364061e-15,7.80281744563961e-16,1.0408340855860843e-14,0.0001542355796750952,0.0
II,186,p2l,1.1528307059487185e-14,1.0808010783475483e-15,2.42861286636753e-13,0.005126871214820588,0.0
II,187,p2p,2.2674062920517315e-15,3.3132762411077857e-16,3.469446951953614e-15,0.0001950149062964028,0.0
II,187,p2l,8.743951989951339e-15,3.12970314941555e-16,1.5959455978986625e-13,0.006213206402201769,0.0
II,188,p2p,3.278518469456645e-15,1.118126903819991e-15,1.0408340855860843e-14,0.00017372541705926604,0.0
II,188,p2l,8.121675026238456e-15,2.2843650516111306e-16,1.3877787807814457e-13,0.006566078519913887,0.0
II,189,p2p,1.4458106747985095e-15,7.885691129948135e-16,1.0408340855860843e-14,0.00020376931996616415,0.0
II,189,p2l,7.862439926458015e-15,5.149939252961809e-16,1.3183898417423734e-13,0.020443053864530575,0.0
II,190,p2p,1.6455501308749707e-15,1.5432133969762544e-15,1.734723475976807e-14,0.00010075863292441367,0.0
II,190,p2l,8.5247954362029e-15,3.456152575020893e-16,1.457167719820518e-13,0.03412586081899908,0.0
II,191,p2p,1.6037883718483365e-15,6.896329910702983e-16,1.0408340855860843e-14,0.00018511296593214793,0.0
II,191,p2l,7.21223153208433e-15,6.40912228718857e-16,1.1102230246251565e-13,0.005342539775693218,0.0
II,192,p2p,2.4107043879894968e-15,5.786389950386933e-16,6.938893903907228e-15,0.00011866351481154905,0.0
II,192,p2l,8.478135420796627e-15,1.8643117956401737e-16,9.71445146547012e-14,0.011198571013045357,0.0
II,193,p2p,3.2087865416412973e-15,1.6983492814255494e-15,1.734723475976807e-14,7.585727779547795e-05,0.0
II,193,p2l,8.070115965963472e-15,3.9066300284142736e-16,1.3877787807814457e-13,0.0050288507528959345,0.0
II,194,p2p,9.27457201363067e-15,1.1628743998117228e-14,0.0,0.00011606798690395187,0.0
II,194,p2l,6.298369289089846e-15,6.317249582811939e-16,1.1102230246251565e-13,0.004076943831002003,0.0
II,195,p2p,5.124467708371967e-15,4.328169779560276e-15,6.938893903907228e-15,7.044707007835063e-05,0.0
II,195,p2l,6.740933185153673e-15,7.11003551658488e-16,1.1102230246251565e-13,0.0018567628923974316,0.0
II,196,p2p,3.012038271646132e-15,1.738810165677028e-15,3.469446951953614e-15,0.00014124883554179554,0.0
II,196,p2l,7.969018693430032e-15,2.766339967213581e-16,1.457167719820518e-13,0.0029609580901673316,0.0
II,197,p2p,2.5902136489652173e-15,1.6941875592698336e-15,6.938893903907228e-15,0.00027941930860024035,0.0
II,197,p2l,7.214839315859752e-15,5.29793817803476e-16,1.1102230246251565e-13,0.003311365580398634,0.0
II,238,p2p,1.893676795784602e-15,5.487429208568648e-16,0.0,0.00011195345347018732,0.0
II,238,p2l,7.138315975870525e-15,3.403848580139182e-16,1.1102230246251565e-13,0.0009351453095953121,0.0
II,239,p2p,2.0721346009243454e-15,1.1163430589262187e-15,3.469446951953614e-15,0.0001666325969574521,0.0
II,239,p2l,1.2965404909157285e-14,8.508114727436015e-16,1.1102230246251565e-13,0.0013192422624205722,0.0
II,240,p2p,8.852463425560404e-15,1.3687582914846071e-14,0.0,6.0455559742621234e-05,0.0
II,240,p2l,1.3531892398038925e-14,2.3116208400510195e-16,1.3183898417423734e-13,0.001666222315803333,0.0
II,241,p2p,6.356470166072692e-15,4.141337603681205e-15,0.0,0.00014795637998047317,0.0
II,241,p2l,6.844150298386055e-15,8.827287769673548e-16,9.367506770274758e-14,0.0009016204557544226,0.0
II,242,p2p,6.9285922913579685e-15,1.5088161080936822e-15,0.0,9.754447910239055e-05,0.0
II,242,p2l,1.9644617939669357e-14,5.036090072301075e-16,1.3877787807814457e-13,0.001853238028416266,0.0
II,243,p2p,2.3064249209151023e-15,9.843166703806132e-16,3.469446951953614e-15,0.00011953854609066225,0.0
II,243,p2l,2.072104479456462e-14,7.423821451370827e-16,1.457167719820518e-13,0.0019880768314824958,0.0
II,244,p2p,1.590728550811511e-15,3.6028067911841395e-16,0.0,0.00021127407967899345,0.0
II,244,p2l,1.519355629544434e-14,1.7173733022696689e-16,1.5265566588595902e-13,0.0017031094771038126,0.0
II,245,p2p,5.026337297657896e-15,2.7336438691265363e-16,0.0,0.0001088769692356821,0.0
II,245,p2l,1.7468492660632717e-14,6.1118889133260555e-16,1.491862189340054e-13,0.002226510386009698,0.0
II,246,p2p,8.8776812745687255e-16,4.80731573419052e-16,3.469446951953614e-15,5.946370501153873e-05,0.0
II,246,p2l,1.2360897537092483e-14,1.6415366871764568e-16,1.3183898417423734e-13,0.0015794254756778885,0.0
II,247,p2p,1.116192465096828e-15,4.63763314470247e-16,3.469446951953614e-15,0.0001404572969508442,0.0
II,247,p2l,2.1297637663793014e-14,2.3685969720632634e-16,1.6306400674181987e-13,0.002530860956040444,0.0
II,248,p2p,1.970158551227585e-15,4.668479099605086e-16,0.0,0.00017792969098637864,0.0
II,248,p2l,1.443306010606587e-14,2.4006193353985253e-16,1.3877787807814457e-13,0.001977409369568705,0.0
II,249,p2p,2.3801482350483e-15,5.341182852386889e-16,3.469446951953614e-15,0.0001086718252037936,0.0
II,249,p2l,2.4865530277233218e-14,3.401962084992266e-16,2.2898349882893854e-13,0.0019040519659820794,0.0
II,250,p2p,1.3297257432899813e-15,9.049670764703767e-16,3.469446951953614e-15,0.00011157646809151775,0.0
II,250,p2l,2.035293339664072e-14,5.651100541971858e-17,1.9081958235744878e-13,0.0029222281599127764,0.0
II,251,p2p,2.373952577361709e-15,7.098680208370326e-16,3.469446951953614e-15,0.00019695906771410865,0.0
II,251,p2l,2.0317061738213376e-14,3.475581201881181e-16,1.734723475976807e-13,0.0021475506820999267,0.0
II,252,p2p,1.3172610354684055e-15,4.206289829717382e-16,3.469446951953614e-15,0.00011457567287812736,0.0
II,252,p2l,9.865723082183089e-15,6.077005856624237e-17,1.4224732503009818e-13,0.00168782410357151,0.0
II,253,p2p,1.6483703578183424e-15,3.653308035144639e-16,3.469446951953614e-15,0.0001358023858362284,0.0
II,253,p2l,1.975356785465969e-14,2.273605341365027e-16,1.491862189340054e-13,0.0026590151091022973,0.0
II,254,p2p,9.027945888881238e-16,8.731894484033749e-16,0.0,5.560651176963246e-05,0.0
II,254,p2l,1.9818087423920378e-14,6.092091201268973e-16,2.0122792321330962e-13,0.002130213154312312,0.0
II,255,p2p,2.425641814256067e-15,7.544439982059167e-16,6.938893903907228e-15,0.0001436663768362885,0.0
II,255,p2l,1.1745448468734668e-14,9.561257140739292e-16,1.2836953722228372e-13,0.002913065138430167,0.0
II,256,p2p,1.8382931630576726e-15,1.335552951465896e-15,1.0408340855860843e-14,0.00010374985860325879,0.0
II,256,p2l,1.3508952321037923e-14,1.0046689084369561e-16,1.457167719820518e-13,0.001805692972778189,0.0
II,257,p2p,8.406244399539511e-16,1.4340098441455633e-15,1.0408340855860843e-14,3.468255304747876e-05,0.0
