experiment,scope,level_or_fold,method,metric,value,note
E1,III,L6,Raw,PatchRaw_gain_t_med,7.382479,
E1,III,L6,Raw,PatchRaw_frac_pos,0.675,
E1,IV,L0,Patch,et_med,140.367123,
E1,IV,L0,Patch,eR_med,1.844801,
E1,IV,L0,Patch,captureA_rate,0.0,
E1,IV,L0,Patch,captureB_rate,0.0,
E1,IV,L0,Patch,safeguard_rate,0.05,
E1,IV,L0,Patch,itercap_rate,0.9,
E1,IV,L0,Patch,numfail_rate,0.0,
E1,IV,L0,Patch,PatchRaw_gain_t_med,5.052362,
E1,IV,L0,Patch,PatchRaw_frac_pos,0.75,
E1,IV,L1,Patch,et_med,139.902563,
E1,IV,L1,Patch,eR_med,1.825677,
E1,IV,L1,Patch,captureA_rate,0.0,
E1,IV,L1,Patch,captureB_rate,0.0,
E1,IV,L1,Patch,safeguard_rate,0.075,
E1,IV,L1,Patch,itercap_rate,0.9,
E1,IV,L1,Patch,numfail_rate,0.0,
E1,IV,L1,Patch,PatchRaw_gain_t_med,5.0135,
E1,IV,L1,Patch,PatchRaw_frac_pos,0.725,
E1,IV,L2,Patch,et_med,139.709944,
E1,IV,L2,Patch,eR_med,1.813946,
E1,IV,L2,Patch,captureA_rate,0.0,
E1,IV,L2,Patch,captureB_rate,0.0,
E1,IV,L2,Patch,safeguard_rate,0.075,
E1,IV,L2,Patch,itercap_rate,0.8875,
E1,IV,L2,Patch,numfail_rate,0.0,
E1,IV,L2,Patch,PatchRaw_gain_t_med,5.171991,
E1,IV,L2,Patch,PatchRaw_frac_pos,0.7625,
E1,IV,L3,Patch,et_med,140.380436,
E1,IV,L3,Patch,eR_med,2.017294,
E1,IV,L3,Patch,captureA_rate,0.0,
E1,IV,L3,Patch,captureB_rate,0.0,
E1,IV,L3,Patch,safeguard_rate,0.075,
E1,IV,L3,Patch,itercap_rate,0.85,
E1,IV,L3,Patch,numfail_rate,0.0,
E1,IV,L3,Patch,PatchRaw_gain_t_med,5.829544,
E1,IV,L3,Patch,PatchRaw_frac_pos,0.7625,
E1,IV,L4,Patch,et_med,141.21379,
E1,IV,L4,Patch,eR_med,2.392913,
E1,IV,L4,Patch,captureA_rate,0.05,
E1,IV,L4,Patch,captureB_rate,0.0,
E1,IV,L4,Patch,safeguard_rate,0.0875,
E1,IV,L4,Patch,itercap_rate,0.9,
E1,IV,L4,Patch,numfail_rate,0.0,
E1,IV,L4,Patch,PatchRaw_gain_t_med,5.365607,
