geometry,dtype,mag,structured_J0,structured_et,nearest_noise_J0,nearest_noise_et,J0_gap,et_gap
GA,object,0.1,0.00010834236491285,1.8908795142658779,8.793398663636354e-05,0.1924177878862971,2.0408378276486468e-05,1.6984617263795807
GA,object,0.0,1.1975698755154788e-05,0.015729098473766,1.3742174319739363e-05,0.0295791552045762,1.7664755645845754e-06,-0.0138500567308102
GA,object,0.1,1.5002348910095933e-05,0.17955118716894436,1.3742174319739363e-05,0.0295791552045762,1.2601745903565693e-06,0.14997203196436815
GA,object,0.25,2.572041186139914e-05,0.42173407111689987,3.370094865793119e-05,0.0759494421843455,7.980536796532048e-06,0.34578462893255435
GA,object,0.5,2.68703843998235e-05,0.06676124100194185,3.370094865793119e-05,0.0759494421843455,6.830564258107687e-06,-0.009188201182403655
GA,object,1.0,7.128780174099703e-05,0.8177013668517481,8.793398663636354e-05,0.1924177878862971,1.6646184895366503e-05,0.625283578965451
GA,object,2.0,0.0002437311000922,0.10006974128485241,8.793398663636354e-05,0.1924177878862971,0.00015579711345583647,-0.09234804660144469
GB,object,0.0,1.1987108966417316e-05,0.01826924999541785,1.3697532330309825e-05,0.045814783026068104,1.7104233638925092e-06,-0.027545533030650254
GB,object,2.0,1.3716005734300349e-05,0.9053625984659606,1.3697532330309825e-05,0.045814783026068104,1.847340399052381e-08,0.8595478154398924
GB,object,5.0,2.26670364822036e-05,2.2974478032050936,1.3697532330309825e-05,0.045814783026068104,8.969504151893774e-06,2.2516330201790256
GB,object,10.0,5.490895856032264e-05,9.779203418296412,3.361836472729445e-05,0.10533902838428574,2.129059383302819e-05,9.673864389912126
GB,object,25.0,0.00027985433832275,17.564955333848218,0.00045357521769005,1.7224459809183412,0.00017372087936730004,15.842509352929877
GB,object,50.0,0.00108304953283315,39.46576946794377,0.00045357521769005,1.7224459809183412,0.0006294743151431,37.74332348702543
GB,object,100.0,0.00429500048515385,80.76725997516454,0.0066241397404408,26.210089643639947,0.0023291392552869505,54.55717033152459
GB,object,0.0,1.1950862637112722e-05,0.0221387451390143,1.3697532330309825e-05,0.045814783026068104,1.7466696931971035e-06,-0.023676037887053802
GB,object,0.25,0.00269133832744855,0.025629368933027648,0.0017414161465269498,7.20713173105128,0.0009499221809216004,-7.181502362118253
GB,object,0.5,0.0191142801087928,0.0274922430223747,0.0066241397404408,26.210089643639947,0.012490140368351998,-26.18259740061757
GB,object,0.75,0.0527119625517821,0.027013146551195952,0.0066241397404408,26.210089643639947,0.0460878228113413,-26.183076497088752
GB,object,0.9,0.0951763851718614,0.0285337726101636,0.0066241397404408,26.210089643639947,0.0885522454314206,-26.181555871029783
GB,object,1.0,0.31994647396624176,300.0,0.0066241397404408,26.210089643639947,0.31332233422580097,273.78991035636005
GB,object,0.0,1.198991239509732e-05,0.02349005613181005,1.3697532330309825e-05,0.045814783026068104,1.7076199352125049e-06,-0.022324726894258053
GB,object,2.0,1.2105926250320133e-05,0.13162325559037916,1.3697532330309825e-05,0.045814783026068104,1.5916060799896918e-06,0.08580847256431105
GB,object,5.0,1.2950933900733339e-05,0.317004148990387,1.3697532330309825e-05,0.045814783026068104,7.465984295764863e-07,0.27118936596431886
GB,object,10.0,1.575161400337628e-05,0.620566039533851,1.3697532330309825e-05,0.045814783026068104,2.0540816730664534e-06,0.5747512565077829
GB,object,25.0,3.5376643312506816e-05,1.58016359530089,3.361836472729445e-05,0.10533902838428574,1.7582785852123659e-06,1.4748245669166042
GB,object,50.0,0.0001055612811535,3.5836471943425097,8.755745983662264e-05,0.3261786413627987,1.8003821316877366e-05,3.257468552979711
GB,object,100.0,0.00038585371133415,13.845619655957329,0.00045357521769005,1.7224459809183412,6.77215063559e-05,12.123173675038988
GB,object,0.0,1.1984506903160721e-05,0.023415733117262298,1.3697532330309825e-05,0.045814783026068104,1.7130254271491036e-06,-0.022399049908805806
GB,object,0.005,1.3747990948153803e-05,0.16948227575330005,1.3697532330309825e-05,0.045814783026068104,5.0458617843977596e-08,0.12366749272723195
GB,object,0.01,1.483616616476377e-05,0.0411646026577121,1.3697532330309825e-05,0.045814783026068104,1.1386338344539454e-06,-0.004650180368356002
GB,object,0.025,1.648138147157809e-05,0.05835866326949135,1.3697532330309825e-05,0.045814783026068104,2.783849141268266e-06,0.012543880243423247
GB,object,0.05,2.8417299777467155e-05,0.18394905310935966,3.361836472729445e-05,0.10533902838428574,5.201064949827295e-06,0.07861002472507392
GB,object,0.1,0.00010800638341615,0.7732868653090856,8.755745983662264e-05,0.3261786413627987,2.0448923579527355e-05,0.4471082239462869
GB,object,0.0,1.1955444921944663e-05,0.024432070636815753,1.3697532330309825e-05,0.045814783026068104,1.7420874083651625e-06,-0.02138271238925235
GB,object,0.1,1.5280007017351367e-05,0.13376831502726,1.3697532330309825e-05,0.045814783026068104,1.5824746870415417e-06,0.0879535320011919
GB,object,0.25,2.4707848263611106e-05,0.3476693475569732,3.361836472729445e-05,0.10533902838428574,8.910516463683344e-06,0.24233031917268746
GB,object,0.5,2.5787398843018178e-05,1.528214095852749,3.361836472729445e-05,0.10533902838428574,7.830965884276272e-06,1.4228750674684634
GB,object,1.0,6.746348799273455e-05,2.322519680972083,8.755745983662264e-05,0.3261786413627987,2.0093971843888092e-05,1.9963410396092842
GB,object,2.0,0.0002379581562035,3.8512023195118026,8.755745983662264e-05,0.3261786413627987,0.00015040069636687738,3.5250236781490036
GC,object,0.0,1.1956927815976904e-05,0.0425533472973352,1.3611057722419674e-05,0.05969083851335785,1.6541299064427702e-06,-0.01713749121602265
GC,object,2.0,1.2536800245684422e-05,0.2523424003479063,1.3611057722419674e-05,0.05969083851335785,1.074257476735252e-06,0.19265156183454843
GC,object,5.0,1.491872822021207e-05,0.5946338440048657,1.3611057722419674e-05,0.05969083851335785,1.3076704977923953e-06,0.5349430054915079
GC,object,10.0,2.0636280239844355e-05,0.9143519720513624,1.3611057722419674e-05,0.05969083851335785,7.025222517424681e-06,0.8546611335380045
GC,object,25.0,6.006500199814302e-05,2.3799774523509365,8.498819353494589e-05,0.7607844476383222,2.492319153680287e-05,1.6191930047126144
GC,object,50.0,0.00020491519482395,11.779784794156786,8.498819353494589e-05,0.7607844476383222,0.00011992700128900412,11.019000346518464
GC,object,100.0,0.0007933244274114001,21.052032505640817,0.000419601199389,3.455538252008014,0.0003737232280224001,17.5964942536328
GC,object,0.0,1.196117412015023e-05,0.04158214265729155,1.3611057722419674e-05,0.05969083851335785,1.6498836022694442e-06,-0.018108695856066302
GC,object,0.25,2.6213128827323488e-05,0.04202418690037775,3.349871163453045e-05,0.1923669399215054,7.28558280720696e-06,-0.15034275302112765
GC,object,0.5,9.386170887256667e-05,0.048034250950882595,8.498819353494589e-05,0.7607844476383222,8.873515337620784e-06,-0.7127501966874397
GC,object,0.75,0.00022192244877985,0.4433834307607998,8.498819353494589e-05,0.7607844476383222,0.0001369342552449041,-0.3174010168775224
GC,object,0.9,0.00038751000412835,1.84336277815026,0.000419601199389,3.455538252008014,3.209119526065003e-05,-1.6121754738577538
GC,object,1.0,0.00085100332968065,18.247626787018834,0.000419601199389,3.455538252008014,0.00043140213029165,14.792088535010821
GC,object,0.0,1.190490853992004e-05,0.04454285080894155,1.3611057722419674e-05,0.05969083851335785,1.7061491824996346e-06,-0.015147987704416305
GC,object,2.0,1.4079853433539838e-05,0.9884924209914396,1.3611057722419674e-05,0.05969083851335785,4.687957111201642e-07,0.9288015824780818
GC,object,5.0,2.34123135360397e-05,2.4784676713422344,1.3611057722419674e-05,0.05969083851335785,9.801255813620026e-06,2.418776832828877
GC,object,10.0,3.172327693316452e-05,1.0768906541627032,3.349871163453045e-05,0.1923669399215054,1.7754347013659296e-06,0.8845237142411979
GC,object,25.0,0.00011394042425330001,11.396635822391744,8.498819353494589e-05,0.7607844476383222,2.895223071835412e-05,10.635851374753422
GC,object,50.0,0.00042896703522275,23.165638435337897,0.000419601199389,3.455538252008014,9.36583583374998e-06,19.71010018332988
GC,object,100.0,0.00128146156934595,48.49455002424759,0.00138632021177405,12.127798320057005,0.00010485864242810007,36.366751704190584
GC,object,0.0,1.1973331977585669e-05,0.0426194374872611,1.3611057722419674e-05,0.05969083851335785,1.6377257448340054e-06,-0.01707140102609675
GC,object,0.005,1.1958586539704724e-05,0.0469798210995996,1.3611057722419674e-05,0.05969083851335785,1.6524711827149497e-06,-0.012711017413758255
GC,object,0.01,1.2124452736394363e-05,0.07193314067911445,1.3611057722419674e-05,0.05969083851335785,1.4866049860253106e-06,0.0122423021657566
GC,object,0.025,1.2612433753439037e-05,0.1119051614803421,1.3611057722419674e-05,0.05969083851335785,9.98623968980637e-07,0.05221432296698425
GC,object,0.05,1.3208442362869601e-05,0.0637468376765021,1.3611057722419674e-05,0.05969083851335785,4.0261535955007303e-07,0.004055999163144253
GC,object,0.1,1.4416298045602398e-05,0.11614155661528841,1.3611057722419674e-05,0.05969083851335785,8.052403231827238e-07,0.05645071810193056
GC,object,0.0,1.2034857220444392e-05,0.045353683902843805,1.3611057722419674e-05,0.05969083851335785,1.5762005019752825e-06,-0.014337154610514047
GC,object,0.1,1.1951732320732455e-05,0.0510404583686481,1.3611057722419674e-05,0.05969083851335785,1.6593254016872195e-06,-0.00865038014470975
GC,object,0.25,1.2268609742916485e-05,0.0831772011812633,1.3611057722419674e-05,0.05969083851335785,1.342447979503189e-06,0.02348636266790545
GC,object,0.5,1.3128487800991759e-05,0.1457420423019467,1.3611057722419674e-05,0.05969083851335785,4.82569921427915e-07,0.08605120378858885
GC,object,1.0,1.4694379226122081e-05,0.16812949465703408,1.3611057722419674e-05,0.05969083851335785,1.0833215037024072e-06,0.10843865614367623
GC,object,2.0,1.582332114543553e-05,0.23491156827802495,1.3611057722419674e-05,0.05969083851335785,2.2122634230158547e-06,0.1752207297646671
