scan_id,range_m,point_count,down_count,converged,ransac_fitness,icp_fitness,ransac_iters,n_corr,translation_error_m,attitude_error_deg,terr_vec_target_x,terr_vec_target_y,terr_vec_target_z,rot_err_axis_x,rot_err_axis_y,rot_err_axis_z,symmetry_equivalent_rotation_k,runtime_s,icp_rmse,angular_rate_deg_s,excess_return_fraction,r4_structured_frac,sps,z_range_m,z_point_count,z_excess_return_fraction,z_r4_structured_frac,z_sps
120,14.785051057033655,10441,3207,0,0.0006437768240343,0.2034334763948498,71680,119,1.3504156459980776,130.22581497042242,1.1673168249019796,0.2843387338393175,0.616559268599395,0.3630411184920972,-0.0174539089395195,0.9316096324892408,0,1.212460100010503,0.0585875529505105,8.562350396293072,0.0034479455990805,0.7173642371420362,0.3218045112781954,1.2460491768869713,0.6505058966378168,-0.22237689576609682,0.3224019598627466,-0.2379914728146457
125,14.659026642294023,11449,3538,0,0.0008583690987124,0.2351931330472103,10240,119,0.7581402530880383,63.29033876818949,-0.3346970131277327,-0.6802352342126837,0.0058803819080932,0.0802203063725589,0.7521998663747628,-0.6540336868015911,0,0.7961939999950118,0.0565753538353964,7.321411877841977,0.0039304742772294,0.7382304131365185,0.07518796992481201,1.1855807614855713,2.213820683713869,0.4088597689501295,1.4330487506595984,-1.7136888434820718
130,14.54676864324806,9958,3129,0,0.0012875536480686,0.1592274678111588,12288,116,1.8199780419405591,155.63257387903246,1.5766927523794978,0.8744549944846153,-0.2483716979864395,0.5345101649371881,-0.0170464248862676,0.844990120047221,2,0.7378029000246897,0.0489058874547536,8.476610590501497,0.004318136171922,0.7435227957421169,0.0536420101637493,1.1317176800146873,-0.09858243883612497,0.9159931529845973,1.7147471202186049,-1.842614973065351
135,14.41719486420271,10940,3438,0,0.0008583690987124,0.2575107296137339,16384,124,0.8512769921916258,93.12221455957172,0.111407466521358,0.6746075768516635,0.5071148894406876,0.4264647950845091,0.8470696667258254,0.3171762258848018,0,0.8154454999603331,0.0568479246620727,8.499430369407245,0.0035648994515539,0.7276051188299817,0.47792207792207797,1.069546226073553,1.4244087525415372,-0.06937964792533466,0.8674947638654805,0.6961805877741583
140,14.29632722384452,9276,3044,0,0.0008583690987124,0.2894849785407725,12288,114,0.6018498484080257,62.52414370741748,0.2136244930141374,-0.5617551445241771,0.0319213661023017,-0.4796637332641249,0.4544492659083057,0.7505988060918591,1,0.7420785999856889,0.0588294686373595,7.03748106540772,0.0034497628288055,0.7271453212591634,0.487012987012987,1.0115521088156723,-1.1563013721554383,-0.21999962352803504,0.843021055957499,0.7505785230010892
145,14.182943462871554,11321,3458,0,0.001931330472103,0.6622317596566524,10240,123,0.1154486936663054,4.921115107213008,0.0084319132291031,0.0523938503489037,-0.1025289625138672,0.8664976765019521,0.0115712757933515,-0.4990469739345513,2,0.7399986999807879,0.0423754644136001,7.916167643756837,0.0036215881989223,0.7292641992756823,0.47792207792207797,0.9571488697889238,2.0153045202756403,0.004779707645086315,0.9558028646491827,0.6961805877741583
150,14.077747969703603,10345,3208,0,0.0010729613733905,0.2476394849785407,30720,132,0.9290022207905918,36.91640679073034,0.3465921477843563,-0.5239254930655239,0.6844129506694956,-0.2688314255790445,0.9528411668103484,-0.1407955093482488,0,0.8896895999787375,0.0576963835922492,6.844053143101602,0.0037699371677138,0.7198646689221846,0.2433653303218521,0.9066744851835542,0.5016187740591451,0.19884756830215058,0.4554927826834971,-0.7073537161554826
155,13.965763519158449,10353,3373,0,0.0015021459227467,0.6457081545064378,26624,112,0.134229471382528,5.999115159878954,0.0138193249956039,-0.1172753188764736,-0.0638206614406354,0.7924453790353587,-0.1332090979854109,-0.5952189995786593,2,0.8251314000226557,0.0433701691768719,6.842716726878014,0.0042499758524099,0.7117743649183812,0.4616541353383458,0.8529426564101219,0.5140260342740345,0.8268268615221578,0.02486906989725245,0.5988369142101756
160,13.85395377127082,9894,3168,0,0.0010729613733905,0.3336909871244635,16384,120,0.6057185178347202,65.6542163129717,0.1093929704492054,0.2087481551121364,0.5579895237380974,0.8070593146287643,-0.4741517565468877,-0.3519025070022237,0,0.7977213999838568,0.058454482631702,9.163650656241597,0.0034364261168384,0.7106327066909238,0.3974025974025974,0.799294652607342,-0.1978405205552394,-0.2374465069188608,-0.035898128023806715,0.2143703043356247
165,13.736235167938338,11969,3615,0,0.0010729613733905,0.2006437768240343,10240,128,1.2705640736088202,63.02409751405748,0.6192290982709019,1.053479281004316,-0.347950849251262,-0.2383506874986911,0.957360403597671,0.1632482998141352,2,0.7604741000104696,0.0551109276130669,5.462103088886763,0.0033419667474308,0.7237864483248392,0.0631578947368421,0.742811490820893,3.020292597681674,-0.3610168147496664,0.6642378689380805,-1.785674081075605
170,13.638922235136835,9817,3116,0,0.001931330472103,0.642274678111588,6144,121,0.1337263599168443,6.2819133274985,0.0148151628933123,0.01206563716041,0.1323543376129673,0.8729244514849007,-0.1685859967820864,-0.4578008996155158,1,0.5820012000040151,0.0443503640027759,7.095460575155862,0.0039727004176428,0.7368849954161149,0.011857707509881424,0.6961192775959644,-0.31726040012354895,0.46409936246122946,1.3614360184635956,-2.0926427498847864
175,13.528133721300142,10639,3233,0,0.0010729613733905,0.2718884120171674,325632,114,1.2260685665755984,122.61100216597916,1.019524729752172,0.4398951935159367,0.5199092940985758,0.1740385434652097,0.9795590071103232,-0.1008699012468355,2,3.5189092999789864,0.0574995624958367,7.209907997521771,0.0038537456527869,0.7193345239214212,0.42987012987012985,0.6429612772972003,0.9575855869563271,0.3084845515285411,0.42727468254331835,0.40864864443180726
180,13.430570120334355,9743,3093,0,0.0012875536480686,0.0858369098712446,4096,115,2.073319104017819,90.76477443955582,0.0121938323934338,-1.6224973953579302,1.2907384009138116,0.5514236441987905,0.6984367753482913,0.4561995566192563,1,0.5899703000322916,0.0381420042619215,7.834295146517881,0.0032844093195114,0.6952683978240788,0.34952004517221913,0.5961487897054581,-0.43202755711127505,-0.4363125649812729,-0.8536962880836781,-0.07214801288448479
185,13.334043398067555,10179,3218,0,0.001931330472103,0.1858369098712446,45056,134,0.8501202916316705,86.67144374963509,-0.0083339491116936,0.7862974325388508,-0.3230656328347717,0.0742992705494732,0.9730934517523672,0.2181026193159536,1,1.0469056000001729,0.0588784014471388,7.864743838435076,0.0041261420571765,0.7502701640632675,0.44360902255639095,0.5498338121558829,0.24416812460019208,0.6648293773888679,2.0738902125701673,0.4908590578198762
190,13.23809070777916,8581,2981,0,0.0010729613733905,0.66931330472103,8192,120,0.1269816166716073,3.699150622746656,0.0007126260555843,0.0225994990903892,-0.1249523340218317,-0.5855057709676286,0.3119468807474979,0.7482460395855826,2,0.5931864000158384,0.0455787896265152,7.475850317419152,0.0040787786971215,0.715068173872509,0.5246753246753247,0.5037942638094153,-2.2341821033239464,0.6028693514157675,0.20018908758364265,0.9759413975126616
195,13.141794145183374,10514,3315,0,0.0010729613733905,0.2364806866952789,38912,111,1.2309419503601828,136.18885185602548,0.8979177825341074,-0.8373050485926928,0.0887806091821271,0.2892984189430558,0.8639908778611153,0.4120997303685453,0,1.018564299971331,0.0591852168789953,9.951664296035297,0.0030435609663306,0.668727411070953,0.15979672501411638,0.45758972034219064,0.7637221460986817,-0.7513867109314735,-2.2663970038130867,-1.207409269794353
200,13.03776775270694,10635,3491,0,0.0012875536480686,0.2931330472103004,6144,116,0.6663056238378916,42.733216699377245,0.3035377242866797,0.4324954089291609,0.4059258005449555,0.4534212587613472,0.7347430617685503,-0.5045411730337295,2,0.7567820000112988,0.0592919329955929,10.157969209528568,0.0029149036201222,0.7114245416078985,0.3156408808582722,0.40767628788571103,0.9513819568488825,-0.9196942909563238,0.006248976918246298,-0.27487323733267566
