panel,trajectory,x_deg,ecdf
FO,VI,29.2139,0.89222
FO,VI,29.7931,0.89421
FO,VI,29.8958,0.89621
FO,VI,29.9082,0.8982
FO,VI,30.0015,0.9002
FO,VI,30.0972,0.9022
FO,VI,30.127,0.90419
FO,VI,30.1484,0.90619
FO,VI,30.3853,0.90818
FO,VI,30.4922,0.91018
FO,VI,30.521,0.91218
FO,VI,30.7004,0.91417
FO,VI,30.7127,0.91617
FO,VI,30.7388,0.91816
FO,VI,30.791,0.92016
FO,VI,30.9376,0.92216
FO,VI,31.593,0.92415
FO,VI,31.8854,0.92615
FO,VI,31.9572,0.92814
FO,VI,32.0272,0.93014
FO,VI,32.2616,0.93214
FO,VI,32.4931,0.93413
FO,VI,32.5066,0.93613
FO,VI,32.5081,0.93812
FO,VI,32.6294,0.94012
FO,VI,33.2096,0.94212
FO,VI,33.4468,0.94411
FO,VI,33.543,0.94611
FO,VI,33.6232,0.9481
FO,VI,33.7081,0.9501
FO,VI,33.7935,0.9521
FO,VI,33.8034,0.95409
FO,VI,34.2874,0.95609
FO,VI,34.3913,0.95808
FO,VI,34.4997,0.96008
FO,VI,34.5219,0.96208
FO,VI,34.8165,0.96407
FO,VI,34.9024,0.96607
FO,VI,35.0637,0.96806
FO,VI,35.1942,0.97006
FO,VI,35.2252,0.97206
FO,VI,35.5447,0.97405
FO,VI,35.708,0.97605
FO,VI,36.3051,0.97804
FO,VI,36.3382,0.98004
FO,VI,36.8846,0.98204
FO,VI,37.2724,0.98403
FO,VI,37.5548,0.98603
FO,VI,37.6298,0.98802
FO,VI,38.2611,0.99002
FO,VI,38.621,0.99202
FO,VI,40.1321,0.99401
FO,VI,40.6184,0.99601
FO,VI,43.9972,0.998
FO,VI,44.0844,1.0
FO,VI,160.0,1.0
FO,IV,0.7194,0.0
FO,IV,0.7194,0.00641
FO,IV,1.7802,0.01282
FO,IV,2.1475,0.01923
FO,IV,2.2482,0.02564
FO,IV,2.6232,0.03205
FO,IV,3.3061,0.03846
FO,IV,4.4574,0.04487
FO,IV,4.8312,0.05128
FO,IV,4.8938,0.05769
FO,IV,5.4684,0.0641
FO,IV,5.6355,0.07051
FO,IV,5.6625,0.07692
FO,IV,5.8578,0.08333
FO,IV,6.0744,0.08974
FO,IV,6.4801,0.09615
FO,IV,6.7961,0.10256
