trajectory,actual_t_mm,an_t_mm,fd_t_mm,cond
VI,167.9244982974671,41.63179344800714,590.8520422371869,7.209677028800293
VI,163.79764854702017,39.132296909252894,1700.0886852207052,7.333130354855212
VI,158.0890801854044,37.942060913613055,269.80914471311985,7.408411164372413
VI,165.8425097662203,41.21749472283816,294.3863346155663,7.23015466734411
VI,175.25620017956,44.79884826619617,312.38757515458457,7.105120006976771
VI,171.18548708368002,45.44161308243182,258.1975109632222,7.393757189395935
VI,164.58726881420571,40.55038232030212,293.1022150924828,7.269919373481924
VI,162.04456683290886,39.18718187246925,422.4441916336023,7.368828224429174
VI,154.74439026767334,34.756746024713415,543.8909013913441,7.6675162565298525
VI,150.30226804290396,36.271288411903285,308.0670756113301,7.731125481610827
VI,155.293337532281,40.48919381031248,246.6024835758387,7.354132850670842
VI,161.47999343673138,41.34998027867238,340.49183850705947,7.538920376592273
VI,165.14152504063048,41.78438434677435,371.68701728480113,8.030491085732512
VI,169.6179632746749,45.35580130633872,292.74207008654224,8.330786183648545
VI,166.87569209280224,43.28023162392466,8511.038257454475,8.093149156187112
VI,159.37933167305215,36.559621091119695,638.8188200653856,8.056414522818436
VI,153.78881402244926,34.50499223198422,261.40068246059553,8.085253241567505
VI,155.79287544213216,34.740285336980094,505.9210287988929,7.832441870879291
VI,163.7602049006367,40.93864945889804,688.8554013684336,7.764086166381196
VI,168.0038120529935,40.37719780370992,1208.910322836264,7.331859688528274
VI,174.36388003897343,46.408093100400926,600.427693837141,7.501497470704609
VI,169.67118740209332,43.77267192271647,300.17477193917927,7.485279940834762
VI,164.25550575097438,40.63304574404408,767.0976427781815,7.3965905827492255
VI,153.59695335352347,36.32212064626287,1018.2799948189104,7.642467340223665
VI,151.96956508436267,37.58656134029187,355.6966553053726,7.827555232798217
VI,159.6882038736639,38.273363959953215,274.8921857916978,7.943779583749746
VI,162.18231189316606,38.67850576471527,252.14468287062587,7.942600542804397
VI,166.17138289563334,41.0729675716922,679.2893078923814,8.181219443140087
VI,165.1997416941915,40.67587461332336,1139.2920999995436,7.820739998299517
VI,164.63944003923132,41.24417942471276,1262.807134002018,7.694427902291007
VI,165.9899953718237,40.20534073348752,294.6171421005509,7.89076077574982
VI,160.18447415064122,38.977482637760005,310.8020894978536,7.9274839058622995
VI,165.34354962842204,41.013237239680166,641.3365173204833,7.457863195061884
VI,162.70173144446414,41.25636317209785,331.9655328572841,7.547971585565704
VI,165.48160584038175,43.71422517251829,242.93187700198092,7.528685384116098
VI,168.19706369112697,44.76966666027868,306.5861594574609,7.493691148768015
VI,174.44925370014002,47.22495213772793,358.2729887749485,7.556729133591635
VI,169.8567690104878,47.48555188848066,451.5696512445447,7.630420900778832
VI,161.68085123366987,40.85675952176248,267.37604346707786,7.877484952097771
VI,167.84565645887804,42.12872719215439,404.5015775440784,7.630672694287266
VI,174.16516176820815,48.31393643212674,304.77923306414857,7.792051758709504
VI,178.19017889780213,49.49417148394342,373.6623548089308,7.7881928282144814
