trajectory,method,level,n,frac_meet,meet_count,et_med,et_q25,et_q75
IV,Patch,L5,80,0.0,0,141.63421244059805,130.3815607691686,159.3668675083431
IV,Patch,L6,80,0.0,0,143.8828404536895,130.75887332615963,171.6876597873781
IV,PatchHuber,L0,20,0.0,0,109.88894939411,102.74085846358427,121.39998610578986
IV,PatchHuber,L1,80,0.0,0,110.45249870593034,104.5674392143323,120.42999141413837
IV,PatchHuber,L2,80,0.0,0,112.13949294188086,102.77451348758358,121.18870323634282
IV,PatchHuber,L3,80,0.0,0,112.57701733434806,99.52755065177209,122.78457555544749
IV,PatchHuber,L4,80,0.0,0,111.8294974647585,96.47569177742204,130.98087382902148
IV,PatchHuber,L5,80,0.0,0,115.6202019960772,95.1894072585162,149.92584673915923
IV,PatchHuber,L6,80,0.0,0,134.80142503320707,98.60873204107713,191.58830277658512
II,Raw,L0,20,0.35,7,60.58902608320048,35.30193202044472,83.45418494624894
II,Raw,L1,80,0.35,28,60.56443435723048,34.81562880428035,83.45806740607081
II,Raw,L2,80,0.35,28,60.52266088748226,33.84562018530924,83.52431053910453
II,Raw,L3,80,0.35,28,60.19470847274306,33.52294371510297,83.52696712305647
II,Raw,L4,80,0.3,24,57.97638575713381,33.43758560064571,83.45878726505876
II,Raw,L5,80,0.15,12,57.650304749501096,33.930223994639135,83.36070306228504
II,Raw,L6,80,0.1,8,65.17484355525366,41.20576254062706,96.03441369706485
II,Huber,L0,20,0.7,14,31.83066967572025,18.45441766274877,54.57018388334774
II,Huber,L1,80,0.7,56,31.57669660484013,18.3695889129152,54.643397840550705
II,Huber,L2,80,0.7,56,31.536471640205892,18.39069063416781,54.916470825106245
II,Huber,L3,80,0.7,56,31.80886257323202,20.204459956560235,54.83808333909251
II,Huber,L4,80,0.475,38,35.60636196064046,23.78994157967184,55.98961249118518
II,Huber,L5,80,0.1875,15,46.295634884005786,27.368018056146028,69.5552095762634
II,Huber,L6,80,0.1,8,64.78380716671955,38.56691657397322,81.81264466818078
II,Patch,L0,20,0.4,8,47.147668822683755,34.950216582921655,71.72343836068478
II,Patch,L1,80,0.4,32,47.277548799023286,34.69993934037733,71.73682669529745
II,Patch,L2,80,0.4,32,47.99312549979295,34.733251826106425,71.77956223868111
II,Patch,L3,80,0.4,32,49.56523225130361,34.600846162901654,71.75207125667286
II,Patch,L4,80,0.375,30,51.22056404963794,34.49042976086164,71.75442634166123
II,Patch,L5,80,0.3,24,49.84769285759157,34.092263435490885,72.3706726905191
II,Patch,L6,80,0.2,16,58.17884964000894,34.36989284733799,79.66651047736575
II,PatchHuber,L0,20,0.75,15,31.537484196023943,22.82650167822412,41.04811540467473
II,PatchHuber,L1,80,0.725,58,32.05269439429067,20.776100280882538,42.236284841648
II,PatchHuber,L2,80,0.7,56,32.254438161135795,21.59033186849249,42.63572123264244
II,PatchHuber,L3,80,0.65,52,33.32552660735445,22.194754237319763,42.45765320414537
II,PatchHuber,L4,80,0.425,34,37.85725228710757,26.771235337502418,44.397013590485344
II,PatchHuber,L5,80,0.1875,15,41.42403789064053,30.56617014777286,48.45324900918739
II,PatchHuber,L6,80,0.075,6,46.72062482384242,34.537965128318454,78.0014742643486
III,Raw,L0,20,0.35,7,49.212914254572006,34.0103622436105,82.54910010908691
III,Raw,L1,80,0.35,28,49.21953915293139,33.82962043723987,82.57402392659222
III,Raw,L2,80,0.35,28,49.24594759108028,33.69492519365128,82.56056828343597
III,Raw,L3,80,0.35,28,49.25794452055992,33.82402725764308,82.58076841361977
III,Raw,L4,80,0.3125,25,49.30878474896793,34.22198419926255,82.59178531010264
III,Raw,L5,80,0.2625,21,49.55541067379011,34.242697188479866,82.57198979616686
III,Raw,L6,80,0.2125,17,62.904733759803406,35.617227764211485,94.32678575326436
III,Huber,L0,20,0.7,14,30.00876815820626,15.40486827453335,58.40201279088749
III,Huber,L1,80,0.7,56,29.83599955293341,15.199964374815485,58.38322429283255
III,Huber,L2,80,0.7,56,29.439789639669243,15.985333886858003,58.42944741026879
III,Huber,L3,80,0.7,56,28.945344228014214,16.820843089899363,58.67850749831038
III,Huber,L4,80,0.575,46,32.134900134879445,17.97983412590785,58.7823047540102
III,Huber,L5,80,0.35,28,38.98770881757503,18.992341901893656,67.79060372191393
III,Huber,L6,80,0.225,18,61.07396773958187,27.23545054891964,99.16062186364523
III,Patch,L0,20,0.45,9,40.17632928142175,29.895357195902783,55.56280641555377
III,Patch,L1,80,0.45,36,40.16514992473831,29.907473010390817,55.52240844232001
III,Patch,L2,80,0.4625,37,40.123324744131196,30.0850931134208,55.25331457520594
III,Patch,L3,80,0.4375,35,40.015413107240946,30.059729750021955,54.86415299751725
III,Patch,L4,80,0.425,34,40.00064855796144,30.259581139489818,53.9904986587132
III,Patch,L5,80,0.3875,31,40.07038976115102,30.52816017509631,54.12082970618212
III,Patch,L6,80,0.325,26,41.025946098734934,32.75700241792414,66.8786962668718
III,PatchHuber,L0,20,0.7,14,34.87109702998595,28.50659724800483,43.78692370251806
III,PatchHuber,L1,80,0.6625,53,34.50870222126855,28.24168088995267,44.0165364478906
III,PatchHuber,L2,80,0.65,52,34.22796444732733,27.654749246598513,43.915030829766195
III,PatchHuber,L3,80,0.625,50,34.8506280274707,27.835921022163,44.017625002741084
III,PatchHuber,L4,80,0.45,36,37.12478253776642,28.43775843518333,44.09406234249899
III,PatchHuber,L5,80,0.2625,21,38.82554295516289,29.373715339957272,47.26760545298816
III,PatchHuber,L6,80,0.2125,17,44.124232992910706,32.71456253442092,87.29578100429977
