trajectory,cond,ecdf
VI,7.76409,0.69261
VI,7.77154,0.69461
VI,7.78085,0.69661
VI,7.78238,0.6986
VI,7.78439,0.7006
VI,7.78485,0.70259
VI,7.78819,0.70459
VI,7.79205,0.70659
VI,7.79522,0.70858
VI,7.7964,0.71058
VI,7.79844,0.71257
VI,7.80037,0.71457
VI,7.80109,0.71657
VI,7.80291,0.71856
VI,7.80409,0.72056
VI,7.80767,0.72255
VI,7.80813,0.72455
VI,7.8103,0.72655
VI,7.81052,0.72854
VI,7.81118,0.73054
VI,7.81418,0.73253
VI,7.8203,0.73453
VI,7.82074,0.73653
VI,7.82094,0.73852
VI,7.82097,0.74052
VI,7.82139,0.74251
VI,7.82181,0.74451
VI,7.82244,0.74651
VI,7.82354,0.7485
VI,7.82509,0.7505
VI,7.82756,0.7525
VI,7.82789,0.75449
VI,7.82922,0.75649
VI,7.83175,0.75848
VI,7.83244,0.76048
VI,7.83828,0.76248
VI,7.8399,0.76447
VI,7.84372,0.76647
VI,7.84977,0.76846
VI,7.85007,0.77046
VI,7.85039,0.77246
VI,7.85443,0.77445
VI,7.85798,0.77645
VI,7.85941,0.77844
VI,7.86184,0.78044
VI,7.86577,0.78244
VI,7.87077,0.78443
VI,7.87266,0.78643
VI,7.87748,0.78842
VI,7.87805,0.79042
VI,7.88039,0.79242
VI,7.88107,0.79441
VI,7.88241,0.79641
VI,7.88245,0.7984
VI,7.88584,0.8004
VI,7.88879,0.8024
VI,7.89002,0.80439
VI,7.89076,0.80639
VI,7.89204,0.80838
VI,7.89205,0.81038
VI,7.89317,0.81238
VI,7.89411,0.81437
VI,7.89538,0.81637
VI,7.89632,0.81836
VI,7.90267,0.82036
VI,7.9053,0.82236
VI,7.90868,0.82435
VI,7.91237,0.82635
VI,7.91506,0.82834
VI,7.91632,0.83034
VI,7.92197,0.83234
VI,7.92295,0.83433
VI,7.92628,0.83633
VI,7.927,0.83832
VI,7.92748,0.84032
VI,7.93854,0.84232
VI,7.93904,0.84431
VI,7.94104,0.84631
VI,7.9426,0.8483
VI,7.94361,0.8503
VI,7.94378,0.8523
VI,7.94383,0.85429
VI,7.94956,0.85629
VI,7.95799,0.85828
VI,7.96285,0.86028
VI,7.96305,0.86228
VI,7.96313,0.86427
VI,7.96354,0.86627
VI,7.98542,0.86826
VI,7.98554,0.87026
VI,7.98845,0.87226
VI,7.99004,0.87425
VI,7.9965,0.87625
VI,8.00052,0.87824
VI,8.00372,0.88024
VI,8.00372,0.88224
VI,8.00475,0.88423
VI,8.00546,0.88623
VI,8.00815,0.88822
VI,8.01494,0.89022
VI,8.01971,0.89222
VI,8.02072,0.89421
VI,8.02467,0.89621
VI,8.03049,0.8982
VI,8.03233,0.9002
VI,8.03395,0.9022
VI,8.03451,0.90419
VI,8.03596,0.90619
VI,8.03737,0.90818
VI,8.04669,0.91018
VI,8.04708,0.91218
VI,8.04764,0.91417
VI,8.05414,0.91617
VI,8.05641,0.91816
VI,8.07843,0.92016
VI,8.07923,0.92216
VI,8.08088,0.92415
VI,8.08089,0.92615
VI,8.08326,0.92814
VI,8.08525,0.93014
VI,8.08883,0.93214
VI,8.09315,0.93413
VI,8.10563,0.93613
VI,8.10703,0.93812
VI,8.11674,0.94012
VI,8.1216,0.94212
VI,8.12842,0.94411
VI,8.12871,0.94611
VI,8.13585,0.9481
VI,8.15787,0.9501
VI,8.15857,0.9521
VI,8.16345,0.95409
VI,8.16753,0.95609
VI,8.17747,0.95808
VI,8.17773,0.96008
VI,8.18122,0.96208
VI,8.20151,0.96407
VI,8.20647,0.96607
VI,8.21697,0.96806
VI,8.22973,0.97006
VI,8.24185,0.97206
VI,8.25536,0.97405
VI,8.271,0.97605
VI,8.28605,0.97804
VI,8.29518,0.98004
VI,8.33079,0.98204
VI,8.33294,0.98403
VI,8.33441,0.98603
VI,8.34089,0.98802
VI,8.35162,0.99002
VI,8.40052,0.99202
VI,8.55784,0.99401
VI,15.76312,0.99601
VI,28.18626,0.998
VI,30.42429,1.0
IV,5.44717,0.0
IV,5.44717,0.00641
IV,5.69645,0.01282
IV,5.73753,0.01923
IV,5.76143,0.02564
IV,5.7754,0.03205
IV,5.78431,0.03846
IV,5.81992,0.04487
IV,5.8388,0.05128
IV,5.85224,0.05769
IV,5.92633,0.0641
IV,6.01316,0.07051
IV,6.04325,0.07692
IV,6.09335,0.08333
IV,6.11551,0.08974
IV,6.11984,0.09615
IV,6.12139,0.10256
IV,6.12458,0.10897
IV,6.17974,0.11538
IV,6.20409,0.12179
IV,6.22365,0.12821
IV,6.24192,0.13462
IV,6.30613,0.14103
IV,6.30772,0.14744
IV,6.30793,0.15385
IV,6.30875,0.16026
IV,6.31895,0.16667
IV,6.33229,0.17308
IV,6.38874,0.17949
IV,6.39254,0.1859
IV,6.39833,0.19231
IV,6.40491,0.19872
IV,6.44554,0.20513
IV,6.46551,0.21154
IV,6.48265,0.21795
IV,6.48466,0.22436
IV,6.4847,0.23077
IV,6.50789,0.23718
IV,6.51033,0.24359
IV,6.5228,0.25
IV,6.53291,0.25641
IV,6.53533,0.26282
IV,6.53539,0.26923
IV,6.55142,0.27564
IV,6.55785,0.28205
IV,6.55882,0.28846
IV,6.55896,0.29487
IV,6.56025,0.30128
IV,6.57778,0.30769
IV,6.58379,0.3141
IV,6.58481,0.32051
IV,6.58583,0.32692
IV,6.60866,0.33333
IV,6.619,0.33974
IV,6.65351,0.34615
IV,6.6575,0.35256
IV,6.66058,0.35897
IV,6.6683,0.36538
IV,6.67349,0.37179
IV,6.68312,0.37821
IV,6.68422,0.38462
IV,6.68595,0.39103
IV,6.71025,0.39744
IV,6.72887,0.40385
IV,6.73982,0.41026
IV,6.75248,0.41667
IV,6.75587,0.42308
IV,6.76432,0.42949
IV,6.79788,0.4359
IV,6.80229,0.44231
IV,6.81313,0.44872
IV,6.81524,0.45513
IV,6.82354,0.46154
IV,6.83187,0.46795
IV,6.8382,0.47436
IV,6.83919,0.48077
IV,6.8771,0.48718
IV,6.88186,0.49359
IV,6.89084,0.5
IV,6.89299,0.50641
IV,6.91015,0.51282
IV,6.91651,0.51923
IV,6.92243,0.52564
IV,6.92339,0.53205
IV,6.92464,0.53846
IV,6.92883,0.54487
IV,6.95003,0.55128
IV,6.95866,0.55769
IV,6.95958,0.5641
IV,6.97558,0.57051
IV,6.99755,0.57692
IV,7.03055,0.58333
IV,7.04013,0.58974
IV,7.04216,0.59615
IV,7.05145,0.60256
IV,7.05519,0.60897
IV,7.05707,0.61538
IV,7.06459,0.62179
IV,7.06622,0.62821
IV,7.08585,0.63462
IV,7.09074,0.64103
IV,7.09111,0.64744
IV,7.10861,0.65385
IV,7.13981,0.66026
IV,7.14078,0.66667
IV,7.15732,0.67308
IV,7.1843,0.67949
IV,7.18761,0.6859
IV,7.19386,0.69231
IV,7.20396,0.69872
IV,7.20405,0.70513
IV,7.20586,0.71154
IV,7.20731,0.71795
IV,7.2145,0.72436
IV,7.23064,0.73077
IV,7.23304,0.73718
IV,7.24557,0.74359
IV,7.25373,0.75
IV,7.25451,0.75641
IV,7.32787,0.76282
IV,7.37283,0.76923
IV,7.37644,0.77564
IV,7.38803,0.78205
IV,7.41262,0.78846
IV,7.43519,0.79487
IV,7.45845,0.80128
IV,7.55702,0.80769
IV,7.57302,0.8141
IV,7.60021,0.82051
IV,7.61763,0.82692
IV,7.62296,0.83333
IV,7.63163,0.83974
IV,7.64265,0.84615
IV,7.66446,0.85256
IV,7.66639,0.85897
IV,7.69016,0.86538
IV,7.7032,0.87179
IV,7.70517,0.87821
IV,7.75589,0.88462
IV,7.7973,0.89103
IV,7.87163,0.89744
IV,7.99047,0.90385
IV,8.03664,0.91026
IV,8.11899,0.91667
IV,8.30934,0.92308
IV,8.31267,0.92949
IV,8.3677,0.9359
IV,8.37624,0.94231
IV,8.39163,0.94872
IV,8.42259,0.95513
IV,8.43322,0.96154
IV,8.43366,0.96795
IV,8.47452,0.97436
IV,8.48893,0.98077
IV,8.50922,0.98718
IV,8.56729,0.99359
IV,8.6494,1.0
II,4.25967,0.0
II,4.25967,0.00234
II,4.30532,0.00467
II,4.31101,0.00701
II,4.31538,0.00935
II,4.32533,0.01168
