dataset,condition,metric,n,raw_median,after_median,ratio_after_over_raw
II,N1,patch_spread_mm,428,99.6265243661611,138.3704366257138,1.3888915377310138
II,N2,gt_norm,428,0.05160467629441817,0.017701205014837983,0.3430155227376678
II,N2,gr_norm,428,0.008097683387755822,0.004121488485820978,0.5089713055530071
II,N2,residual_rms_mm,428,84.6722987985078,77.45923241914446,0.9148119694195611
II,N2,trans_error_mm,428,66.14920168537466,47.44937656214557,0.7173083779276574
II,N2,rot_error_deg,428,1.7742670258913977,3.126735766487508,1.7622689938210545
II,N2,patch_spread_mm,428,99.6265243661611,125.49603713365401,1.259664912854068
II,N3,gt_norm,428,0.05160467629441817,0.03250191729093466,0.6298250396049908
II,N3,gr_norm,428,0.008097683387755822,0.007159904653180892,0.8841917262419883
II,N3,residual_rms_mm,428,84.6722987985078,84.69638985664353,1.0002845211300224
II,N3,trans_error_mm,428,66.14920168537466,41.660107993382866,0.6297900342249143
II,N3,rot_error_deg,428,1.7742670258913977,1.7966126401935751,1.0125942792015485
II,N3,patch_spread_mm,428,99.6265243661611,111.80874705336883,1.122278908801776
V,raw,gt_norm,1868,0.06851648020246176,0.06851648020246176,1.0
V,raw,gr_norm,1868,0.01696552937021435,0.01696552937021435,1.0
V,raw,residual_rms_mm,1868,106.56440677706392,106.56440677706392,1.0
V,raw,trans_error_mm,1868,173.7605206910253,173.7605206910253,1.0
V,raw,rot_error_deg,1868,3.026001479697481,3.026001479697481,1.0
V,raw,patch_spread_mm,1868,80.46469021652031,80.46469021652031,1.0
V,N1,gt_norm,1868,0.06851648020246176,0.08237373732212996,1.2022470663805396
V,N1,gr_norm,1868,0.01696552937021435,0.02470301292172593,1.4560708588967433
V,N1,residual_rms_mm,1868,106.56440677706392,105.32749303920411,0.9883928060478254
V,N1,trans_error_mm,1868,173.7605206910253,154.53407597892974,0.889350902980526
V,N1,rot_error_deg,1868,3.026001479697481,3.053525691863716,1.0090959017538177
V,N1,patch_spread_mm,1868,80.46469021652031,74.96735665703002,0.9316801749351467
V,N2,gt_norm,1868,0.06851648020246176,0.08742062914342838,1.2759065977281099
V,N2,gr_norm,1868,0.01696552937021435,0.023663397937497718,1.3947927837160525
V,N2,residual_rms_mm,1868,106.56440677706392,115.33658846795333,1.082318120620153
V,N2,trans_error_mm,1868,173.7605206910253,182.04756877404859,1.0476923529583513
V,N2,rot_error_deg,1868,3.026001479697481,4.530621671487534,1.4972304877856422
V,N2,patch_spread_mm,1868,80.46469021652031,71.74244024530805,0.891601521763872
V,N3,gt_norm,1868,0.06851648020246176,0.07888510534349483,1.1513303822729137
V,N3,gr_norm,1868,0.01696552937021435,0.02119261245216453,1.2491571580060148
V,N3,residual_rms_mm,1868,106.56440677706392,110.93273891620325,1.040992412675632
V,N3,trans_error_mm,1868,173.7605206910253,162.64376269105452,0.9360225328759333
V,N3,rot_error_deg,1868,3.026001479697481,2.8235703717803995,0.9331027729909376
V,N3,patch_spread_mm,1868,80.46469021652031,84.82567195419125,1.054197458859732
