trajectory,error_deg,ecdf,n_valid
VI,24.90589269307838,0.7624750499001997,501
VI,24.90649752113119,0.7644710578842315,501
VI,24.917794602374443,0.7664670658682635,501
VI,25.02459612828584,0.7684630738522954,501
VI,25.025982155982994,0.7704590818363274,501
VI,25.034029976568192,0.7724550898203593,501
VI,25.053610924198523,0.7744510978043913,501
VI,25.06408049240703,0.7764471057884231,501
VI,25.08198659435577,0.7784431137724551,501
VI,25.083024884005123,0.780439121756487,501
VI,25.137217528650687,0.782435129740519,501
VI,25.23249627397109,0.7844311377245509,501
VI,25.26817722811365,0.7864271457085829,501
VI,25.27813181380339,0.7884231536926147,501
VI,25.31560709659046,0.7904191616766467,501
VI,25.38563921743822,0.7924151696606786,501
VI,25.507964523447434,0.7944111776447106,501
VI,25.55945289972017,0.7964071856287425,501
VI,25.57353198952683,0.7984031936127745,501
VI,25.5940957705508,0.8003992015968064,501
VI,25.68256568117234,0.8023952095808383,501
VI,25.68955225744896,0.8043912175648703,501
VI,25.744169573377942,0.8063872255489022,501
VI,25.75880675213175,0.8083832335329342,501
VI,25.785994738035207,0.810379241516966,501
VI,25.9482477539466,0.812375249500998,501
VI,25.960763182052244,0.8143712574850299,501
VI,26.048520016591414,0.8163672654690619,501
VI,26.085374009096974,0.8183632734530938,501
VI,26.116424968849373,0.8203592814371258,501
VI,26.213204411375635,0.8223552894211577,501
VI,26.221333594613522,0.8243512974051896,501
VI,26.230413760017516,0.8263473053892215,501
VI,26.264668209443442,0.8283433133732535,501
VI,26.511520902112615,0.8303393213572854,501
VI,26.555877648266293,0.8323353293413174,501
VI,26.597295271586127,0.8343313373253493,501
VI,26.61614579849238,0.8363273453093812,501
VI,26.627395828625207,0.8383233532934131,501
VI,26.628288075813092,0.8403193612774451,501
VI,26.781492209910592,0.8423153692614771,501
VI,26.85684873602435,0.844311377245509,501
VI,26.88361872207123,0.846307385229541,501
VI,26.907409455546734,0.8483033932135728,501
VI,26.932443382361413,0.8502994011976048,501
VI,26.947141912024975,0.8522954091816367,501
VI,27.012586943105138,0.8542914171656687,501
VI,27.073303635514808,0.8562874251497006,501
VI,27.145797094056647,0.8582834331337326,501
VI,27.582944005396495,0.8602794411177644,501
VI,27.590580501454834,0.8622754491017964,501
VI,27.658072404387422,0.8642714570858283,501
VI,27.719093794642163,0.8662674650698603,501
VI,27.806989927242316,0.8682634730538922,501
VI,27.971033812688585,0.8702594810379242,501
VI,28.015499258922034,0.872255489021956,501
VI,28.017725649146623,0.874251497005988,501
VI,28.24104526535964,0.8762475049900199,501
VI,28.3508422606014,0.8782435129740519,501
VI,28.400215986505525,0.8802395209580839,501
VI,28.41791360760697,0.8822355289421158,501
VI,28.444799933759775,0.8842315369261478,501
VI,28.853318726416827,0.8862275449101796,501
VI,28.86617279763986,0.8882235528942116,501
VI,28.929405141912447,0.8902195608782435,501
VI,29.213878550071065,0.8922155688622755,501
VI,29.79305597214377,0.8942115768463074,501
VI,29.895770463581865,0.8962075848303394,501
