geometry,dtype,mag,J0,gradient,error,n,bound_fraction,residual_rms_mm
GB,D5_appendage_tilt,0.5,2.5787398843018178e-05,0.00316006596975595,1.528214095852749,20,0.0,5.078129463002906
GB,D5_appendage_tilt,1.0,6.746348799273455e-05,0.00641233592242585,2.322519680972083,20,0.0,8.21361601200924
GB,D5_appendage_tilt,2.0,0.0002379581562035,0.01321991234398325,3.8512023195118026,20,0.0,15.42589239569303
GC,D1_appendage_disp,0.0,1.1956927815976904e-05,6.184714638059319e-05,0.0425533472973352,20,0.0,3.457879092157056
GC,D1_appendage_disp,2.0,1.2536800245684422e-05,0.000435489470756,0.2523424003479063,20,0.0,3.5407344217950634
GC,D1_appendage_disp,5.0,1.491872822021207e-05,0.0009047212793316501,0.5946338440048657,20,0.0,3.8624769540040065
GC,D1_appendage_disp,10.0,2.0636280239844355e-05,0.0015255334250609,0.9143519720513624,20,0.0,4.542717274918653
GC,D1_appendage_disp,25.0,6.006500199814302e-05,0.00388744890387215,2.3799774523509365,20,0.0,7.750161417554025
GC,D1_appendage_disp,50.0,0.00020491519482395,0.0077478710533654994,11.779784794156786,20,0.0,14.314859231719675
GC,D1_appendage_disp,100.0,0.0007933244274114001,0.016394726437833948,21.052032505640817,20,0.0,28.16601546920331
GC,D2_missing_component,0.0,1.196117412015023e-05,6.853893025815223e-05,0.04158214265729155,20,0.0,3.458493041795838
GC,D2_missing_component,0.25,2.6213128827323488e-05,6.761432074742074e-05,0.04202418690037775,20,0.0,5.119875860538367
GC,D2_missing_component,0.5,9.386170887256667e-05,0.00014966148488460002,0.048034250950882595,20,0.0,9.688225269499396
GC,D2_missing_component,0.75,0.00022192244877985,0.0009239105116060501,0.4433834307607998,20,0.0,14.897061749883768
GC,D2_missing_component,0.9,0.00038751000412835,0.0031422189635869,1.84336277815026,20,0.0,19.68527378850368
GC,D2_missing_component,1.0,0.00085100332968065,0.0140461266512734,18.247626787018834,20,0.0,29.17196136156515
GC,D3_local_surface_off,0.0,1.190490853992004e-05,6.803291193519962e-05,0.04454285080894155,20,0.0,3.4503490460995447
GC,D3_local_surface_off,2.0,1.4079853433539838e-05,0.0013237348127563,0.9884924209914396,20,0.0,3.752313077761481
GC,D3_local_surface_off,5.0,2.34123135360397e-05,0.0020905272912116997,2.4784676713422344,20,0.0,4.838627236731478
GC,D3_local_surface_off,10.0,3.172327693316452e-05,0.0026412116269577002,1.0768906541627032,20,0.0,5.632342046889954
GC,D3_local_surface_off,25.0,0.00011394042425330001,0.007912430843518049,11.396635822391744,20,0.0,10.674287997487232
GC,D3_local_surface_off,50.0,0.00042896703522275,0.01663282991893425,23.165638435337897,20,0.0,20.7115193846987
GC,D3_local_surface_off,100.0,0.00128146156934595,0.0205157328410307,48.49455002424759,20,0.0,35.79750786501695
GC,D4_appendage_scale,0.0,1.1973331977585669e-05,7.051090100306392e-05,0.0426194374872611,20,0.0,3.4602502767264784
GC,D4_appendage_scale,0.005,1.1958586539704724e-05,6.956400608253865e-05,0.0469798210995996,20,0.0,3.4581189308213105
