scan,range_m,n,ux,uy,uz,ts
512,5.806737306373176,9270,0.8213105295171382,-0.35231479967069446,0.4486906462556095,1751984447.321
513,5.806657753764727,9312,0.8213017018817785,-0.33130042801978477,0.46443895280219716,1751984447.813
514,5.806558027553499,9004,0.8212738155392766,-0.2872224604967289,0.4929630595650788,1751984448.307
515,5.8064451171844365,8998,0.8212618756663222,-0.26423550310521693,0.5056763099807696,1751984448.797
516,5.806126184653756,9849,0.8212423356396377,-0.21661074724737403,0.5278643863058834,1751984449.344
517,5.8059274878828795,9801,0.8212344471472495,-0.19207555851497857,0.5372903894914839,1751984449.89
518,5.805456196227649,9724,0.8212226097896673,-0.14182301242265893,0.5527021424941374,1751984450.438
519,5.804906866104486,9895,0.821215639019505,-0.09035081582566316,0.563419563300231,1751984450.98
520,5.804609966429957,10111,0.8212138917602956,-0.06429387913519012,0.5669868085640609,1751984451.528
521,5.803981213416957,10255,0.8212127403012872,-0.0118177266294697,0.5704997603015814,1751984452.075
522,5.803311853284814,10094,0.8212153019704144,0.04076569816862244,0.5691604217287651,1751984452.622
523,5.802995579766452,10406,0.8212180350532139,0.06695292225003084,0.5666729613326541,1751984453.169
524,5.802516157929162,10582,0.8212236667234912,0.11882247702855912,0.5580975794303553,1751984453.715
525,5.80252881305987,10399,0.8212227525803861,0.16961696905062057,0.5448148992587986,1751984454.262
526,5.8025525143656385,10214,0.8212271291112726,0.194496353595047,0.5364300241875799,1751984454.806
527,5.802610419560235,10749,0.8212435183290027,0.24295652861903802,0.5162666063227288,1751984455.356
528,5.802638442401009,10992,0.8212545237580584,0.2664357981830845,0.504532429734172,1751984455.9
529,5.802690952795781,11206,0.8212800037963436,0.3116459934071191,0.47788694286155975,1751984456.448
530,5.80273079238405,9397,0.821308522417571,0.3542086226320486,0.44720080797933837,1751984456.934
531,5.80274885617127,9088,0.8213238965127002,0.3743840846085387,0.4304225995565541,1751984457.425
532,5.802782563509767,9006,0.8213562258611805,0.41231174120074765,0.3941737920094197,1751984457.913
533,5.802804434494583,9174,0.8213733121862082,0.42998303854617237,0.37478056058293424,1751984458.401
534,5.802827693334519,9080,0.8213909600987354,0.44674164096212804,0.354596667917992,1751984458.88
535,5.802865010095788,9339,0.8214225970032909,0.47738702673157907,0.31203612585845164,1751984459.367
536,5.80286940664987,9256,0.8214356815415647,0.4912108076904759,0.28975051941008717,1751984459.854
537,5.802855516687795,9376,0.8214586975766451,0.5157140312849293,0.24340223111452483,1751984460.344
538,5.802835929325676,9161,0.821469350787482,0.5263415394203271,0.21943721105918465,1751984460.832
539,5.802783527273872,9132,0.8214900150646784,0.5442370531099656,0.1701769231453398,1751984461.32
540,5.802748869705633,9187,0.8214996797390233,0.551468552142829,0.14498521368116835,1751984461.807
541,5.802667180996856,8812,0.8215007993280351,0.5624475456216594,0.09375070734437543,1751984462.293
542,5.8025651136283685,10176,0.8214993257354736,0.5661637312807992,0.06780477268131799,1751984462.849
543,5.8022310522082785,10267,0.8214974522244662,0.5700008456556629,0.015523270935593162,1751984463.403
544,5.801759394512067,9819,0.8214935030388454,0.5690221616898855,-0.03690804750642146,1751984463.956
545,5.801476200114157,9811,0.8214904554921761,0.5667268720363797,-0.06304033666723106,1751984464.511
546,5.80082264809863,9968,0.8214834548158629,0.5585441467180118,-0.11486239432835377,1751984465.065
547,5.800081307676296,10419,0.8214783187379263,0.5456260458071773,-0.16572745692954458,1751984465.618
548,5.799688359257677,10707,0.8214767694424435,0.5374222672096711,-0.1906652143775137,1751984466.172
549,5.798878000205645,11659,0.8214766626980592,0.5176093443212761,-0.23928363778946057,1751984466.726
550,5.798469625529139,10439,0.8214778408335257,0.5060426092765515,-0.26285934378687775,1751984467.199
551,5.797737089575033,10851,0.8214813418095888,0.47972026868002915,-0.3082805035617372,1751984467.676
552,5.797424877753311,10548,0.8214830241447173,0.4650224789481446,-0.33002990033476093,1751984468.15
553,5.7969015708359235,10438,0.8214857559032415,0.4327095587053702,-0.37138065465649134,1751984468.624
554,5.796796317485115,9926,0.82148192739488,0.415177885702409,-0.39088971102763803,1751984469.1
555,5.796741482164269,9494,0.8214795779574116,0.3775218826541957,-0.4273739944312761,1751984469.573
556,5.7967290475841615,8953,0.8214843448420972,0.3574698116667605,-0.4442733448298257,1751984470.049
557,5.7967328668991644,9459,0.8215023097583722,0.31513766747298105,-0.47520753950389744,1751984470.58
558,5.7967421763406035,9677,0.8215147435078113,0.29294873615714034,-0.4891774362981486,1751984471.109
559,5.796754366914729,9803,0.8215458863236159,0.24676329187361884,-0.5139749356227787,1751984471.642
560,5.796754572457333,9173,0.8215643508209732,0.22286479460123107,-0.5247507034654302,1751984472.173
561,5.796754564322522,8989,0.8216064398729556,0.173707028629478,-0.5429444963935127,1751984472.703
562,5.7967571470294486,9993,0.8216517880874898,0.12308681804764297,-0.5565410805641731,1751984473.28
563,5.796769824965883,9806,0.8216986060608014,0.07143380274973447,-0.5654278138033608,1751984473.871
564,5.796772730943829,9746,0.8217199732786687,0.04535585515107866,-0.5680837367135395,1751984474.46
565,5.79675770177959,9590,0.8217549981824135,-0.007029061975933566,-0.5697976090244323,1751984475.051
566,5.796719538130253,9743,0.8217817040510561,-0.05934778717676339,-0.5667033360093833,1751984475.64
567,5.796645587949207,9713,0.8218020025869796,-0.11115486737916255,-0.5588256114405915,1751984476.231
568,5.796597460405457,9453,0.8218103523054313,-0.13673037470274027,-0.5531116971076196,1751984476.82
569,5.796474786095251,9880,0.8218224469901217,-0.18695595639148269,-0.5381963730767002,1751984477.41
570,5.796332535186279,10547,0.8218312799188966,-0.2355943431524833,-0.5187375567870697,1751984477.999
571,5.796183790111042,11401,0.8218381358591783,-0.2822356119713345,-0.49489911879359527,1751984478.581
572,5.796108262029359,9614,0.8218406116512635,-0.30468495369535026,-0.4813990943410043,1751984479.099
573,5.795943643607828,9324,0.8218442839807791,-0.34760739465864265,-0.4513768625735608,1751984479.617
574,5.795854202458856,9307,0.8218458116861893,-0.367990101651654,-0.4349169425307254,1751984480.134
575,5.795673306023813,9157,0.8218480325659441,-0.40638320342182455,-0.3992724675507977,1751984480.651
576,5.795509131678252,9191,0.8218492335834424,-0.4413429816520103,-0.3602502044479944,1751984481.168
577,5.795437790223789,9298,0.8218494587097134,-0.4574407883721943,-0.3395753117527484,1751984481.68
578,5.795318116998411,9141,0.8218484730638622,-0.48670290395708227,-0.2961171568861576,1751984482.199
579,5.795268021079526,8837,0.821847164006643,-0.4998052953524619,-0.2734262345713671,1751984482.717
580,5.7951763637740985,10026,0.8218444477263979,-0.5228121605339761,-0.22636066031686689,1751984483.3
581,5.795079442782041,9686,0.821841410807802,-0.5413970355871213,-0.1773864294102535,1751984483.888
582,5.794967240996186,9604,0.8218373023787254,-0.5554059297919661,-0.1269161202163895,1751984484.475
583,5.794901431572932,9642,0.82183419128814,-0.5606573799595612,-0.10125149049100084,1751984485.061
