scan,range_m,n,ux,uy,uz,ts
1966,3.7257092225789705,15912,0.9975742604330388,0.06712433422664939,-0.01843688357898101,1751969463.391
1967,3.722427037780997,15785,0.9975693278728167,0.06663358522313924,-0.02038139857044404,1751969463.725
1968,3.719137626615342,15847,0.997564691663351,0.06608218844837645,-0.022312111430264202,1751969464.058
1969,3.715862936041371,15975,0.9975601852777474,0.0654717613281448,-0.02423066687519989,1751969464.394
1970,3.712612240555967,15831,0.9975556410596007,0.06480542939050357,-0.026134255521850523,1751969464.729
1971,3.709369577261074,15910,0.9975512557657437,0.06408122861924914,-0.028019426454432266,1751969465.061
1972,3.706134635493698,15954,0.997546985843027,0.0632997979041788,-0.02988555873296905,1751969465.398
1973,3.7029202999142434,15695,0.997542642317473,0.062466326518559274,-0.03172750871957505,1751969465.732
1974,3.6997255817449477,15975,0.997538112915237,0.06158277142284007,-0.03354512699916564,1751969466.066
1975,3.6965401474812913,16018,0.9975334583461475,0.060648489935648094,-0.035337800561160516,1751969466.401
1976,3.693351076724091,15819,0.9975288867685844,0.05966246044101921,-0.03710135949466809,1751969466.733
1977,3.690145193493338,16022,0.9975245876407189,0.05862567870635488,-0.03882945851326023,1751969467.069
1978,3.686919256059455,16017,0.9975206115450317,0.057540044689315374,-0.04051879563829083,1751969467.405
1979,3.683685788617428,15878,0.9975167573023463,0.056407335841498894,-0.04217263762531761,1751969467.736
1980,3.68045660887586,15984,0.9975128067819639,0.05522931066654486,-0.04379410404685391,1751969468.073
1981,3.67721833444113,15939,0.9975090161533887,0.05400380949980498,-0.04538007549803217,1751969468.408
1982,3.6739930247307213,15877,0.9975051339672184,0.05273089111813652,-0.0469357095496475,1751969468.741
1983,3.670784214828353,16062,0.9975009657422232,0.05141406314883374,-0.04846047310808736,1751969469.077
1984,3.6675668519529405,15906,0.9974968500255972,0.050053311998191206,-0.04994697335197639,1751969469.412
1985,3.66433693422357,16014,0.9974928516777494,0.048646710914599496,-0.051395606514398874,1751969469.744
1986,3.6610868171051316,16033,0.9974891203323093,0.047194213531065725,-0.05280303994903903,1751969470.081
1987,3.657820704032526,15838,0.9974856260657681,0.045698007319965595,-0.0541674987346402,1751969470.415
1988,3.654548181367022,16121,0.9974822693394817,0.04415872997239783,-0.055489899266286044,1751969470.749
1989,3.6512847749325177,16006,0.9974788814685689,0.042580578224193436,-0.0567694934124501,1751969471.083
1990,3.6480380642040986,15985,0.9974751535168974,0.04096927224318671,-0.05800721376092476,1751969471.416
1991,3.6447868424595136,16143,0.9974713956421271,0.03932559804313267,-0.0591972314749362,1751969471.752
1992,3.6415337200188045,16032,0.9974674917924371,0.03765412301933231,-0.060338792140291614,1751969472.083
1993,3.638275608464675,16085,0.9974635179066307,0.03595246619523282,-0.06143248830878691,1751969472.416
1994,3.6350110943331386,16180,0.9974593932259022,0.034220564040044976,-0.06247969159812182,1751969472.752
1995,3.6317367693731626,16132,0.997455029765345,0.03246201345335145,-0.06347977062316247,1751969473.083
1996,3.6284461952557607,16131,0.9974505369729323,0.030675483667700634,-0.06443167694668281,1751969473.417
