trajectory,rms_mm,rms_pa_mm,actual_t_mm,fo_err_deg,fd_err_deg
VI,112.87118331459226,48.63954816987555,171.70794254473446,37.272402723391394,85.71692152751267
VI,102.48970277287049,39.82188077938002,157.97110075949666,29.213878550071065,12.073597155403027
VI,112.23054253530346,46.36036827623204,169.00418317221917,32.62937436033824,16.668382531395924
VI,120.25578637663104,52.92829000061248,177.00262098992465,30.93758354405899,12.444384913708472
VI,125.05413924951075,55.66432503817313,181.34428975992185,34.90243804222467,15.149069057075863
VI,116.02424494640466,44.28726568513818,170.11749482180932,21.039167915214655,16.163167167941555
VI,112.16010523861462,39.31802683117731,165.7954790920251,12.492133491238578,19.746073240067496
VI,105.86779136709356,36.396939598077125,157.67035484980153,1.767027763815683,15.280395978096733
VI,106.3116013813452,36.3603994318599,155.9929060615343,7.676762415310153,14.775882620504376
VI,113.77643718025682,41.21384577256506,166.86330740421408,15.650099151488824,12.242221346787677
VI,114.92980963783164,46.03423266229165,172.5600364430163,30.73880125299288,13.304230441279921
VI,110.54409664260744,42.54240534567594,166.0177873164014,25.27813181380339,12.956886651957785
VI,107.09704737023084,39.99260709410576,161.4078916359028,24.70416289590593,19.223320147905063
VI,99.62173491898696,33.71895246666321,153.54050794159485,9.468714053503033,20.296103849764453
VI,101.13633524493116,35.64923647257994,150.8097917659292,6.481212659793668,20.148809349838995
VI,110.54440783107678,40.821772346148,163.55080020957504,9.595023617711142,23.629640131976277
VI,112.86509131646775,42.615636495191794,167.325263815381,15.517627449036548,11.627151500845988
VI,112.56571461157952,42.037557496164204,167.48296442893144,17.451816476765178,15.712319644434686
VI,114.9559068069026,43.48511009239751,173.2980905011048,30.00148584376204,14.529164120094247
VI,103.38307429031798,35.455140791692294,160.92697247757445,11.028790431214858,17.55363414437348
VI,104.0500736262008,35.358964301350376,161.97352733197442,17.706139396996395,18.042356348682343
VI,100.09849674377637,35.68750815485555,158.55648138854312,17.26836774472535,9.096259016174066
VI,110.09219290406504,41.80015167987162,169.25049803969063,26.627395828625207,19.946986976321444
VI,112.1189932264091,41.01215074334503,171.0491960099045,18.94682978735204,10.206406646841419
VI,118.46082737302636,45.01901645886651,174.76772426031093,28.24104526535964,8.948663138520704
VI,112.95019073373408,41.374534361896536,171.943414156315,23.684502577059575,25.809843884828616
VI,110.33937124393545,38.831108291265885,164.07611949653568,16.933284299015483,17.682702072247682
VI,102.3776054468336,34.733865904352406,153.70343685454984,6.57962162725232,9.378346608404728
VI,102.39604185745031,35.689720805936176,158.42411654808822,6.042696985647987,16.043315647984368
VI,98.94676914972102,35.70376697509305,157.00417428069878,6.106033959840144,16.184038662088312
VI,108.5886049289934,39.278558037942986,167.53618671274089,12.713573612580051,10.394312905345071
VI,110.95593418355756,40.5258315926577,166.73285885576394,23.71909884840025,16.32544025689453
VI,112.33190012828685,41.92360790680374,169.2620621372592,24.191686101199355,17.553543243010154
VI,106.3624857348388,38.68886067978585,163.70390341946205,20.001845443228202,18.299586787743156
VI,104.42515938791094,37.08267622710563,163.90606551228535,12.687364162230303,15.05978782439938
VI,107.40426626223788,38.07706775041079,162.39453725152765,5.536998366535028,22.819579561223726
VI,111.2617640122246,41.135363368064304,170.18456764944426,6.470220782067505,12.802318018403097
VI,110.77811974022076,42.18791342925152,168.83916811492188,9.111758838362743,19.79450083844452
VI,117.61996179089428,47.87251902550175,178.4287862168472,23.750431344947625,12.068607294497816
VI,115.28724769496328,48.47316547810246,173.70077073374077,32.5065774511476,30.66157164609191
VI,106.66138212911969,43.16334235033717,165.22863611562423,38.26111815973668,41.639229273283185
VI,103.22728650607554,38.48737718925021,159.5265427591356,27.806989927242316,16.546727335818176
VI,112.2421577183787,46.81940309629034,170.50493138468735,33.803399302026456,11.24207142305356
VI,119.59783861758632,49.98198094582833,177.1353425062904,30.790952130814162,12.985500116563221
