kind,form,real,g_gt,et_mm,eR_deg,J_gt,J_star,dJ,iters,on_bound,wmean,keep,traj,order,scan,ndist,in_support,block,n
p2p,huber,1,0.022231040743817054,81.29124750362996,1.054453721054432,0.0011843868680562807,0.0005073138150364135,0.0006770730530198672,40,0,0.7542894519298118,,iv,4,4,1.1301738383620625,False,0,9454
p2p,huber,0,6.30651334566232e-06,6.684877952577748e-14,1.0473845103809452e-14,,1.1391018598910623e-31,,2,0,1.0,,iv,4,4,1.1301738383620625,False,0,9454
p2p,trim,1,0.047916267411242344,62.34888031282803,0.8354234496055805,0.0015796550952651028,0.00030358260736463216,0.0012760724879004705,40,0,0.7999788449333616,0.7999788449333616,iv,4,4,1.1301738383620625,False,0,9454
p2p,trim,0,1.511455405514649e-05,6.570515636237361e-14,6.299923754883897e-15,,7.86010722964699e-32,,2,0,0.7999788449333616,0.7999788449333616,iv,4,4,1.1301738383620625,False,0,9454
p2l,ls,1,0.054117801234955056,101.23376224683018,1.1096902469178085,0.003908199980319215,0.001957521894682067,0.001950678085637148,16,0,1.0,,iv,4,4,1.1301738383620625,False,0,9454
p2l,ls,0,6.720860896682854e-06,0.0,0.0,,0.0,,2,0,1.0,,iv,4,4,1.1301738383620625,False,0,9454
p2l,huber,1,0.021578071851646372,104.20186628358437,1.5103278343733273,0.001070007235637181,0.0004094715394355592,0.0006605356962016218,40,0,0.8095761218348877,,iv,4,4,1.1301738383620625,False,0,9454
p2l,huber,0,3.36043044834152e-06,0.0,0.0,,0.0,,2,0,1.0,,iv,4,4,1.1301738383620625,False,0,9454
p2l,trim,1,0.04506248498237612,109.710767039331,1.4867375485628886,0.0013700860637829988,0.0001437264634687629,0.0012263596003142358,38,0,0.7999788449333616,0.7999788449333616,iv,4,4,1.1301738383620625,False,0,9454
p2l,trim,0,7.468381067344674e-06,0.0,0.0,,0.0,,2,0,0.7999788449333616,0.7999788449333616,iv,4,4,1.1301738383620625,False,0,9454
p2p,ls,1,0.058746248155712756,102.65654164511754,1.348864633138847,0.004332590434106375,0.002140435963269284,0.0021921544708370906,40,0,1.0,,iv,5,5,1.1304408754509854,False,0,9463
p2p,ls,0,1.4125210646717367e-05,1.9236667674542252e-13,2.44310464523234e-13,,8.558700748096302e-30,,2,0,1.0,,iv,5,5,1.1304408754509854,False,0,9463
p2p,huber,1,0.02108109260029059,82.43608083988177,1.0362828737312293,0.0012006731770636836,0.0005161493617906991,0.0006845238152729845,40,0,0.7575314476741425,,iv,5,5,1.1304408754509854,False,0,9463
p2p,huber,0,7.062605323359087e-06,1.9236667674542252e-13,2.44310464523234e-13,,8.558700748096302e-30,,2,0,1.0,,iv,5,5,1.1304408754509854,False,0,9463
p2p,trim,1,0.04796937736405558,64.15203006900406,0.8179439604978532,0.001612604617775894,0.0003036501114028486,0.0013089545063730453,40,0,0.7999577301067314,0.7999577301067314,iv,5,5,1.1304408754509854,False,0,9463
p2p,trim,0,1.7131832291551974e-05,7.613569965889129e-14,4.571972914789776e-15,,9.95559861669198e-32,,2,0,0.7999577301067314,0.7999577301067314,iv,5,5,1.1304408754509854,False,0,9463
p2l,ls,1,0.053544600931291784,100.97803531318792,1.4804122874079844,0.003936429366451293,0.0020050776806292466,0.0019313516858220463,40,0,1.0,,iv,5,5,1.1304408754509854,False,0,9463
p2l,ls,0,7.3910651188500155e-06,0.0,0.0,,0.0,,2,0,1.0,,iv,5,5,1.1304408754509854,False,0,9463
p2l,huber,1,0.02034515812869216,105.88268621742886,1.5337165212406543,0.001093681903811715,0.0004130955917972874,0.0006805863120144275,40,0,0.8115686929719331,,iv,5,5,1.1304408754509854,False,0,9463
p2l,huber,0,3.695532559424991e-06,0.0,0.0,,0.0,,2,0,1.0,,iv,5,5,1.1304408754509854,False,0,9463
p2l,trim,1,0.045314076948504665,110.1393851393191,1.4241009327617675,0.0013969586586744962,0.0001415526713615852,0.0012554059873129111,40,0,0.7999577301067314,0.7999577301067314,iv,5,5,1.1304408754509854,False,0,9463
p2l,trim,0,4.502470681543622e-06,0.0,0.0,,0.0,,2,0,0.7999577301067314,0.7999577301067314,iv,5,5,1.1304408754509854,False,0,9463
p2p,ls,1,0.059256864404039745,100.87671958375533,1.2433668315510389,0.00437735872010509,0.002188291906003045,0.002189066814102045,40,0,1.0,,iv,6,6,1.1307226857761732,False,0,9502
p2p,ls,0,1.24895182379087e-05,7.708799437212302e-14,1.0532318540584842e-14,,8.846640533984956e-32,,2,0,1.0,,iv,6,6,1.1307226857761732,False,0,9502
p2p,huber,1,0.022060893264696405,83.28225754317093,1.0994437602669744,0.001231734791545926,0.0005218136682191754,0.0007099211233267506,40,0,0.7570132501264017,,iv,6,6,1.1307226857761732,False,0,9502
p2p,huber,0,6.244759118954268e-06,7.708799437212302e-14,1.0532318540584842e-14,,8.846640533984956e-32,,2,0,1.0,,iv,6,6,1.1307226857761732,False,0,9502
p2p,trim,1,0.04811011446752961,65.17381432904502,0.6121919354841213,0.0016281159598806642,0.0003010170831755624,0.0013270988767051018,40,0,0.8000420964007577,0.8000420964007577,iv,6,6,1.1307226857761732,False,0,9502
p2p,trim,0,1.542013703767273e-05,1.0551910960100406e-14,7.75929428766094e-15,,2.553647869588516e-32,,2,0,0.8000420964007577,0.8000420964007577,iv,6,6,1.1307226857761732,False,0,9502
p2l,ls,1,0.05501401751650595,98.66793453336615,1.1216691584261114,0.003988536041154329,0.0020561941768143894,0.0019323418643399396,40,0,1.0,,iv,6,6,1.1307226857761732,False,0,9502
p2l,ls,0,5.756385174829041e-06,0.0,0.0,,0.0,,2,0,1.0,,iv,6,6,1.1307226857761732,False,0,9502
p2l,huber,1,0.021670655570304752,104.74941080205069,1.0758139613259996,0.0011142293233209596,0.0004308693561141033,0.0006833599672068564,40,0,0.8114314075653607,,iv,6,6,1.1307226857761732,False,0,9502
p2l,huber,0,2.8781925874144e-06,0.0,0.0,,0.0,,2,0,1.0,,iv,6,6,1.1307226857761732,False,0,9502
p2l,trim,1,0.04469690423963781,108.8590548197474,1.1656204776322463,0.0014179059870314864,0.0001468910399403546,0.0012710149470911319,40,0,0.8000420964007577,0.8000420964007577,iv,6,6,1.1307226857761732,False,0,9502
p2l,trim,0,4.117617203028979e-06,0.0,0.0,,0.0,,2,0,0.8000420964007577,0.8000420964007577,iv,6,6,1.1307226857761732,False,0,9502
p2p,ls,1,0.05989321579097914,104.61576969421692,1.3948259143175263,0.004397163739476683,0.0021795817902106997,0.0022175819492659832,40,0,1.0,,iv,7,7,1.1309943353085379,False,0,9467
p2p,ls,0,1.0557191583809553e-05,1.8013789888241556e-13,1.1033555728405955e-14,,4.677265886245156e-31,,2,0,1.0,,iv,7,7,1.1309943353085379,False,0,9467
p2p,huber,1,0.02279493414906894,80.72284933017714,1.0014884828859818,0.0012095181487583584,0.0005286321106405773,0.0006808860381177811,40,0,0.7574740375943226,,iv,7,7,1.1309943353085379,False,0,9467
p2p,huber,0,5.278595791904744e-06,1.8013789888241556e-13,1.1033555728405955e-14,,4.677265886245156e-31,,2,0,1.0,,iv,7,7,1.1309943353085379,False,0,9467
p2p,trim,1,0.048773829762157085,61.07941910360993,0.5514893076378682,0.0016092031638437034,0.0003104783595533367,0.0012987248042903667,40,0,0.8000422520333791,0.8000422520333791,iv,7,7,1.1309943353085379,False,0,9467
p2p,trim,0,1.2758343367473783e-05,1.880676727188694e-14,9.746288799062469e-15,,2.932509221949176e-31,,2,0,0.8000422520333791,0.8000422520333791,iv,7,7,1.1309943353085379,False,0,9467
p2l,ls,1,0.056055654727203405,102.66520120372539,1.2474699380763894,0.004030052634598192,0.0020522611072875696,0.0019777915273106223,40,0,1.0,,iv,7,7,1.1309943353085379,False,0,9467
p2l,ls,0,6.8120731701917465e-06,0.0,0.0,,0.0,,2,0,1.0,,iv,7,7,1.1309943353085379,False,0,9467
p2l,huber,1,0.021938445459175632,105.71469295314243,1.527200044844068,0.0011104396366461836,0.00041850430452310133,0.0006919353321230824,40,0,0.8083523004611886,,iv,7,7,1.1309943353085379,False,0,9467
p2l,huber,0,3.4060365850958165e-06,0.0,0.0,,0.0,,2,0,1.0,,iv,7,7,1.1309943353085379,False,0,9467
p2l,trim,1,0.04569784950623817,109.9111879950614,1.8308680154198378,0.0014037595093424778,0.00014445738357844347,0.0012593021257640343,32,0,0.8000422520333791,0.8000422520333791,iv,7,7,1.1309943353085379,False,0,9467
