kind,form,real,g_gt,et_mm,eR_deg,J_gt,J_star,dJ,iters,on_bound,wmean,keep,traj,order,scan,ndist,in_support,block,n
p2l,ls,0,7.275929603179564e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,1,1,0.0,True,0,8693
p2l,huber,1,0.02640973483143444,137.54861905168485,4.062916423142305,0.0028502158382872696,0.000914918860646151,0.0019352969776411186,34,0,0.8137256073668941,,vi,1,1,0.0,True,0,8693
p2l,huber,0,3.637964801589861e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,1,1,0.0,True,0,8693
p2l,trim,1,0.03248660127971562,134.46539732528686,4.201280526983534,0.0029271183614950507,0.0002859973895431509,0.0026411209719519,19,0,0.7999539859657195,0.7999539859657195,vi,1,1,0.0,True,0,8693
p2l,trim,0,7.43275505326911e-06,0.0,0.0,,0.0,,2,0,0.7999539859657195,0.7999539859657195,vi,1,1,0.0,True,0,8693
p2p,ls,1,0.07044590816702158,155.5163438278263,6.306839081781899,0.010494984316744201,0.004874779597803962,0.005620204718940239,40,0,1.0,,vi,2,2,0.0,True,0,10100
p2p,ls,0,7.315455809311384e-06,9.396474428154619e-14,3.210872994192508e-15,,1.1794805206251139e-31,,2,0,1.0,,vi,2,2,0.0,True,0,10100
p2p,huber,1,0.03221947779631871,139.37858816870744,5.507928747921981,0.0036249802331790593,0.001393687968945422,0.0022312922642336373,40,0,0.7950642186884713,,vi,2,2,0.0,True,0,10100
p2p,huber,0,3.657727904655838e-06,9.396474428154619e-14,3.210872994192508e-15,,1.1794805206251139e-31,,2,0,1.0,,vi,2,2,0.0,True,0,10100
p2p,trim,1,0.040015248750619604,133.7903405608291,5.345708147647618,0.003776010765550099,0.00048002421323433623,0.0032959865523157625,40,0,0.8,0.8,vi,2,2,0.0,True,0,10100
p2p,trim,0,9.851247505308226e-06,9.46647116517903e-14,9.313482797186346e-15,,7.521184900505172e-32,,2,0,0.8,0.8,vi,2,2,0.0,True,0,10100
p2l,ls,1,0.05715284912992084,155.98786802141393,6.806911663888723,0.009473257381379576,0.00430448398210139,0.005168773399278186,40,0,1.0,,vi,2,2,0.0,True,0,10100
p2l,ls,0,9.636416638501373e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,2,2,0.0,True,0,10100
p2l,huber,1,0.026801104276437525,140.07079438560973,5.734686956084967,0.00323124609958763,0.0012729406682592198,0.00195830543132841,26,0,0.8119653312208219,,vi,2,2,0.0,True,0,10100
p2l,huber,0,4.818208319250626e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,2,2,0.0,True,0,10100
p2l,trim,1,0.03375744000173968,133.10448220119824,5.547106869605517,0.003120362661750926,0.0003779040452470536,0.0027424586165038724,40,0,0.8,0.8,vi,2,2,0.0,True,0,10100
p2l,trim,0,1.1228723453877303e-05,0.0,0.0,,0.0,,2,0,0.8,0.8,vi,2,2,0.0,True,0,10100
p2p,ls,1,0.08143047491677986,157.5692560650436,4.049028099531629,0.012223203784613348,0.005883091856914613,0.006340111927698735,32,0,1.0,,vi,3,3,0.0,True,0,10446
p2p,ls,0,1.3168766290466588e-05,2.8092345707826728e-14,4.983036541410836e-15,,3.0781932955499036e-32,,2,0,1.0,,vi,3,3,0.0,True,0,10446
p2p,huber,1,0.032187636542880864,138.93976703494354,3.677022423841322,0.00411033157827644,0.0019025433325913956,0.002207788245685044,40,0,0.801846765665218,,vi,3,3,0.0,True,0,10446
p2p,huber,0,6.584383145233762e-06,2.8092345707826728e-14,4.983036541410836e-15,,3.0781932955499036e-32,,2,0,1.0,,vi,3,3,0.0,True,0,10446
p2p,trim,1,0.043673848561674916,131.00687220570435,3.401004819370198,0.004192469817358988,0.0006377847195863574,0.0035546850977726304,40,0,0.8000191460846257,0.8000191460846257,vi,3,3,0.0,True,0,10446
p2p,trim,0,1.4722364098353981e-05,6.836356822001967e-14,1.3454902419418502e-14,,1.2256389530268701e-31,,2,0,0.8000191460846257,0.8000191460846257,vi,3,3,0.0,True,0,10446
p2l,ls,1,0.07559974630952676,156.98434856385367,4.153975289171641,0.011053805166937034,0.005098290695469205,0.005955514471467829,40,0,1.0,,vi,3,3,0.0,True,0,10446
p2l,ls,0,4.5920352947467e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,3,3,0.0,True,0,10446
p2l,huber,1,0.028306470762627458,141.2340137189162,3.780739129269656,0.003651648317248215,0.001817813431561766,0.001833834885686449,38,0,0.8207968701907896,,vi,3,3,0.0,True,0,10446
p2l,huber,0,2.296017647373284e-06,0.0,0.0,,0.0,,2,0,1.0,,vi,3,3,0.0,True,0,10446
