trajectory,order,scan,arm,et_mm,eR_deg,iters,on_bound,n_points,wmean,sumw,ess_w,keep_ratio,n_retain,block,in_support
III,173,173,Patch,55.88752394364223,1.6117096130223374,40,0,10323,1.0,10323.0,10323.0,1.0,10323,0,True
III,173,173,PatchHuber,50.837784532176784,2.2277293920684236,40,0,10323,0.7790727337598867,8042.367830603311,9079.861064265444,,10323,0,True
III,173,173,PatchTrim,54.30145177445445,2.48036049446091,40,0,10323,0.7999612515741548,8258.0,8258.0,0.7999612515741548,8258,0,True
III,173,173,Full,35.211518973286665,2.4507550427337916,40,0,10323,1.0,10323.0,10323.0,1.0,10323,0,True
III,174,174,Raw,77.93413157362168,1.4969168585239212,39,0,10342,1.0,10342.0,10342.0,1.0,10342,0,True
III,174,174,Huber,64.1991646208547,1.2716564498282845,23,0,10342,0.7479112218116668,7734.897855976258,8835.735778093836,,10342,0,True
III,174,174,Trim,64.12099490553385,1.0947156647974579,40,0,10342,0.8000386772384451,8274.0,8274.0,0.8000386772384451,8274,0,True
III,174,174,Patch,54.48430544348688,1.783326904603483,40,0,10342,1.0,10342.0,10342.0,1.0,10342,0,True
III,174,174,PatchHuber,48.144339589287284,2.164531913578962,40,0,10342,0.7786915659507557,8053.228175062716,9091.708272957347,,10342,0,True
III,174,174,PatchTrim,50.96622001414606,2.849552846346997,40,0,10342,0.8000386772384451,8274.0,8274.0,0.8000386772384451,8274,0,True
III,174,174,Full,34.19675737368757,2.314151837821042,40,0,10342,1.0,10342.0,10342.0,1.0,10342,0,True
III,175,175,Raw,78.52811152168114,1.3381010011662526,40,0,10344,1.0,10344.0,10344.0,1.0,10344,0,True
III,175,175,Huber,64.61737599812761,1.3116342088887534,19,0,10344,0.7458254795752711,7714.8187607266045,8828.939502972746,,10344,0,True
III,175,175,Trim,63.747169967913536,1.100103249153436,40,0,10344,0.7999806651198763,8275.0,8275.0,0.7999806651198763,8275,0,True
III,175,175,Patch,56.767055878545925,1.8222436964208149,40,0,10344,1.0,10344.0,10344.0,1.0,10344,0,True
III,175,175,PatchHuber,51.15325336904372,2.291348554135498,40,0,10344,0.7790062435070033,8058.040582836443,9087.172104128373,,10344,0,True
III,175,175,PatchTrim,54.438563571359666,2.6001793098487758,40,0,10344,0.7999806651198763,8275.0,8275.0,0.7999806651198763,8275,0,True
III,175,175,Full,37.58634469751476,2.726950636074458,40,0,10344,1.0,10344.0,10344.0,1.0,10344,0,True
III,176,176,Raw,78.40667467437719,1.5686288079174784,39,0,10273,1.0,10273.0,10273.0,1.0,10273,0,True
III,176,176,Huber,64.36358606968945,1.3435963017152288,22,0,10273,0.7387037604868787,7588.703731481705,8728.1101011194,,10273,0,True
III,176,176,Trim,64.19039375092953,1.2223502205366068,40,0,10273,0.7999610629806289,8218.0,8218.0,0.7999610629806289,8218,0,True
III,176,176,Patch,56.48423387437697,1.8029826457179037,40,0,10273,1.0,10273.0,10273.0,1.0,10273,0,True
III,176,176,PatchHuber,51.41629616716288,2.1492177437202833,40,0,10273,0.7807261851604719,8020.400100153527,9044.329909743228,,10273,0,True
III,176,176,PatchTrim,53.9396382246786,2.6895499252302995,40,0,10273,0.7999610629806289,8218.0,8218.0,0.7999610629806289,8218,0,True
III,176,176,Full,36.45942203000903,2.3442116853640464,40,0,10273,1.0,10273.0,10273.0,1.0,10273,0,True
III,177,177,Raw,80.28114817582946,1.3941222118929835,40,0,10307,1.0,10307.0,10307.0,1.0,10307,0,True
III,177,177,Huber,65.09985167269187,1.1315278552770511,40,0,10307,0.738917209581618,7616.019679157736,8735.403275785558,,10307,0,True
III,177,177,Trim,63.882614239759924,1.2035700548524564,40,0,10307,0.8000388085766954,8246.0,8246.0,0.8000388085766954,8246,0,True
III,177,177,Patch,60.84978634516411,1.9866348494775523,40,0,10307,1.0,10307.0,10307.0,1.0,10307,0,True
III,177,177,PatchHuber,52.038082033909745,2.2180067986201926,40,0,10307,0.7793585764559351,8032.848847531323,9058.792644030318,,10307,0,True
III,177,177,PatchTrim,54.63975242218126,2.823730460140968,40,0,10307,0.8000388085766954,8246.0,8246.0,0.8000388085766954,8246,0,True
III,177,177,Full,39.931695819881526,2.4403582442906,40,0,10307,1.0,10307.0,10307.0,1.0,10307,0,True
III,178,178,Raw,81.06840815972195,1.4641269978877,40,0,10281,1.0,10281.0,10281.0,1.0,10281,0,True
III,178,178,Huber,65.26002634109474,1.1932632817763134,40,0,10281,0.7431232576560124,7640.050211961463,8735.646150767252,,10281,0,True
III,178,178,Trim,64.29472957460712,1.1661875914062203,40,0,10281,0.800019453360568,8225.0,8225.0,0.800019453360568,8225,0,True
III,178,178,Patch,61.23279277113303,1.8218821783081725,40,0,10281,1.0,10281.0,10281.0,1.0,10281,0,True
III,178,178,PatchHuber,54.1155909972472,2.203008421207945,40,0,10281,0.7841892681331386,8062.249865676798,9060.984571911597,,10281,0,True
III,178,178,PatchTrim,56.17013880338352,2.6682499986943995,40,0,10281,0.800019453360568,8225.0,8225.0,0.800019453360568,8225,0,True
III,178,178,Full,40.521094921029686,2.229912697804561,40,0,10281,1.0,10281.0,10281.0,1.0,10281,0,True
III,179,179,Raw,80.80746720980446,1.6577743463198644,40,0,10311,1.0,10311.0,10311.0,1.0,10311,0,True
III,179,179,Huber,64.46841333283365,1.2375936542790886,40,0,10311,0.7500019287181077,7733.269887012409,8793.77523902692,,10311,0,True
III,179,179,Trim,63.25551040020391,1.2242196493134985,40,0,10311,0.800019396760741,8249.0,8249.0,0.800019396760741,8249,0,True
III,179,179,Patch,60.22418265806091,1.8323487658564388,40,0,10311,1.0,10311.0,10311.0,1.0,10311,0,True
III,179,179,PatchHuber,52.146635055010144,2.3151792898242824,40,0,10311,0.7817219183287949,8060.334699888204,9061.483120349336,,10311,0,True
III,179,179,PatchTrim,53.49927347606829,2.7163504490216184,40,0,10311,0.800019396760741,8249.0,8249.0,0.800019396760741,8249,0,True
III,179,179,Full,40.49159761224178,2.192740383282116,40,0,10311,1.0,10311.0,10311.0,1.0,10311,0,True
III,180,180,Raw,79.64288638946937,1.7201185772263632,40,0,10296,1.0,10296.0,10296.0,1.0,10296,0,True
III,180,180,Huber,62.70640256165963,1.1780882749794273,40,0,10296,0.7518767376941919,7741.3228912994,8782.806766619662,,10296,0,True
III,180,180,Trim,60.63315700897662,1.3275852120967302,40,0,10296,0.800019425019425,8237.0,8237.0,0.800019425019425,8237,0,True
III,180,180,Patch,60.381676899067415,2.0323216926380177,40,0,10296,1.0,10296.0,10296.0,1.0,10296,0,True
