traj,scan,ptype,magnitude,axis,et_mm,eR_deg,dir_cos
vi,6,rotation,1.0,"[0.0, 0.0, 1.0]",74.92942743687892,3.8905215529246644,0.9999999999998216
vi,6,rotation,2.0,"[0.0, 0.0, 1.0]",74.9294274368768,3.890521552924663,0.9999999999998219
vi,6,combined,25.0,"[0.0, 0.0, 1.0]",74.92850460459942,3.8908480299034953,0.9999999976392238
vi,6,combined,50.0,"[0.0, 0.0, 1.0]",74.92703427746841,3.8906919803802085,0.9999999930901079
vi,6,combined,100.0,"[0.0, 0.0, 1.0]",74.9257921043139,3.88993295056504,0.9999999772007732
vi,9,oracle,0.0,all,78.40855767093515,5.161679843502779,1.0
vi,9,translation,10.0,"[1.0, 0.0, 0.0]",78.4162047223621,5.161805438171496,0.9999999993076184
vi,9,translation,25.0,"[1.0, 0.0, 0.0]",78.43083407804636,5.161665032427514,0.999999995073706
vi,9,translation,50.0,"[1.0, 0.0, 0.0]",78.48728211135403,5.16522791392249,0.9999999600577504
vi,9,translation,100.0,"[1.0, 0.0, 0.0]",79.32303371997702,5.181435579033875,0.9999863417078753
vi,9,rotation,0.25,"[1.0, 0.0, 0.0]",78.40855767093515,5.161679843502779,0.9999999999998375
vi,9,rotation,0.5,"[1.0, 0.0, 0.0]",78.40855767093439,5.161679843502777,0.9999999999998375
vi,9,rotation,1.0,"[1.0, 0.0, 0.0]",78.40855767093328,5.16167984350278,0.9999999999998374
vi,9,rotation,2.0,"[1.0, 0.0, 0.0]",78.40855767093372,5.161679843502798,0.9999999999998374
vi,9,combined,25.0,"[1.0, 0.0, 0.0]",78.43083407804671,5.161665032427498,0.999999995073706
vi,9,combined,50.0,"[1.0, 0.0, 0.0]",78.48728211135338,5.165227913922484,0.9999999600577505
vi,9,combined,100.0,"[1.0, 0.0, 0.0]",79.32303371997897,5.181435579033847,0.999986341707875
vi,9,translation,10.0,"[0.0, 1.0, 0.0]",78.40310773413843,5.165347854794384,0.9999999858509565
vi,9,translation,25.0,"[0.0, 1.0, 0.0]",78.41531789581977,5.169510359383918,0.9999999113482363
vi,9,translation,50.0,"[0.0, 1.0, 0.0]",78.42592870910563,5.172840854779588,0.9999996361216178
vi,9,translation,100.0,"[0.0, 1.0, 0.0]",78.38868654728604,5.175228317713065,0.99999827083786
vi,9,rotation,0.25,"[0.0, 1.0, 0.0]",78.40855767093439,5.161679843502777,0.9999999999998375
vi,9,rotation,0.5,"[0.0, 1.0, 0.0]",78.40855767093336,5.161679843502759,0.9999999999998375
vi,9,rotation,1.0,"[0.0, 1.0, 0.0]",78.40855767093336,5.161679843502759,0.9999999999998375
vi,9,rotation,2.0,"[0.0, 1.0, 0.0]",78.40855767093579,5.161679843502786,0.9999999999998375
vi,9,combined,25.0,"[0.0, 1.0, 0.0]",78.41531789581808,5.169510359383934,0.9999999113482363
vi,9,combined,50.0,"[0.0, 1.0, 0.0]",78.42592870910674,5.172840854779566,0.9999996361216179
vi,9,combined,100.0,"[0.0, 1.0, 0.0]",78.38868654728671,5.175228317713068,0.9999982708378601
vi,9,translation,10.0,"[0.0, 0.0, 1.0]",78.41194431897567,5.161330461463707,0.9999999992824552
vi,9,translation,25.0,"[0.0, 0.0, 1.0]",78.41568974437322,5.161455848845825,0.9999999987206238
vi,9,translation,50.0,"[0.0, 0.0, 1.0]",78.41628969896088,5.162048816836875,0.9999999971302416
vi,9,translation,100.0,"[0.0, 0.0, 1.0]",78.41987397849516,5.162022266311169,0.9999999742530509
