traj,scan,ptype,magnitude,axis,et_mm,eR_deg,dir_cos
iv,217,translation,10.0,"[1.0, 0.0, 0.0]",69.78932437951623,1.3512609758539513,0.9999999937780885
iv,217,translation,25.0,"[1.0, 0.0, 0.0]",69.79273206397487,1.3512858883989016,0.9999999913551489
iv,217,translation,50.0,"[1.0, 0.0, 0.0]",69.79946893456231,1.3515569652746198,0.9999999980528061
iv,217,translation,100.0,"[1.0, 0.0, 0.0]",69.83924968492593,1.3514576090742738,0.9999999534114244
iv,217,rotation,0.25,"[1.0, 0.0, 0.0]",69.79308181754244,1.3510949310637541,0.9999999999997948
iv,217,rotation,0.5,"[1.0, 0.0, 0.0]",69.79308181754314,1.3510949310637919,0.9999999999997947
iv,217,rotation,1.0,"[1.0, 0.0, 0.0]",69.79308181754314,1.3510949310637919,0.9999999999997947
iv,217,rotation,2.0,"[1.0, 0.0, 0.0]",69.79308181754291,1.351094931063768,0.9999999999997947
iv,217,combined,25.0,"[1.0, 0.0, 0.0]",69.79273206397487,1.3512858883989016,0.9999999913551489
iv,217,combined,50.0,"[1.0, 0.0, 0.0]",69.79946893456231,1.3515569652746198,0.9999999980528061
iv,217,combined,100.0,"[1.0, 0.0, 0.0]",69.83924968492593,1.3514576090742738,0.9999999534114244
iv,217,translation,10.0,"[0.0, 1.0, 0.0]",69.79599276651223,1.3508790060626803,0.999999997115682
iv,217,translation,25.0,"[0.0, 1.0, 0.0]",69.79895998018864,1.3515111366071944,0.9999999921120613
iv,217,translation,50.0,"[0.0, 1.0, 0.0]",69.83055963232465,1.3523222953019083,0.9999999290206131
iv,217,translation,100.0,"[0.0, 1.0, 0.0]",69.86173195130011,1.3537552967621715,0.9999995539019212
iv,217,rotation,0.25,"[0.0, 1.0, 0.0]",69.79308181754314,1.3510949310637919,0.9999999999997947
iv,217,rotation,0.5,"[0.0, 1.0, 0.0]",69.79308181754314,1.3510949310637919,0.9999999999997947
iv,217,rotation,1.0,"[0.0, 1.0, 0.0]",69.79308181754271,1.3510949310637652,0.9999999999997947
iv,217,rotation,2.0,"[0.0, 1.0, 0.0]",69.79308181754202,1.3510949310637912,0.9999999999997947
iv,217,combined,25.0,"[0.0, 1.0, 0.0]",69.79895998018864,1.3515111366071944,0.9999999921120613
iv,217,combined,50.0,"[0.0, 1.0, 0.0]",69.83055963232542,1.3523222953019438,0.9999999290206131
iv,217,combined,100.0,"[0.0, 1.0, 0.0]",69.86173195129936,1.3537552967621709,0.9999995539019211
iv,217,translation,10.0,"[0.0, 0.0, 1.0]",69.79311485690927,1.3510938290277543,0.9999999999957913
iv,217,translation,25.0,"[0.0, 0.0, 1.0]",69.79196960430245,1.3510034835426652,0.9999999987085085
iv,217,translation,50.0,"[0.0, 0.0, 1.0]",69.79014938019905,1.351266382072945,0.9999999898384389
iv,217,translation,100.0,"[0.0, 0.0, 1.0]",69.79310175865943,1.3504781668333072,0.999999980693895
iv,217,rotation,0.25,"[0.0, 0.0, 1.0]",69.79308181754269,1.3510949310637694,0.9999999999997948
iv,217,rotation,0.5,"[0.0, 0.0, 1.0]",69.79308181754294,1.3510949310637783,0.9999999999997947
iv,217,rotation,1.0,"[0.0, 0.0, 1.0]",69.79308181754246,1.3510949310637939,0.9999999999997947
iv,217,rotation,2.0,"[0.0, 0.0, 1.0]",69.79308181754251,1.3510949310637788,0.9999999999997945
iv,217,combined,25.0,"[0.0, 0.0, 1.0]",69.79196960430167,1.3510034835426723,0.9999999987085085
iv,217,combined,50.0,"[0.0, 0.0, 1.0]",69.79014938020049,1.351266382072927,0.9999999898384386
iv,217,combined,100.0,"[0.0, 0.0, 1.0]",69.7931017586601,1.3504781668333166,0.9999999806938953
iv,218,oracle,0.0,all,71.52979521252249,1.5734064479836085,1.0
iv,218,translation,10.0,"[1.0, 0.0, 0.0]",71.52841667038462,1.5735385734563156,0.9999999998288394
iv,218,translation,25.0,"[1.0, 0.0, 0.0]",71.52908833334168,1.573412498019242,0.9999999925992683
iv,218,translation,50.0,"[1.0, 0.0, 0.0]",71.53266481988562,1.57361073982681,0.9999999857932546
iv,218,translation,100.0,"[1.0, 0.0, 0.0]",71.52069235897132,1.5734344455651534,0.9999999227949968
iv,218,rotation,0.25,"[1.0, 0.0, 0.0]",71.52979521252249,1.5734064479836085,0.9999999999998045
iv,218,rotation,0.5,"[1.0, 0.0, 0.0]",71.52979521252354,1.5734064479836414,0.9999999999998045
iv,218,rotation,1.0,"[1.0, 0.0, 0.0]",71.52979521252249,1.5734064479836085,0.9999999999998045
iv,218,rotation,2.0,"[1.0, 0.0, 0.0]",71.52979521252249,1.5734064479836085,0.9999999999998045
