traj,order,scan,ndist,in_support,arm,et_mm,eR_deg,corr_dir_cos,disp_dir_cos
ii,14,14,2.333399365589161,False,T0_raw,68.11729534068147,1.740714765669308,,
ii,14,14,2.333399365589161,False,oracle,20.650095351745886,0.932615974793013,,
ii,14,14,2.333399365589161,False,est_gtstart,20.650072036356413,0.9326140764137019,,
ii,14,14,2.333399365589161,False,est_warmstart,20.766989829677122,1.120769599728127,,
ii,14,14,2.333399365589161,False,view_gap,0.17691237753609826,31.902513662732446,0.9999999999868342,0.99999999998609
ii,15,15,2.3235169359610572,False,T0_raw,55.27740608064596,1.252378585853074,,
ii,15,15,2.3235169359610572,False,oracle,18.43992443565632,0.8961684588814965,,
ii,15,15,2.3235169359610572,False,est_gtstart,18.43992010167689,0.8961687239185212,,
ii,15,15,2.3235169359610572,False,est_warmstart,18.65650343243483,0.9091085120850877,,
ii,15,15,2.3235169359610572,False,view_gap,0.13845534112651608,29.043833602372615,0.9999999999895376,0.9999999999874039
ii,16,16,2.3138217093691362,False,T0_raw,44.31721158770417,1.3332271740712498,,
ii,16,16,2.3138217093691362,False,oracle,30.00370974114441,0.7200003898247195,,
ii,16,16,2.3138217093691362,False,est_gtstart,30.003735102321127,0.7200000033945397,,
ii,16,16,2.3138217093691362,False,est_warmstart,29.595439604569094,0.7898009540177301,,
ii,16,16,2.3138217093691362,False,view_gap,0.09207963355250844,31.436497674164343,0.999999999999008,0.9999999999998704
ii,17,17,2.3052071711025426,False,T0_raw,39.855595813950885,1.2893707521785236,,
ii,17,17,2.3052071711025426,False,oracle,48.20749183420808,0.8852451239486612,,
ii,17,17,2.3052071711025426,False,est_gtstart,48.12024400448764,0.7978517064881799,,
ii,17,17,2.3052071711025426,False,est_warmstart,48.73121042869478,0.765985732578246,,
ii,17,17,2.3052071711025426,False,view_gap,0.06969719646409185,32.10617280600658,0.9983500950586587,0.9977892031302238
ii,18,18,2.296449664788519,False,T0_raw,35.37100781375872,0.8284405941647983,,
ii,18,18,2.296449664788519,False,oracle,11.549226330349581,0.9444347040515221,,
ii,18,18,2.296449664788519,False,est_gtstart,29.002250760823287,1.1752778476491599,,
ii,18,18,2.296449664788519,False,est_warmstart,28.952279531137542,1.176720228670854,,
ii,18,18,2.296449664788519,False,view_gap,0.049683366176472,31.12005391893291,0.9592573398501165,0.9769569750796123
ii,19,19,2.282290746081116,False,T0_raw,38.7308692881637,0.3842543906351794,,
ii,19,19,2.282290746081116,False,oracle,37.284845412105064,0.7776143267473884,,
ii,19,19,2.282290746081116,False,est_gtstart,37.29244739590433,0.7757031504569032,,
ii,19,19,2.282290746081116,False,est_warmstart,37.811244739588034,0.7664462352341542,,
ii,19,19,2.282290746081116,False,view_gap,0.06643125551558113,31.559533310453247,0.9999999995205864,0.9999999393365733
ii,20,20,2.2680544422736757,False,T0_raw,49.18903829372919,1.1456655615600602,,
ii,20,20,2.2680544422736757,False,oracle,43.42384808313201,1.1557008189102471,,
ii,20,20,2.2680544422736757,False,est_gtstart,48.88777162298595,1.2609397112067124,,
ii,20,20,2.2680544422736757,False,est_warmstart,49.51894075448576,1.28639213259282,,
ii,20,20,2.2680544422736757,False,view_gap,0.11491441841532027,30.250735558052355,0.9977715843913416,0.9998015123120597
ii,21,21,2.2538686676550364,False,T0_raw,52.88302880278201,1.2072176451474341,,
ii,21,21,2.2538686676550364,False,oracle,47.86599923030996,1.4705537450016444,,
ii,21,21,2.2538686676550364,False,est_gtstart,47.865121363592685,1.4702173320736975,,
ii,21,21,2.2538686676550364,False,est_warmstart,49.219793076983116,1.522644849629908,,
ii,21,21,2.2538686676550364,False,view_gap,0.13370333353285488,27.66496039282984,0.9999999995548442,0.9999999664502875
ii,22,22,2.239934428284223,False,T0_raw,56.993825168191265,1.108533611211237,,
ii,22,22,2.239934428284223,False,oracle,47.61133406485291,1.59401383390161,,
ii,22,22,2.239934428284223,False,est_gtstart,47.59412257799899,1.5923283050769301,,
ii,22,22,2.239934428284223,False,est_warmstart,48.16809263040561,1.6317629652726455,,
ii,22,22,2.239934428284223,False,view_gap,0.15002772257463115,26.40466505361516,0.9999999999095098,0.9999999841982881
