traj,order,scan,ndist,in_support,arm,et_mm,eR_deg,corr_dir_cos,disp_dir_cos
vi,8,8,0.0,True,est_warmstart,70.81933917794726,4.48462997168282,,
vi,8,8,0.0,True,view_gap,0.5317077022185672,70.09219909605946,0.9999957964041424,0.9999881794446603
vi,9,9,0.0,True,T0_raw,162.76387570565672,5.695298360469941,,
vi,9,9,0.0,True,oracle,78.40855767093515,5.161679843502779,,
vi,9,9,0.0,True,est_gtstart,78.50111320037246,5.176556119221752,,
vi,9,9,0.0,True,est_warmstart,78.59669697046927,5.29579542481065,,
vi,9,9,0.0,True,view_gap,0.54586559868307,80.79757287461042,0.9999954880406503,0.9999978229470924
vi,10,10,0.0,True,T0_raw,163.84990616459143,6.0695321932330515,,
vi,10,10,0.0,True,oracle,83.38415687573034,5.588954617226756,,
vi,10,10,0.0,True,est_gtstart,82.63452532552789,5.660619790926592,,
vi,10,10,0.0,True,est_warmstart,82.38725520118763,5.842858250207648,,
vi,10,10,0.0,True,view_gap,0.5444365423518112,83.5624331673479,0.9990013310919325,0.9999043923162101
vi,11,11,0.0,True,T0_raw,152.3683029101362,4.315373101705014,,
vi,11,11,0.0,True,oracle,78.27570995247846,4.5396428031603175,,
vi,11,11,0.0,True,est_gtstart,77.92801630742758,4.816934152630435,,
vi,11,11,0.0,True,est_warmstart,78.58292907961095,4.486970803165579,,
vi,11,11,0.0,True,view_gap,0.5197611515244657,71.59407841745846,0.995834602949594,0.9999871162045859
vi,12,12,0.0,True,T0_raw,151.08436946473967,5.506534194407443,,
vi,12,12,0.0,True,oracle,69.40976246071322,3.5698988757788404,,
vi,12,12,0.0,True,est_gtstart,69.83415868700395,3.599359151602311,,
vi,12,12,0.0,True,est_warmstart,70.11611569152888,3.701160952911945,,
vi,12,12,0.0,True,view_gap,0.5262904399201997,65.46437661266147,0.994022895958198,0.9998872052558311
vi,13,13,0.0,True,T0_raw,163.08384629251057,5.743751682491509,,
vi,13,13,0.0,True,oracle,79.18155278094434,3.0401354738920574,,
vi,13,13,0.0,True,est_gtstart,81.99251125456662,3.1534720257399735,,
vi,13,13,0.0,True,est_warmstart,82.08989545122658,3.195617400713224,,
vi,13,13,0.0,True,view_gap,0.5503442484891569,79.38786530992026,0.9998429280659518,0.9998066841905952
vi,14,14,0.0,True,T0_raw,168.55513728444114,5.716289539132535,,
vi,14,14,0.0,True,oracle,90.8327757213089,3.036689271671352,,
vi,14,14,0.0,True,est_gtstart,91.49316739267528,3.1097513885165933,,
vi,14,14,0.0,True,est_warmstart,91.77341466401407,3.1513041545110947,,
vi,14,14,0.0,True,view_gap,0.5595364636899344,86.1585003308818,0.9998570705434439,0.9999977087715304
vi,15,15,0.0,True,T0_raw,159.33941877436058,5.4582045497319,,
vi,15,15,0.0,True,oracle,85.03862691925892,3.6736489625466073,,
vi,15,15,0.0,True,est_gtstart,86.79960379449204,3.489448762737079,,
vi,15,15,0.0,True,est_warmstart,86.52642443478052,3.7286821403524777,,
vi,15,15,0.0,True,view_gap,0.5317348705423701,80.262845285473,0.9994945248153764,0.9995802645670893
vi,16,16,0.0,True,T0_raw,156.15726873046648,5.940196495100716,,
vi,16,16,0.0,True,oracle,89.11294002186709,4.3788575440138064,,
vi,16,16,0.0,True,est_gtstart,89.28086510865667,4.3613758259883015,,
vi,16,16,0.0,True,est_warmstart,88.79030022220051,4.702003256544776,,
vi,16,16,0.0,True,view_gap,0.5207022106571584,78.84887145609021,0.9999906776700849,0.999996742617599
vi,17,17,0.0,True,T0_raw,151.3464905926848,4.078496399957601,,
vi,17,17,0.0,True,oracle,88.62841081797632,3.072436247843718,,
vi,17,17,0.0,True,est_gtstart,88.60997301286324,2.9217551646574567,,
vi,17,17,0.0,True,est_warmstart,88.59770799882887,2.976233521216645,,
vi,17,17,0.0,True,view_gap,0.5100891532879958,73.99888512670572,0.9996270959618708,0.9998752257023642
vi,18,18,0.0,True,T0_raw,146.08169726687532,4.456519337665111,,
vi,18,18,0.0,True,oracle,85.00591876957415,2.668875145396649,,
vi,18,18,0.0,True,est_gtstart,84.39824340392148,2.5532981852342074,,
vi,18,18,0.0,True,est_warmstart,84.42660686348593,2.626523187124937,,
vi,18,18,0.0,True,view_gap,0.4956873866889013,69.88531646319629,0.9997667957706903,0.9996877849357607
vi,19,19,0.0,True,T0_raw,148.62554572919302,5.469626925583501,,
vi,19,19,0.0,True,oracle,74.30087989901311,2.6197696396926524,,
vi,19,19,0.0,True,est_gtstart,74.81089411758909,2.5737341989479674,,
vi,19,19,0.0,True,est_warmstart,74.60707491827212,2.6875962200212387,,
vi,19,19,0.0,True,view_gap,0.5112202236591732,67.73309420610296,0.9998684901991107,0.9997288203990587
vi,20,20,0.0,True,T0_raw,158.3950859458633,6.336142827199101,,
vi,20,20,0.0,True,oracle,79.55543730208053,3.6610994617728627,,
vi,20,20,0.0,True,est_gtstart,79.76398684435776,3.648248305671781,,
vi,20,20,0.0,True,est_warmstart,79.77730013574102,3.7401884402167593,,
vi,20,20,0.0,True,view_gap,0.5470113343810501,71.03013979439332,0.9999955524961672,0.999998390877253
vi,21,21,0.0,True,T0_raw,156.29876363566726,6.249994648290088,,
vi,21,21,0.0,True,oracle,73.73727814530697,3.1324602125229535,,
vi,21,21,0.0,True,est_gtstart,73.87168613525388,3.119420679454646,,
vi,21,21,0.0,True,est_warmstart,73.98283967720785,3.4824544250655296,,
vi,21,21,0.0,True,view_gap,0.5478739229115095,65.78920360682261,0.9999938204347192,0.999995800618327
vi,22,22,0.0,True,T0_raw,149.4569197631465,3.820962892828501,,
vi,22,22,0.0,True,oracle,72.6032147062179,1.8502273701222158,,
vi,22,22,0.0,True,est_gtstart,73.67030321912576,1.9260961672356596,,
vi,22,22,0.0,True,est_warmstart,73.86786445198436,1.9669312656896558,,
vi,22,22,0.0,True,view_gap,0.519444847635309,65.32953630846094,0.9993845352284191,0.9998663960922244
vi,23,23,0.0,True,T0_raw,138.51690381793904,4.124843338751022,,
vi,23,23,0.0,True,oracle,70.1858692803191,2.1267438693962166,,
vi,23,23,0.0,True,est_gtstart,72.71584792526787,2.298759051290063,,
vi,23,23,0.0,True,est_warmstart,72.67788590782811,2.430234962651345,,
vi,23,23,0.0,True,view_gap,0.4878652337847535,57.057429344363086,0.9996513651899165,0.9993126105410919
vi,24,24,0.0,True,T0_raw,136.66836451021706,4.590854467131406,,
vi,24,24,0.0,True,oracle,52.16883835481699,2.2689006066560444,,
vi,24,24,0.0,True,est_gtstart,53.03983753116875,2.2382072390744203,,
vi,24,24,0.0,True,est_warmstart,53.10475303903933,2.3495089322166045,,
vi,24,24,0.0,True,view_gap,0.47476494753321674,59.89143186900492,0.9999253725453237,0.9994351359531699
vi,25,25,0.0,True,T0_raw,148.95619195369554,5.5518306878482555,,
vi,25,25,0.0,True,oracle,67.53246487238185,1.9174252032965846,,
vi,25,25,0.0,True,est_gtstart,67.48722490562886,1.913783092171358,,
vi,25,25,0.0,True,est_warmstart,67.47277871936986,2.217247868817433,,
vi,25,25,0.0,True,view_gap,0.5033183414203013,72.19154124085847,0.9999968833251969,0.9999924486118159
vi,26,26,0.0,True,T0_raw,153.02759628245957,4.624442332102668,,
vi,26,26,0.0,True,oracle,70.28309756974227,1.0801600740024526,,
vi,26,26,0.0,True,est_gtstart,70.19650850037407,1.0827258806048257,,
vi,26,26,0.0,True,est_warmstart,70.1210588306853,1.1031911006057114,,
