traj,scan,ptype,magnitude,axis,et_mm,eR_deg,dir_cos
v,1703,rotation,0.25,"[0.0, 0.0, 1.0]",130.98208355026674,2.4381698412711703,0.9999999999999419
v,1703,rotation,0.5,"[0.0, 0.0, 1.0]",130.98208355026674,2.4381698412711703,0.9999999999999419
v,1703,rotation,1.0,"[0.0, 0.0, 1.0]",130.98208355026674,2.4381698412711703,0.9999999999999419
v,1703,rotation,2.0,"[0.0, 0.0, 1.0]",130.98208355026674,2.4381698412711703,0.9999999999999419
v,1703,combined,25.0,"[0.0, 0.0, 1.0]",130.97847030539222,2.438216735341127,0.9999999998714562
v,1703,combined,50.0,"[0.0, 0.0, 1.0]",130.97870847518797,2.4383819937732625,0.9999999994019195
v,1703,combined,100.0,"[0.0, 0.0, 1.0]",130.97065195070425,2.438726783419297,0.9999999964082475
v,1716,oracle,0.0,all,102.44111222189609,2.007007862267781,1.0
v,1716,translation,10.0,"[1.0, 0.0, 0.0]",102.44274010064146,2.006707962899608,0.9999999951999815
v,1716,translation,25.0,"[1.0, 0.0, 0.0]",102.4390294675177,2.006626881707148,0.9999999994994189
v,1716,translation,50.0,"[1.0, 0.0, 0.0]",102.44064098168325,2.0065704656649603,0.9999999919911546
v,1716,translation,100.0,"[1.0, 0.0, 0.0]",102.43815378323423,2.0066539513057893,0.999999990284089
v,1716,rotation,0.25,"[1.0, 0.0, 0.0]",102.44111222189609,2.007007862267781,0.9999999999999047
v,1716,rotation,0.5,"[1.0, 0.0, 0.0]",102.44111222189609,2.007007862267781,0.9999999999999047
v,1716,rotation,1.0,"[1.0, 0.0, 0.0]",102.44111222189609,2.007007862267781,0.9999999999999047
v,1716,rotation,2.0,"[1.0, 0.0, 0.0]",102.44111222189609,2.007007862267781,0.9999999999999047
v,1716,combined,25.0,"[1.0, 0.0, 0.0]",102.4390294675177,2.006626881707148,0.9999999994994189
v,1716,combined,50.0,"[1.0, 0.0, 0.0]",102.44064098168514,2.006570465664933,0.9999999919911546
v,1716,combined,100.0,"[1.0, 0.0, 0.0]",102.43815378323423,2.0066539513057893,0.999999990284089
v,1716,translation,10.0,"[0.0, 1.0, 0.0]",102.44011842469942,2.0067265880200216,0.9999999893906144
v,1716,translation,25.0,"[0.0, 1.0, 0.0]",102.4582527627176,2.004687534326603,0.999999997687563
v,1716,translation,50.0,"[0.0, 1.0, 0.0]",102.4370470656772,2.006772299740378,0.9999999756683086
v,1716,translation,100.0,"[0.0, 1.0, 0.0]",102.42466296109882,2.00647913625155,0.9999998586659609
v,1716,rotation,0.25,"[0.0, 1.0, 0.0]",102.44111222189609,2.007007862267781,0.9999999999999047
v,1716,rotation,0.5,"[0.0, 1.0, 0.0]",102.44111222189609,2.007007862267781,0.9999999999999047
v,1716,rotation,1.0,"[0.0, 1.0, 0.0]",102.44111222189623,2.00700786226777,0.9999999999999047
v,1716,rotation,2.0,"[0.0, 1.0, 0.0]",102.44111222189593,2.007007862267766,0.9999999999999047
v,1716,combined,25.0,"[0.0, 1.0, 0.0]",102.45825276271762,2.0046875343266137,0.999999997687563
v,1716,combined,50.0,"[0.0, 1.0, 0.0]",102.4370470656754,2.0067722997403705,0.9999999756683086
v,1716,combined,100.0,"[0.0, 1.0, 0.0]",102.42466296109913,2.006479136251543,0.9999998586659611
v,1716,translation,10.0,"[0.0, 0.0, 1.0]",102.44300787435533,2.006647287108455,0.9999999946755443
v,1716,translation,25.0,"[0.0, 0.0, 1.0]",102.44170345959117,2.006671510833309,0.9999999951514998
v,1716,translation,50.0,"[0.0, 0.0, 1.0]",102.44138716775245,2.0065974024366793,0.9999999874111546
v,1716,translation,100.0,"[0.0, 0.0, 1.0]",102.43994908044094,2.00656274449891,0.9999999946543187
v,1716,rotation,0.25,"[0.0, 0.0, 1.0]",102.44111222189609,2.007007862267781,0.9999999999999047
v,1716,rotation,0.5,"[0.0, 0.0, 1.0]",102.44111222189609,2.007007862267781,0.9999999999999047
v,1716,rotation,1.0,"[0.0, 0.0, 1.0]",102.44111222189609,2.007007862267781,0.9999999999999047
v,1716,rotation,2.0,"[0.0, 0.0, 1.0]",102.44111222189609,2.007007862267781,0.9999999999999047
v,1716,combined,25.0,"[0.0, 0.0, 1.0]",102.44170345959117,2.006671510833309,0.9999999951514998
v,1716,combined,50.0,"[0.0, 0.0, 1.0]",102.44138716775389,2.0065974024366717,0.9999999874111546
v,1716,combined,100.0,"[0.0, 0.0, 1.0]",102.43994908044094,2.00656274449891,0.9999999946543187
v,1729,oracle,0.0,all,109.05552501018744,2.3459707903456013,1.0
v,1729,translation,10.0,"[1.0, 0.0, 0.0]",109.06024039738622,2.3471552082948195,0.9999999950487675
v,1729,translation,25.0,"[1.0, 0.0, 0.0]",109.05302823738396,2.3458855521529194,0.9999999988854655
v,1729,translation,50.0,"[1.0, 0.0, 0.0]",109.05636455316571,2.3447364752778954,0.9999999977777668
v,1729,translation,100.0,"[1.0, 0.0, 0.0]",109.05388009402033,2.345004499614143,0.9999999957205092
v,1729,rotation,0.25,"[1.0, 0.0, 0.0]",109.05552501018744,2.3459707903456013,0.999999999999916
v,1729,rotation,0.5,"[1.0, 0.0, 0.0]",109.05552501018744,2.3459707903456013,0.999999999999916
v,1729,rotation,1.0,"[1.0, 0.0, 0.0]",109.05552501018744,2.3459707903456013,0.999999999999916
