name,method,flag,crc,csize,usize,lho
epos_dataset_ii/1244.pose,8,8,896936916,63,88,88953105
epos_dataset_ii/1245.3d,8,8,3128743621,92803,336900,88953271
epos_dataset_ii/1245.pose,8,8,4290080088,64,88,89046175
epos_dataset_ii/1246.3d,8,8,2671546307,93544,339976,89046342
epos_dataset_ii/1246.pose,8,8,114547474,62,88,89139987
epos_dataset_ii/1247.3d,8,8,3124118192,91725,333129,89140152
epos_dataset_ii/1247.pose,8,8,2954801570,64,88,89231978
epos_dataset_ii/1248.3d,8,8,220773828,92258,335714,89232145
epos_dataset_ii/1248.pose,8,8,194053744,64,88,89324504
epos_dataset_ii/1249.3d,8,8,4096889907,93487,338708,89324671
epos_dataset_ii/1249.pose,8,8,3406716451,63,88,89418259
epos_dataset_ii/1250.3d,8,8,2405813400,92536,335407,89418425
epos_dataset_ii/1250.pose,8,8,3817902887,64,88,89511062
epos_dataset_ii/1251.3d,8,8,200242014,92399,335373,89511229
epos_dataset_ii/1251.pose,8,8,693115151,64,88,89603729
epos_dataset_ii/1252.3d,8,8,1435835549,92616,335509,89603896
epos_dataset_ii/1252.pose,8,8,3525880368,63,88,89696613
