name,method,flag,crc,csize,usize,lho
epos_dataset_iii/0443.3d,8,8,904245988,62999,217811,30439714
epos_dataset_iii/0443.pose,8,8,2298122745,64,87,30502815
epos_dataset_iii/0444.3d,8,8,3174917853,62173,215580,30502983
epos_dataset_iii/0444.pose,8,8,1338703234,64,87,30565258
epos_dataset_iii/0445.3d,8,8,4197763733,64349,223159,30565426
epos_dataset_iii/0445.pose,8,8,3548926209,65,87,30629877
epos_dataset_iii/0446.3d,8,8,1066506926,64827,224989,30630046
epos_dataset_iii/0446.pose,8,8,3998978246,63,87,30694975
epos_dataset_iii/0447.3d,8,8,994077582,64634,224726,30695142
epos_dataset_iii/0447.pose,8,8,4262876267,63,87,30759878
epos_dataset_iii/0448.3d,8,8,2400713912,65436,227865,30760045
epos_dataset_iii/0448.pose,8,8,1714017441,63,87,30825583
epos_dataset_iii/0449.3d,8,8,3288035848,67130,233220,30825750
epos_dataset_iii/0449.pose,8,8,3747351944,65,87,30892982
epos_dataset_iii/0450.3d,8,8,1398032568,67584,235132,30893151
epos_dataset_iii/0450.pose,8,8,1748474049,64,87,30960837
epos_dataset_iii/0451.3d,8,8,3155055202,69300,241520,30961005
epos_dataset_iii/0451.pose,8,8,1244105662,63,87,31030407
epos_dataset_iii/0452.3d,8,8,2200643627,70568,245965,31030574
epos_dataset_iii/0452.pose,8,8,111781644,64,87,31101244
epos_dataset_iii/0453.3d,8,8,1652380007,72298,252080,31101412
epos_dataset_iii/0453.pose,8,8,705452059,63,87,31173812
epos_dataset_iii/0454.3d,8,8,4226873917,74291,259005,31173979
epos_dataset_iii/0454.pose,8,8,2397064967,64,87,31248372
epos_dataset_iii/0455.3d,8,8,3682416439,67098,233926,31248540
epos_dataset_iii/0455.pose,8,8,3806996270,62,87,31315740
epos_dataset_iii/0456.3d,8,8,909154633,68355,237940,31315906
epos_dataset_iii/0456.pose,8,8,1733091520,63,87,31384363
epos_dataset_iii/0457.3d,8,8,645278347,68346,238870,31384530
epos_dataset_iii/0457.pose,8,8,3193508205,64,87,31452978
