trajectory,frame_id,method,n_repeat,model_build_ms,query_ms,kdtree_ms,registration1_ms,registration2_ms,total_ms,et_mm,eR_deg,iters
VI,77,PatchHuber,5,0.0,0.0,0.0,475.8326000010129,0.0,475.83989999839105,79.79241160343457,5.127710996817816,40
VI,77,Full,5,0.8184999896911904,0.18220000492874533,11.21360000979621,434.4299000076717,0.0,447.16239999979734,64.45315727093245,3.735021811753027,40
VI,77,EstimatedFull,5,0.8329999982379377,0.18509999790694565,11.203499991097488,357.0097000047099,368.72549999679904,740.8437999984017,64.49999774612256,3.822302094989714,34
VI,103,Raw,5,0.0,0.0,0.0,668.2013999961782,0.0,668.2085999927949,149.1336892035042,4.595909456617899,40
VI,103,Huber,5,0.0,0.0,0.0,807.7079000067897,0.0,807.7152999903774,132.25568046664475,4.067857728195046,40
VI,103,Patch,5,0.0,0.0,0.0,384.65229999565054,0.0,384.6594000060577,100.7927389408494,4.445188573632289,35
VI,103,PatchHuber,5,0.0,0.0,0.0,478.70740000507794,0.0,478.7174000084633,78.47092952403055,3.874925551667956,40
VI,103,Full,5,0.8272999984910712,0.18429999181535095,11.174500003107823,300.5315000045812,0.0,312.9581999965012,60.50980610176417,2.0720622463046667,28
VI,103,EstimatedFull,5,0.8286999945994467,0.18020000425167382,10.889400000451133,673.047400006908,422.65320000296924,1106.887599991751,60.65536809861855,2.1365652842527845,39
VI,128,Raw,5,0.0,0.0,0.0,336.71450000838377,0.0,336.7209999996703,177.00262098992465,5.224223521507612,22
VI,128,Huber,5,0.0,0.0,0.0,665.0072000047658,0.0,665.0138999975752,159.06446443272714,4.450046332701605,40
VI,128,Patch,5,0.0,0.0,0.0,306.8837999890093,0.0,306.8955999915488,140.19255799519556,5.208789144748071,26
VI,128,PatchHuber,5,0.0,0.0,0.0,527.7872000006028,0.0,527.7942000102485,120.60324311868473,5.166098723910058,40
VI,128,Full,5,0.8413000032305717,0.12379999679978937,11.006700005964376,371.49150000186637,0.0,383.4657999977935,94.68244437874789,2.948022123042361,37
VI,128,EstimatedFull,5,0.8346000104211271,0.11839999933727086,11.042800004361197,338.23860000120476,245.2377999870805,595.618999999715,94.99437094485987,2.8332490949204567,25
VI,154,Raw,5,0.0,0.0,0.0,606.9204999948852,0.0,606.9272000022465,157.00417428069878,3.9927711954391243,40
VI,154,Huber,5,0.0,0.0,0.0,677.9106000030879,0.0,677.9194999980973,143.653252634475,3.5853893976149926,40
VI,154,Patch,5,0.0,0.0,0.0,388.7189000088256,0.0,388.72629999241326,114.30076588034355,4.9134075577370195,32
VI,154,PatchHuber,5,0.0,0.0,0.0,511.82970000081696,0.0,511.83709999895655,93.09682064905788,4.479817810400422,40
VI,154,Full,5,0.8411000017076731,0.08579999848734587,10.70840000465978,281.06399999524,0.0,292.6584999950137,73.01560483534159,3.422537928913241,25
VI,154,EstimatedFull,5,0.9164000075543299,0.079699995694682,11.303599996608682,612.2060000052443,328.5116999904858,953.9283000049181,73.88390898668884,3.2669363055379406,29
VI,179,Raw,5,0.0,0.0,0.0,636.690000013914,0.0,636.6972999967402,154.74439026767334,3.338475496205311,40
VI,179,Huber,5,0.0,0.0,0.0,741.0903999989387,0.0,741.0968000040157,138.36975251684424,3.382445159298915,40
VI,179,Patch,5,0.0,0.0,0.0,379.45480000053067,0.0,379.4620999979088,102.92261488245887,3.5521527723099213,34
VI,179,PatchHuber,5,0.0,0.0,0.0,470.85450000304263,0.0,470.8612999966135,81.23260629800572,3.3397210790039655,40
