scan_id,patch_id,patch_center_x,patch_center_y,patch_center_z,support_count,median_residual,p90_residual,mean_signed_residual,excess_fraction,r4_frac,range_m
86,20,0.320452911684241,0.7244721854139683,0.16009328880075677,878,0.046046096831560135,0.10397805273532869,-0.04502913775452856,0.0,0.856492027334852,14.797797317845957
86,21,0.4578522451474505,-0.4619689827068646,0.011450084790697675,375,0.05068724974989891,0.186493918299675,-0.047818135200378795,0.0,0.784,14.797797317845957
86,22,-0.3812502023213303,-0.21902043711212038,-0.4919041933495127,92,0.36505067348480225,0.631459391117096,0.28858533406215114,0.41304347826086957,0.0,14.797797317845957
86,23,0.8164802035527532,0.10951917421522317,0.062403450215777624,256,0.07278097420930862,0.1532316505908966,-0.029805901865472606,0.0,0.37890625,14.797797317845957
87,0,0.3402330803892341,-0.14753513426346274,0.7153780388323616,247,0.053425807505846024,0.1136872187256813,0.04116968329143258,0.0,0.29959514170040485,14.797493590422333
87,1,-0.3816077750594064,0.3920672553355821,-0.2747072553359359,336,0.03848506323993206,0.12322510778903961,-0.004494862372580212,0.005952380952380952,0.0,14.797493590422333
87,2,0.35615271700235607,-0.3544169480897804,-0.6488023952981026,244,0.043211426585912704,0.11782366633415223,-0.01855949629894954,0.0,0.7131147540983607,14.797493590422333
87,3,1.4301150766570068,0.009734579329668747,0.005589104246383688,881,0.025135353207588196,0.08478597551584244,0.012245070775327955,0.0,0.47559591373439275,14.797493590422333
87,4,0.3408509681378606,-0.5939190506935119,0.4153212528195112,16,0.042512739077210426,0.11355459317564964,-0.013105963167618029,0.0,0.0625,14.797493590422333
87,5,0.3456242919647998,0.5839361161646182,-0.3910505696304523,3206,0.08061717450618744,0.13572001457214355,-0.06155061626450061,0.0,0.925764192139738,14.797493590422333
87,6,-0.1799550172808677,-0.4445310825857512,-0.6192740421695334,196,0.09359654784202576,0.5990671217441559,0.02746097796432655,0.10714285714285714,0.22448979591836735,14.797493590422333
87,7,-0.38119166156136863,0.13420645130469394,0.47270434471322925,49,0.05022623389959335,0.11736403405666354,0.023531213550049127,0.0,0.0,14.797493590422333
87,8,0.07813724053785266,0.4014593418451804,0.6774061269699773,297,0.01464682724326849,0.04484843611717227,0.010209530765240305,0.0,0.2727272727272727,14.797493590422333
87,9,-0.1411482341517354,0.21856892408081424,-0.7221469847962834,329,0.10284684598445892,0.14238436222076417,-0.08882400471615212,0.0,0.9300911854103343,14.797493590422333
87,10,0.4579420497848959,0.2725952677903034,0.39001585622418306,1408,0.08589362353086472,0.21173129975795743,-0.08371766674663629,0.0,0.8338068181818182,14.797493590422333
87,11,0.8615055521795527,-0.11494871192784278,-0.06847887796729123,63,0.07110396027565002,0.2115507632493973,0.03555598946487797,0.0,0.015873015873015872,14.797493590422333
87,12,-0.18687998689086552,-0.7712650705272924,-0.02794105356693057,0,,,,,,14.797493590422333
87,13,-0.17142259136665317,0.6906796628807453,-0.265274280223238,771,0.10343949496746063,0.13342447578907013,-0.10066889298726227,0.0,0.9831387808041504,14.797493590422333
87,14,-0.20278214277131812,-0.5125199038184893,0.5575403748826491,0,,,,,,14.797493590422333
87,15,0.4044124278136077,0.17895395770229408,-0.6272129326426409,1220,0.0697830282151699,0.15715455412864685,-0.05757634805579938,0.0,0.8860655737704918,14.797493590422333
87,16,-0.3815586007951731,-0.4890833247343113,0.08029726553996154,2,0.05136406887322664,0.08210742566734552,-0.03949857782572508,0.0,0.0,14.797493590422333
87,17,0.27179393111289935,-0.7229790326437769,-0.19590797786936837,96,0.023724316619336605,0.04904427379369736,-0.009181079012440327,0.0,0.20833333333333334,14.797493590422333
87,18,-0.18936029205135366,-0.13052129247967714,0.7305702281879942,0,,,,,,14.797493590422333
87,19,-0.22788453052711682,0.6868767033990283,0.2529155001877936,279,0.02109735831618309,0.06362218856811526,-0.019527272368949165,0.0,0.4767025089605735,14.797493590422333
87,20,0.320452911684241,0.7244721854139683,0.16009328880075677,695,0.035492904484272,0.08554113507270814,-0.032912012379817085,0.0,0.6820143884892086,14.797493590422333
87,21,0.4578522451474505,-0.4619689827068646,0.011450084790697675,505,0.0429726205766201,0.1373260319232941,-0.02259749130215202,0.0,0.7465346534653465,14.797493590422333
87,22,-0.3812502023213303,-0.21902043711212038,-0.4919041933495127,123,0.15112599730491638,0.6331312537193298,0.2155819184954157,0.21138211382113822,0.0,14.797493590422333
87,23,0.8164802035527532,0.10951917421522317,0.062403450215777624,258,0.07861654460430145,0.14252873659133913,-0.03635562205589701,0.0,0.3682170542635659,14.797493590422333
88,0,0.3402330803892341,-0.14753513426346274,0.7153780388323616,212,0.057528719305992126,0.11792835965752602,0.042620089847950335,0.0,0.3113207547169811,14.797239978312849
88,1,-0.3816077750594064,0.3920672553355821,-0.2747072553359359,307,0.03584638610482216,0.10174089670181279,-0.014667436528775737,0.0,0.0,14.797239978312849
