scan_id,range_m,point_count,down_count,converged,ransac_fitness,icp_fitness,ransac_iters,n_corr,translation_error_m,attitude_error_deg,terr_vec_target_x,terr_vec_target_y,terr_vec_target_z,rot_err_axis_x,rot_err_axis_y,rot_err_axis_z,symmetry_equivalent_rotation_k,runtime_s,icp_rmse,angular_rate_deg_s
240,12.274324710395314,10321,3324,0,0.001072961373390558,0.66931330472103,4096,139,0.14362306412776574,10.084626599043741,0.016451527408575167,-0.04015249656105227,-0.1369113173382241,0.7945704558305084,-0.10452235102111686,-0.5981077401758954,2,0.6297857000026852,0.04342008447251476,8.121398636676751
245,12.18144221417928,10095,3362,0,0.0017167381974248926,0.6300429184549357,2048,103,0.13706443850482963,2.8010887563483213,0.01901009223868029,-0.11379701802893091,-0.0739967254913639,-0.4658954098467784,0.4361787094367306,0.7698633648367809,2,0.6268058000132442,0.04170417417579477,8.94521166753805
250,12.094663756844588,9891,3314,0,0.0015021459227467812,0.21051502145922746,18432,127,1.3215209056623578,69.33445562897847,0.5933709098509069,-0.015706924302707148,1.1807123951133554,0.7852565482288757,-0.615359630369648,0.06859066098968407,2,0.8150569999706931,0.05787189811230624,8.952967695948528
255,12.00161413060285,9985,3385,0,0.001072961373390558,0.4036480686695279,10240,104,0.38666574320034,39.11205040696631,0.04189435584200461,0.0396339268876225,0.3823407011458777,-0.6345712713834952,0.0979057777209849,0.7666379590286302,1,0.7393616000190377,0.055209689960217884,8.040695414376586
260,11.909019517101902,9910,3430,0,0.0019313304721030042,0.6817596566523605,10240,116,0.13467076811930487,5.734383621760877,0.014476176463176796,-0.03920407301798869,0.12802225103336826,0.7833489789698633,-0.15585595943684302,-0.6017252670903009,2,0.6945162999909371,0.0424680362987126,6.218661750573723
265,11.828779728568664,9498,3297,0,0.0012875536480686696,0.6427038626609443,8192,106,0.11399817777361211,18.609403207221646,0.024283944284072684,0.051490786164262815,0.09876524452406465,0.7897220458930905,0.022720185102172805,-0.6130439490112881,0,0.6947300999891013,0.05188086362739589,9.31704015557429
270,11.741088179850196,10162,3288,0,0.0012875536480686696,0.3909871244635193,51200,117,0.4368377969516367,35.748081770603605,0.05683999158526537,-0.01805539237078721,0.4327475927240766,0.9393655565492236,-0.23265309985187194,-0.2519223814953377,0,1.096424699993804,0.05474578472619243,9.482774802037882
275,11.65416730349466,10329,3205,0,0.001072961373390558,0.6530042918454936,8192,113,0.13293397948346858,57.37046281284674,0.022190633041206755,0.1302701516320382,0.014446670907427489,0.8258064828692788,-0.099607250527193,-0.5550874241896356,1,0.6497961000422947,0.042820970816844876,9.318361071484103
280,11.567724647206468,9922,3055,0,0.0012875536480686696,0.32274678111587984,12288,112,0.6621886795323754,41.88462300136541,0.10125907830363051,0.6496079794012147,-0.07905643212415346,0.8151019565592003,0.42759351572546156,-0.39086133822994423,0,0.7120885999756865,0.057262290188905836,6.221457797703157
285,11.487462222020884,10058,3368,0,0.001072961373390558,0.17339055793991417,10240,108,1.0939753618748032,60.381252369660224,-0.2938350586896792,0.9571472135482041,0.44080864586671575,-0.5564390396932603,0.6806733958249339,-0.47650742210525443,1,0.6764171000104398,0.05655003786904412,7.001406950085423
290,11.407566910690202,10151,3300,0,0.001072961373390558,0.1965665236051502,6144,99,0.904066383511853,104.62474557444968,-0.15003400154283902,0.10293456281203783,-0.8855677839419964,0.7623396727703602,0.551832707684187,0.33811076003333407,2,0.6959235000540502,0.05614092270090743,9.089054721990541
295,11.320749677111893,10932,3497,0,0.0012875536480686696,0.45879828326180255,55296,114,0.30907573647982356,15.182673237667967,0.03539989870144376,-0.006307874527866131,-0.3069769841069744,0.8705896700367525,-0.40037896035279774,-0.28595509181008016,1,1.2081717000110075,0.04913819282953834,9.069824717205359
300,11.24086928238408,9694,3387,0,0.0015021459227467812,0.23476394849785406,12288,104,0.8994130648717753,91.10504494915365,0.26221197454292516,-0.7674014391009158,-0.38895214735772277,0.26699254941245626,0.9353273919284523,0.23211559289835873,2,0.7693678000359796,0.05408696808024913,6.73034919048145
305,11.16072597613054,9464,3284,0,0.0015021459227467812,0.677038626609442,4096,96,0.13929539067129634,6.427729492957031,0.020643959913602086,-0.13690562217226315,0.015293246842321986,0.7566321552078199,-0.08685894896548761,-0.6480457581762111,2,0.6221440999652259,0.041739152675716616,6.760900470735379
310,11.072923597612556,10253,3464,0,0.002145922746781116,0.657725321888412,6144,120,0.1460177199573291,51.20177146838515,0.03544250165361324,-0.11971292736429769,0.07572198254100976,0.8119388472728749,-0.028536838007996116,-0.5830445584736217,1,0.6391328999889083,0.04360529583962585,6.067285048410024
315,10.998917782717488,9635,3383,0,0.001072961373390558,0.0905579399141631,20480,103,2.080521329469668,101.1835463381759,0.4511446360903678,1.7147423534986497,-1.0884374951383455,-0.04195490147559527,0.7214895200485548,-0.6911531369402002,0,0.8194430000148714,0.039397346840722866,10.787771088360563
320,10.925514507602697,9195,3185,0,0.0008583690987124463,0.09914163090128755,12288,96,2.0416721272841514,117.568509503052,0.6915722006079473,0.7215527146015934,-1.780313075480362,-0.016663740788025908,0.7300085938682106,-0.683234785869036,0,0.6866021000314504,0.04729410882055163,10.795859474529754
325,10.85225051004947,9832,3335,0,0.001072961373390558,0.5465665236051502,12288,92,0.15761960629412428,24.368723541929878,0.027562300620955354,0.15507118932445998,-0.006098041840815402,0.7143062284475254,0.018426283135402982,-0.6995906546623429,0,0.7232240000157617,0.05363187033067314,10.786474239736918
