scan_id,timestamp,range_m,point_count,median_residual_m,p90_residual_m,p95_residual_m,max_residual_m,mean_residual_m,std_residual_m,excess_return_count,excess_return_fraction,missing_proxy,dt_seconds,r1_frac,r2_backface_frac,r3_fov_frac,r4_structured_frac,large_noise_frac,model_backface_frac,model_fov_trunc_frac,model_visible_frac,r4_point_count,large_noise_count,mean_signed_residual
252,1751983048.766,12.05476881461283,9094,0.06999260109223074,0.14991980435594052,0.19122310943785903,0.7536256214352178,0.08074554553229461,0.06846245614358394,26,0.0028590279305036287,0.6136202746708198,0.8840000629425049,0.15240818121838576,0.15449747085990764,0.0,0.6918847591818782,0.0012095887398284584,0.47966701046117577,0.0,0.5203329895388242,6292,11,-0.039500507032825795
253,1751983049.649,12.041461795813413,8966,0.07526249098871138,0.15740260610222248,0.2068586802088071,0.7428862039049229,0.08453835565547509,0.07074013913401136,29,0.003234441222395717,0.6561485813437872,0.8829998970031738,0.14164621904974348,0.17242917689047513,0.0,0.6844746821325005,0.0014499219272808388,0.5414616177987329,0.0,0.45853838220126714,6137,13,-0.04347482806556758
254,1751983050.625,12.021517715090095,9883,0.07492287073746559,0.15995966216868757,0.20138512879977516,0.7357044079325514,0.08459575486349762,0.07158719511610456,39,0.003946170191237479,0.6440086150633076,0.9760000705718994,0.14347870079935243,0.16452494181928565,0.0,0.6894667611049277,0.002529596276434281,0.5484897598349786,0.0,0.45151024016502134,6814,25,-0.04580023514815095
255,1751983051.609,12.00161413060285,9985,0.07045541192963316,0.164554456460032,0.19878647811428551,0.7403274410605247,0.08518588855709995,0.0703259669361939,36,0.003605408112168252,0.6621410070304272,0.9839999675750732,0.1357035553329995,0.1484226339509264,0.0,0.7135703555333,0.002303455182774161,0.4823486076322381,0.0,0.5176513923677619,7125,23,-0.048948855171113095
256,1751983052.593,11.981787718460755,10573,0.06576568011664363,0.1694338883167508,0.20847590301295815,0.7650713862324191,0.0847051281967276,0.0724582458508304,37,0.003499479807055708,0.6122882556229109,0.9839999675750732,0.14158706138276742,0.14007377281755415,0.0,0.7164475550931618,0.0018916107065165989,0.47985855311625164,0.0,0.5201414468837483,7575,20,-0.05068236416205796
257,1751983053.577,11.961975223959753,11628,0.06557508702485539,0.16572347298811854,0.20686221068634056,0.7624443526139335,0.08287436130467377,0.07249746275159795,41,0.0035259717922256624,0.5581934972693059,0.9839999675750732,0.15041279669762642,0.1323529411764706,0.0,0.716546267629859,0.0006879944960440316,0.47931339325180494,0.0,0.5206866067481951,8332,8,-0.04958798851681682
258,1751983054.425,11.942121401913397,10788,0.06646121786209454,0.15085597585020447,0.18441904536932863,0.755588175319335,0.07796385385549259,0.0653711834749218,28,0.0025954764553207266,0.5583387520850415,0.8480000495910645,0.16082684464219504,0.11651835372636263,0.0,0.7209862810530219,0.0016685205784204673,0.47884190363931045,0.0,0.5211580963606895,7778,18,-0.04572248301635862
259,1751983055.272,11.928899054490863,10544,0.07026189187086385,0.14730394685926032,0.18494182685293342,0.7497477293467012,0.07932500071461658,0.0663992623466014,31,0.0029400606980273143,0.5659603360964155,0.8470001220703125,0.1658763277693475,0.12983687405159333,0.0,0.700113808801214,0.00417298937784522,0.4791955208486813,0.0,0.5208044791513187,7382,44,-0.04465703381822136
260,1751983056.117,11.909019517101902,9910,0.07759450192348497,0.16410032576970396,0.21722683202995918,0.7487911286956048,0.0866593290226622,0.07108430593865478,27,0.00272452068617558,0.5885274750227066,0.8450000286102295,0.14399596367305753,0.13733602421796165,0.0,0.7161453077699294,0.0025227043390514633,0.4808899366435833,0.0,0.5191100633564166,7097,25,-0.05222884893897387
261,1751983056.965,11.895763516696437,9378,0.08086553031212379,0.1710678776548742,0.2207112597859454,0.7354999120586817,0.08814618713796633,0.0718054728248207,26,0.0027724461505651524,0.6356775200971604,0.8479998111724854,0.13510343356792492,0.14278097675410537,0.0,0.7193431435274046,0.0027724461505651524,0.49046706939737733,0.0,0.5095329306026226,6746,26,-0.050854635632028855
262,1751983057.813,11.875805282258336,9070,0.08170960531459866,0.1939602604599368,0.2442942910988386,0.7325662569728602,0.092758851322152,0.07613122382287175,28,0.0030871003307607497,0.6555664381325498,0.8480000495910645,0.1318632855567806,0.1553472987872106,0.0,0.7110253583241455,0.0017640573318632856,0.548696036540445,0.0,0.45130396345955504,6449,16,-0.05787049248860701
263,1751983058.662,11.862428672463873,9107,0.07650670792071411,0.19688709247575997,0.23959055096048842,0.7207283390693568,0.09142085892216058,0.07455618028563452,21,0.0023059185242121443,0.6692976506135537,0.8489999771118164,0.1357197759964862,0.1446140331613045,0.0,0.7169210497419567,0.0027451411002525528,0.522115809636069,0.0,0.47788419036393104,6529,25,-0.05603479220261651
264,1751983059.509,11.842256332698005,9210,0.07164913665607106,0.19941408514530523,0.24354600700440376,0.7188382257625691,0.09146739814229903,0.07831404308121423,29,0.0031487513572204125,0.6796235562526736,0.8470001220703125,0.14842562432138978,0.13735070575461455,0.0,0.711400651465798,0.0028230184581976114,0.48335052305878884,0.0,0.5166494769412111,6552,26,-0.055257761244696765
