scan,cond,obj,J0,gnorm,dhat_t_mm,dhat_r_deg,tstar_mm,rstar_deg,lbfgs_t_mm,opt_cos,Jstar,icp_iters,lst_gn,lst_conv,lst_onbnd,eigmin,condH
370,scale,p2p,0.01027571099072915,0.053707767708550125,311.42912685631535,9.29131725983286,150.44702751783518,3.8827220755912046,150.6048171710965,0.9999724510359079,0.005840170259370674,40,1.0672255133074244e-05,False,False,0.03851085070494138,25.646981929661496
370,scale,p2l,0.00891550344250937,0.04644452159173433,37.2047259730782,2.066108620592605,145.91540377044876,2.7102850625299273,150.24009274974884,0.9949787798836924,0.005164743414414864,40,0.0013304450921954385,False,False,-1.4554652037819795,13.688967175986711
371,scale,p2p,0.009536493295381856,0.05302749731602902,326.81764146801663,18.867264928607923,151.24412561983948,4.606980713592908,0.0,,0.005076581214703433,36,0.0,False,False,0.02171549443476588,47.425568116914384
371,scale,p2l,0.00835596212620845,0.05608181421873825,91.43532484034394,7.059174740528981,146.71229161562638,3.882140068617244,0.0,,0.004505685090486437,40,0.0,False,False,-0.8160291445912372,4.499646958020066
372,scale,p2p,0.009179172146815975,0.05036462219368503,568.489812893309,23.17801373295404,145.88115302602333,3.2906236514247755,0.0,,0.005002331234816581,40,0.0,False,False,-0.022071997347621428,43.9744478010881
372,scale,p2l,0.00794615737050654,0.04568648080621275,23.21974375993189,0.5744965399004085,141.02673445801565,2.44490661320048,0.0,,0.004379588255574419,40,0.0,False,False,-6.436351505659106,6.2867580512778884
373,scale,p2p,0.008360727262371354,0.048577928466712494,234.8604711699655,3.734687823010229,143.9712119960609,2.7085089256362567,0.0,,0.004399985046849111,40,0.0,False,False,-0.019590387736956736,50.13839378475378
373,scale,p2l,0.007111211669767248,0.04685549084731674,85.10812667056653,2.2978196814142624,140.06322593296062,2.154634533247008,0.0,,0.0037748941474575535,21,0.0,False,False,-2.0927638854973045,11.97073808940379
374,scale,p2p,0.008000226456435484,0.04941044317729223,487.14280159176275,24.34712841537512,142.2931306993147,3.5436241730444324,0.0,,0.004059074793656074,40,0.0,False,False,0.011027186796639919,84.09007624603424
374,scale,p2l,0.006762859614974381,0.04540650304149567,25.06929059661766,0.37897496582309026,137.90791941528886,3.1780218060753076,0.0,,0.00338760135474492,40,0.0,False,False,-5.784570480582184,9.434865188809702
375,scale,p2p,0.008376110334899151,0.05129827522840637,1578.3105237006962,200.4863532755554,142.5433578657815,3.2057818330880807,142.75638815557056,0.9998712863113655,0.004325439389933746,40,4.687277028277291e-07,False,False,0.0012735175051300227,739.5393729804085
375,scale,p2l,0.0069944854534116805,0.06111289214015839,244.06138466678956,6.609454139875122,138.48764584840802,2.719776585935121,114.90015286413093,0.9384670321518109,0.0036955094986221558,40,0.010127091144876001,False,False,-3.676492746370626,23.58336175024073
376,scale,p2p,0.009123041501137592,0.05030427099810369,361.5816663669196,22.886327894858056,149.06235559629707,4.52233850649856,0.0,,0.004910924966819129,36,0.0,False,False,0.01178887813560194,79.72284697375395
376,scale,p2l,0.0076419366439475596,0.05279564560097817,88.32871665916664,1.401547403764505,144.00123401725918,4.653654854166242,0.0,,0.004168059638246326,40,0.0,False,False,-3.43409468929439,32.54223379596332
377,scale,p2p,0.008893601833330725,0.05031621926188082,452.17592581858065,57.7317479127555,148.24183375044439,3.8381581252500476,0.0,,0.004867484627491347,39,0.0,False,False,0.004973294573343035,197.66199776318868
377,scale,p2l,0.0076794695111086116,0.03870078980913002,182.58972766272564,5.006849160903378,142.93105460640635,3.573863527006071,0.0,,0.004144054170101046,40,0.0,False,False,-2.4131334992872486,44.444601443146
378,scale,p2p,0.009479014096548,0.05045125215249596,294.8482289419763,8.150552434067668,147.39539913768783,4.90241290315477,0.0,,0.005508360856277132,29,0.0,False,False,0.03252792189479883,29.806902471182184
378,scale,p2l,0.00795600561255242,0.04516514463004923,29.142629955350696,0.6587370824630779,143.60619704734336,4.687933300606755,0.0,,0.004737799829550288,23,0.0,False,False,0.8320207582757184,5.646076981569794
379,scale,p2p,0.00999093905883015,0.04996868671592352,308.6251842344134,12.67265748688791,145.75929849474667,3.8430177048611944,0.0,,0.006083296064754731,38,0.0,False,False,0.03296938512579067,29.108678148679857
379,scale,p2l,0.008350062746728346,0.040087424895785664,15.555766709353058,0.27837128238716324,142.26498671113836,3.517723327748376,0.0,,0.005424240425017023,40,0.0,False,False,-6.728036752128215,5.000765369979762
380,scale,p2p,0.010415290431189364,0.05345035970884919,621.8994955009027,145.69496065408794,147.26119165187572,4.588645406677808,147.22318261101432,0.9999163832778171,0.006154738888706617,30,1.883218525857253e-07,False,False,-0.0011018984940972107,920.8275567669968
380,scale,p2l,0.00919698155233609,0.05383969068317759,780.488372245028,77.5528257758117,144.87031912281589,4.230355337261658,129.790360767371,0.9533982687732679,0.005324538182247271,40,0.010018646694009897,False,False,-1.2641966170340087,207.25028992819242
381,scale,p2p,0.010604122689762812,0.049494253732463245,480.02284257611666,27.474078141905878,141.18160717763013,3.3073211663907203,0.0,,0.00656322106892982,40,0.0,False,False,-0.001721531527909315,533.0013182084185
381,scale,p2l,0.009026635827382586,0.06288486866475047,27.496520057182362,1.175824485443941,137.90917928481915,2.7798055551746206,0.0,,0.005567457831578639,40,0.0,False,False,1.080731659467785,3.6371312939606524
382,scale,p2p,0.009774544923166779,0.04942392401167322,428.8280447826383,4.570344628846999,143.07581556334867,3.8315715318831454,0.0,,0.005672114849867424,30,0.0,False,False,-0.018391231061069276,51.320963105763376
382,scale,p2l,0.008450417136612352,0.043172924793586344,41.26766070853728,12.542071768242504,141.26321370175344,3.6688570485661436,0.0,,0.004805090506042583,40,0.0,False,False,-3.679386954156822,87.5952956034466
383,scale,p2p,0.00964839467699888,0.04759660469016269,665.7413515899216,13.93997809701796,136.8661425863676,3.5211565527521462,0.0,,0.005776621376940129,34,0.0,False,False,0.009569400057325183,102.96861849521818
383,scale,p2l,0.0083315120963747,0.03960659944459866,38.03318174699026,0.7836141186473761,131.80584947577242,2.901150550111685,0.0,,0.004707437305185396,40,0.0,False,False,-0.9709799485848085,8.439825780154017
384,scale,p2p,0.009268719697853336,0.04999330307700631,4322.961171754185,1053.078822313753,141.03872402078707,4.3894353789951746,0.0,,0.005228681301437929,29,0.0,False,False,0.00026094191626952536,3772.2951395404316
384,scale,p2l,0.008139001043932084,0.04232108309121575,162.009343589122,17.760594259995898,136.28720197017128,3.6744764242100696,0.0,,0.004237167532271168,40,0.0,False,False,-3.4370099366294498,99.21015725179073
385,scale,p2p,0.00913086152062282,0.05170243830960392,518.6145752367598,53.09760645081979,141.02988070041934,3.7031068538213785,141.08802781512253,0.999924944421269,0.005111668146177117,40,3.2186022276005956e-06,False,False,-0.009108725894937976,100.01142879846209
385,scale,p2l,0.007963248123138828,0.04386681987559773,110.89006013693951,0.939287731968309,140.81452886097696,3.697142365466605,128.14634712354294,0.9158637484226505,0.004593783671778094,40,0.01563552580401499,False,False,-10.567199730289243,191.7657447106938
386,scale,p2p,0.009150223268228553,0.053059543591279845,455.0424372517198,53.765688951890155,141.6306401275429,4.676827687065903,0.0,,0.005156228470835427,38,0.0,False,False,0.003564429888480436,267.43654545482025
386,scale,p2l,0.007839703626109244,0.055247291366978486,44.43481514675853,1.0144482120404512,138.08638775954287,4.762813977794118,0.0,,0.004185912888835161,40,0.0,False,False,-4.014258311925661,4.877043385159653
387,scale,p2p,0.009098574870468442,0.056606344910482255,9672.796563550271,463.6712403420479,139.42213674737576,3.3330063055743273,0.0,,0.004973761060611125,31,0.0,False,False,-0.0023322705004279825,364.10590421138903
387,scale,p2l,0.007745903211556413,0.04690808980988094,6.424295795311189,0.5996317331354228,135.85261269209684,3.002469932860666,0.0,,0.004306858487025961,40,0.0,False,False,-2.7259489207037,6.03502446077775
388,scale,p2p,0.008952478535170083,0.05584885491470699,611.6192890887979,1.101571272670375,144.810315830332,3.61356396509666,0.0,,0.004562800236741958,40,0.0,False,False,-0.009641928004113618,90.55274946246512
388,scale,p2l,0.007731144669197215,0.04472498560435272,11.61126974346721,1.8549815801719889,140.96279393799367,2.9857446956909106,0.0,,0.003952507866199862,40,0.0,False,False,-0.686476187027659,6.2343801345898004
389,scale,p2p,0.008887182637971482,0.0552495574745881,668.3347644479993,8.258314043000373,145.15126956515496,3.8124199786643422,0.0,,0.004360260637359295,40,0.0,False,False,-0.022614703522654635,37.090262562780154
389,scale,p2l,0.007593771246047731,0.04467825436089844,68.78022235935748,1.8003010613956205,141.00623811847922,3.379941044248625,0.0,,0.003905427714827774,40,0.0,False,False,-3.41306053236071,42.5111387213437
