scan,variant,obj,J0,gnorm,dhat_t_mm,dhat_r_deg,tstar_mm,rstar_deg,gnstar
155,self_noise,p2l,5.3797609668004544e-05,0.00011368948754349378,0.1964578469497425,0.008407405857587787,0.0,0.0,0.00011368948754349378
160,self,p2p,0.0,2.3315170944322845e-05,0.01264517958987885,0.00044595223792454465,0.0,0.0,2.3315170944322845e-05
160,self,p2l,0.0,4.762996103396053e-06,0.007523453616127043,0.0010977504912647316,0.0,0.0,4.762996103396053e-06
160,self_noise,p2p,8.960425623771348e-05,0.00022876502475421053,0.3306853570820014,0.023927377264244022,0.33912128274798403,0.02508970710686712,5.6235852896822665e-06
160,self_noise,p2l,5.359080450149326e-05,0.00018608430849063832,0.31588700129064756,0.04297389886892703,0.03313838288374347,0.0007421121535510434,0.00016519704787838904
165,self,p2p,0.0,1.506004857283733e-05,0.006381718807811626,0.00038599181054098727,0.0,0.0,1.506004857283733e-05
165,self,p2l,0.0,4.766932876799726e-06,0.005137192117210153,0.0012685122745960701,0.0,0.0,4.766932876799726e-06
165,self_noise,p2p,9.007614034270996e-05,0.00021428115965463205,0.32770082554127267,0.06543508496023138,0.3227571186720994,0.0572249010278088,1.2705938108438622e-05
165,self_noise,p2l,5.36918970952714e-05,0.00013214223802464597,0.1494590321441461,0.02928542242598735,0.18997997327405042,0.031800724240848684,1.8859829131416987e-05
170,self,p2p,0.0,9.327460987034628e-06,0.004493538342528958,0.0004993994485658193,0.0,0.0,9.327460987034628e-06
170,self,p2l,0.0,5.190288952313063e-06,0.007985025211006608,0.0005237161358584663,0.0,0.0,5.190288952313063e-06
170,self_noise,p2p,9.053783971733935e-05,0.00023064656739001137,0.44349378103986137,0.03181147771999557,0.31053243830318433,0.010946951849325485,7.890313742652017e-05
170,self_noise,p2l,5.467933252882776e-05,0.00021708297620089983,0.448048528795338,0.03041346335593608,0.47564080833055844,0.01536267737303688,6.557628012277052e-05
175,self,p2p,0.0,2.6529054757141166e-05,0.014868157588196006,0.0005316720365463053,0.0,0.0,2.6529054757141166e-05
175,self,p2l,0.0,8.032634269497913e-06,0.014830501072971347,0.0010197592583017414,0.0,0.0,8.032634269497913e-06
