scan,obj,ht,hr,gnorm,cos
448,p2l,0.0025,0.002181661564992912,0.05492951300623528,0.9901355811650367
448,p2p,0.005,0.004363323129985824,0.05713792736029883,0.9999999999996938
448,p2l,0.005,0.004363323129985824,0.05752213606694952,0.9999999999996978
448,p2p,0.01,0.008726646259971648,0.05710880541707122,0.9999984531684234
448,p2l,0.01,0.008726646259971648,0.05710749155227159,0.9993634108628464
465,p2p,0.0025,0.002181661564992912,0.0604780808652531,0.9999992074790284
465,p2l,0.0025,0.002181661564992912,0.06411793642362067,0.9988403664270787
465,p2p,0.005,0.004363323129985824,0.060436735370487764,0.9999999999997261
465,p2l,0.005,0.004363323129985824,0.0611343838530986,0.9999999999997325
465,p2p,0.01,0.008726646259971648,0.0604136801290509,0.999999503195806
465,p2l,0.01,0.008726646259971648,0.060560633412640584,0.9992263628192819
482,p2p,0.0025,0.002181661564992912,0.07110745032488794,0.9999997487950832
482,p2l,0.0025,0.002181661564992912,0.07871225112282047,0.9942601930179833
482,p2p,0.005,0.004363323129985824,0.0710691706572542,0.999999999999802
482,p2l,0.005,0.004363323129985824,0.07569311145084408,0.9999999999998256
482,p2p,0.01,0.008726646259971648,0.07102076817081582,0.9999990885208268
482,p2l,0.01,0.008726646259971648,0.07384754178999979,0.9945802149826155
500,p2p,0.0025,0.002181661564992912,0.07001173418100531,0.9999989240002456
500,p2l,0.0025,0.002181661564992912,0.07201166756216047,0.9978075944058643
500,p2p,0.005,0.004363323129985824,0.07008011615897602,0.9999999999997965
500,p2l,0.005,0.004363323129985824,0.06961818985493719,0.9999999999997936
500,p2p,0.01,0.008726646259971648,0.07002725653749284,0.9999970556151194
500,p2l,0.01,0.008726646259971648,0.06914065496820018,0.9979554890478132
