dataset,order,scan,block_full,in_support,condition,kind,n_points,gt_norm,gr_norm,residual_rms_mm,trans_error_mm,rot_error_deg,patch_spread_mm
IV,9,9,0,False,raw,p2p,9478,0.057917852858451954,0.01603520192534668,66.66304836470503,103.84156122883269,0.7434654866069345,42.59965124353082
IV,9,9,0,False,raw,p2l,9478,0.05390554823565549,0.01326638032959833,63.68266622641786,103.19007233670122,0.14182161429917922,42.59965124353082
IV,9,9,0,False,N1,p2p,9478,0.019933981122373552,0.013895275268704639,54.69300071873325,89.90351008696548,0.7735182846818859,46.417594357639935
IV,9,9,0,False,N1,p2l,9478,0.014428410557752836,0.00823242667614877,50.79468469866613,90.79812567142943,0.21421394805286648,46.417594357639935
IV,9,9,0,False,N2,p2p,9478,0.017148376793870927,0.012776777435290999,54.407893530665795,95.9891677059279,2.4736362636492064,50.35855351446639
IV,9,9,0,False,N2,p2l,9478,0.013221234823618594,0.011925632328539623,50.612397206734165,95.51999360253403,2.546847754903314,50.35855351446639
IV,9,9,0,False,N3,p2p,9478,0.032919269027118545,0.01766220036081828,62.55464769558532,100.85228840753571,0.775099074606485,50.633256696846615
IV,9,9,0,False,N3,p2l,9478,0.031733344533225065,0.014709469333107569,59.53981898034889,100.13813092942672,0.43695633873998313,50.633256696846615
IV,10,10,0,False,raw,p2p,9491,0.059631184479894954,0.016466555958479474,67.33322023023602,108.47257489080616,1.3221113007496517,40.0353358030075
IV,10,10,0,False,raw,p2l,9491,0.05533253293629406,0.0125380022878861,64.1383817387538,106.90642354463306,0.9087617315680144,40.0353358030075
IV,10,10,0,False,N1,p2p,9491,0.01967593161394783,0.014221998886041382,54.54475157356908,94.51221453057173,1.2983440775098158,44.33764504249493
IV,10,10,0,False,N1,p2l,9491,0.013782267186285944,0.010956062500627497,50.583717350842775,94.58113612424386,0.8752641527157082,44.33764504249493
IV,10,10,0,False,N2,p2p,9491,0.017996698019931805,0.012824155718205926,54.61907070339307,99.41807357149078,3.165810416282256,48.46801080667841
IV,10,10,0,False,N2,p2l,9491,0.014875774072513403,0.012194521602217259,50.77382007738619,99.24034652457335,3.323157623245605,48.46801080667841
IV,10,10,0,False,N3,p2p,9491,0.03435152466198585,0.018279864020739653,63.085779695238045,103.27831478594865,1.151707814697088,48.19656661265596
IV,10,10,0,False,N3,p2l,9491,0.03221100538402371,0.0156661609267622,59.9683364977099,102.0190274689831,0.9562408425930332,48.19656661265596
IV,11,11,0,False,raw,p2p,9450,0.05915083721226817,0.016363104771516427,68.41198671912805,109.3757220541898,2.4114430516494685,69.75228387423044
IV,11,11,0,False,raw,p2l,9450,0.05554766817578163,0.012404307261322066,65.44194959599876,106.84166531610218,2.7651959793909793,69.75228387423044
IV,11,11,0,False,N1,p2p,9450,0.01973634499405596,0.013887449313444641,56.03480574154612,95.63697017609346,2.4567718385672226,48.1798656417829
IV,11,11,0,False,N1,p2l,9450,0.014943880703078685,0.011377394089435769,52.23475953900621,94.3373559053328,2.7062929880788698,48.1798656417829
IV,11,11,0,False,N2,p2p,9450,0.018293161724187535,0.013294164256991262,56.41710325202046,101.50332829489253,3.9769496567849725,55.4640518867493
IV,11,11,0,False,N2,p2l,9450,0.015248865765501312,0.011913067883730715,52.167721248447336,99.40561243301701,5.154810323272001,55.4640518867493
