order,scan,range_m,nearest_d,pred_et_mm_p2p,pred_eR_deg_p2p,pred_et_mm_p2l,pred_eR_deg_p2l,real_et_mm_p2p,real_eR_deg_p2p,real_et_mm_p2l,real_eR_deg_p2l,iters_p2p,iters_p2l,onbound_p2p,pred_dxi0_p2p,pred_dxi0_p2l,real_xi0_p2p,real_xi0_p2l,pred_dxi1_p2p,pred_dxi1_p2l,real_xi1_p2p,real_xi1_p2l,pred_dxi2_p2p,pred_dxi2_p2l,real_xi2_p2p,real_xi2_p2l,pred_dxi3_p2p,pred_dxi3_p2l,real_xi3_p2p,real_xi3_p2l,pred_dxi4_p2p,pred_dxi4_p2l,real_xi4_p2p,real_xi4_p2l,pred_dxi5_p2p,pred_dxi5_p2l,real_xi5_p2p,real_xi5_p2l,in_support,block_full,block_primary
801,801,5.171479729838645,1.931789330229572,26.74163855308124,0.6530289257968367,56.3379317587625,3.0947658310705375,34.16295443641563,1.2246259236953636,35.828807763932346,1.1501821991313772,40,15,0,-0.003430876976652954,-0.006270023599406097,0.029832228139391757,0.030059287026567405,-0.0026758170515105077,-0.020010320814073165,0.005465479274795453,0.010532017453404641,-0.02638530497799029,-0.052289926561774225,-0.01572495330233684,-0.016407904729136953,0.005085426769977244,0.044832399141886914,0.014604319212768085,0.01849440753053233,-0.010143075419982755,-0.029869802639797265,0.00697578858797733,0.007651285936911043,0.0010768346021240132,0.003917553961339682,0.013960287039027311,-0.001548842714331861,False,16,-1
802,802,5.163768712287958,1.9353415072979894,27.154548149684466,0.6819879249077637,50.80744309651418,2.3174676330289024,32.74285187545269,1.1736488426166862,35.94313780614273,1.0994426508351607,40,12,0,-0.003371651008750487,-0.005894875129302306,0.027663595725316775,0.029988256301374628,-0.0030264835002797993,-0.01586879120873693,0.006183537600546196,0.010454819847255513,-0.026773902448303237,-0.04790436500767934,-0.0163885229116813,-0.016831826440284598,0.00539051557780918,0.030999664388543027,0.014991581391080606,0.019088749064349077,-0.010536908216621243,-0.02570902715680562,-0.0015748597280173982,0.0019500417867699977,0.0012632350005330924,0.003749956510940529,0.013869681260362907,0.0001750901879732239,False,16,-1
803,803,5.155954881536301,1.9389424295279862,27.18170038826785,0.6681594095103293,48.93622146525868,2.2785375044357155,29.05089386646767,0.7772580140374601,32.62734664489981,1.0221593150530872,38,40,0,-0.003964155440273338,-0.006746200245049122,0.023695897046052048,0.0269295321267878,-0.002499128541183241,-0.014097786945796852,0.006180135648271625,0.009501685484741205,-0.026774701943766903,-0.046373429426574256,-0.015628973766458013,-0.015781698941109496,0.004992829379845945,0.0323662634326726,0.013465270324104352,0.016678491671845156,-0.010537878742629347,-0.023030580267387416,0.00025235402462855694,0.003623000529073419,0.00013134826143672306,0.00187342550066433,-0.0016282937605229155,-0.0051931692775794396,False,16,-1
804,804,5.148103350712476,1.9425621016950634,27.014694319951186,0.6366130108198478,54.43745966713367,2.70708311054715,33.07265590322055,1.0912948342363207,36.6376077494983,1.41231328464666,40,40,0,-0.0029927280533029385,-0.004802449446916637,0.028564688369857455,0.030961617506309807,-0.002956282613252138,-0.020337008989098803,0.004853919373468733,0.009522163863134706,-0.02668515844266171,-0.05026708226760262,-0.015946743038677977,-0.017117854373801627,0.004920425226471596,0.0376459771082973,0.017661563491719687,0.02369442984811777,-0.00988620402915311,-0.02751298773260408,0.003473219780390236,0.004861604211781341,0.0012274172678290016,0.007625184356135684,0.006227538993349239,0.004747365733783393,False,16,-1
805,805,5.140281838728397,1.9461692693989991,27.7610066370043,0.6885114424307368,54.680510833277864,2.8711395542135345,29.654672809112153,0.8071803296732917,32.24018121776305,0.9255404379749662,40,40,0,-0.0037560796924069,-0.00648226822110712,0.024130233641706952,0.025433373303213862,-0.0032406499306294524,-0.02198527597164651,0.005540399054784369,0.009612787184344917,-0.027314163777630036,-0.049644597935207264,-0.016322849693784294,-0.017325332029201165,0.005186391329716261,0.0415156596876425,0.01099371219003966,0.015971413008944144,-0.010779278214165959,-0.02729799334347842,-0.002791631624266314,-0.002420045244243061,0.0011453325754883267,0.006508893594179742,0.008355569676505222,-1.6610505393284407e-05,False,16,-1
806,806,5.132435269683682,1.949789247309515,25.792062147845275,0.6725715519442593,53.81543002397294,3.276680656105673,34.5446393919187,1.8673073820138506,37.15733489128009,1.6614174994424524,40,13,0,-0.002940066785954094,-0.0047720389089207435,0.030171278033186092,0.031824454278255525,-0.004910757257565325,-0.02469374908403313,0.005838659701684486,0.009434669002653972,-0.025148974935168076,-0.04757674757159938,-0.01577771039947841,-0.016699061857611185,0.005928489516167008,0.04994603097962839,0.01368299002718953,0.02114783879237091,-0.009899141034330802,-0.02546405148878276,0.0023166034504939876,0.0026914511754213507,0.002157421593918235,0.011293469965454103,0.029488309201299343,0.019656117075634923,False,16,-1
807,807,5.124581794408691,1.953413741861351,25.714140986798487,0.6587194605669013,55.38955811774182,3.58030704214624,35.54125220222006,1.704221985683428,38.778194071570276,2.1025353488599157,40,40,0,-0.002944107708765677,-0.006351406592962105,0.031592724575812706,0.034330900566093586,-0.00484575473114914,-0.02407268954533381,0.005323716859075852,0.008215402753400014,-0.025081226795627083,-0.04947896927810393,-0.01538630562490695,-0.016051316437376433,0.005458460341213525,0.05542374722546247,0.012837863685141157,0.017984052912875866,-0.009952879534818318,-0.02846659625879057,0.005331796294596788,0.008074126919234342,0.0018227311205973671,0.00475705225591281,0.02629607736190574,0.030951426504358722,False,16,-1
808,808,5.116792726981325,1.9570099536432766,26.38658608115976,0.6824549452215891,51.398719566688776,2.685081484339774,33.12634958317678,1.2773683064371584,35.792395854942626,1.3588081078722836,40,18,0,-0.00317157286172669,-0.0063852858779943076,0.02875712835914771,0.030812756029148156,-0.004954085092867667,-0.020286308096486717,0.006302054756486045,0.008322990505767085,-0.02572255997162489,-0.04679233058061779,-0.015187715795622149,-0.01619868809397906,0.005902219658020289,0.03706528015876741,0.011753163428039311,0.01742959383912509,-0.010214691485314613,-0.027975425621323047,0.002904917158328474,0.003008205962249555,0.001642512003051928,0.00630312461896764,0.018720567491375593,0.015798519375763348,False,16,-1
809,809,5.108972804145075,1.960622047833139,26.190616173385216,0.6859497345126885,53.281594118865414,3.11320878725567,35.25039353036311,1.2634677521956867,38.81051369656535,1.4720565397313237,40,15,0,-0.0033446628421581887,-0.00603879219289916,0.031557274479960123,0.034779313484089996,-0.004611194239979736,-0.022724879871030078,0.003909148751556916,0.006018688852236673,-0.02556361660045486,-0.047812562110241964,-0.01521338974325328,-0.016137865765541763,0.005514722801637205,0.04465492632875812,0.016441111434012227,0.020362843422334694,-0.010516120835169996,-0.029932945863554335,0.0069340431359295514,0.007898163249373659,0.0015263575404671334,0.007894893499878526,0.01295705022158244,0.013530132364709825,False,16,-1
810,810,5.101183561860325,1.964221506434964,26.922032191218307,0.6998553564565054,49.93383586900875,2.4629912944474146,31.416975356653257,0.8079087330807411,34.114206022811054,1.142592163222931,40,40,0,-0.0036121932633350956,-0.006135725838032171,0.026587732854061838,0.02922782928079079,-0.004769263798118508,-0.020657240592572693,0.0059943519543256794,0.006669545857370795,-0.02624884759293763,-0.045044636130555836,-0.015626469431361343,-0.016279748344374817,0.0059632356836783985,0.034203715891425554,0.0116774595643881,0.01764474131614223,-0.010596056920648071,-0.02511745051430329,0.0016960410484814696,0.0026888922205339427,0.0011680131265090765,0.006864991484361606,0.0077194044692260625,0.008894725251075397,False,16,-1
