order,scan,dbs_mhat_m,raw_ete_mm,dbs_ete_mm,dbs_ete_sens_globalmed_mm,raw_eR_deg,dbs_eR_deg,dir_cos_vhat_realized,improved_primary,in_support,block_full,block_primary
329,329,0.16841589930171472,64.88133000931403,108.40153077731117,101.51817813308043,1.7863703575420666,1.7863703575420666,0.9528013018890772,False,True,6,3
330,330,0.16842465146148608,62.71898126238694,110.35662827034326,103.453045381887,1.548137760787867,1.548137760787867,0.9524350803287327,False,True,6,3
331,331,0.16843333262378948,63.95388101316071,109.41677023676674,102.51491893832534,1.6372366171584136,1.6372366171584136,0.9509804492738889,False,True,6,3
332,332,0.16844197516213855,61.936161404962014,112.75189620316438,105.86282109359385,1.0678457219200557,1.0678457219200557,0.9343646236952688,False,True,6,3
333,333,0.16909384531860702,63.02362976771446,110.96341910933475,103.40783961063732,1.1055589147370024,1.1055589147370024,0.9501736449703985,False,True,6,3
334,334,0.168595297661537,63.44489359287524,110.99787783463758,103.95570215676426,1.4594197246878315,1.4594197246878315,0.940918985591239,False,True,6,3
335,335,0.1686015013315778,62.74976659867901,112.38344729787795,105.34731319882688,1.1240322687518578,1.1240322687518578,0.9326328333402244,False,True,6,3
336,336,0.16860731992388825,62.05084793868852,112.30044215621128,105.23902319145924,1.2900163465007584,1.2900163465007584,0.9399216072195905,False,True,6,3
337,337,0.16861288437124716,62.98761304800371,111.99931517278415,104.94963402287969,1.3027469233449482,1.3027469233449482,0.9346948995847782,False,True,6,3
338,338,0.16861816189822756,61.787996390978705,112.60936038689191,105.53709579414283,0.990524960344706,0.990524960344706,0.9391383479430995,False,True,6,3
339,339,0.16862323382129077,61.86039368781185,112.21094591747735,105.12682284153858,1.0877870333066124,1.0877870333066124,0.9428155998529408,False,True,6,3
340,340,0.16926693867636136,62.90133907663684,111.22262282275463,103.49542688693475,1.2143982933872213,1.2143982933872213,0.9503700842666474,False,True,6,3
341,341,0.1689770327139343,62.08257188371124,112.8650992624958,105.44595638833604,1.2957528574582937,1.2957528574582937,0.9374624052397369,False,True,6,3
342,342,0.16897485565257048,62.820360176134805,110.87477788483653,103.43144968824238,1.2796283264322081,1.2796283264322081,0.9517459469664282,False,True,6,3
343,343,0.1689725590256228,60.938649112326246,113.91309723966125,106.49187570280058,1.031883347626166,1.031883347626166,0.9366381875350479,False,True,6,3
344,344,0.16897005968555412,60.952801377163375,113.04233341596957,105.60469256172922,1.2864157785570256,1.2864157785570256,0.9460714805574433,False,True,6,3
345,345,0.1689157670483254,61.21753704225139,114.38127326029837,107.03413774075463,1.109113052439431,1.109113052439431,0.9282359878039429,False,True,6,3
