order,scan,cos_translation_p2p,cos_rotation_p2p,cos_translation_p2l,cos_rotation_p2l,pred_et_mm_p2p,real_et_mm_p2p,pred_eR_deg_p2p,real_eR_deg_p2p,in_support,block_full,block_primary
86,86,0.9926138356426459,0.8146218965276092,0.9236577508892723,0.9376867486461343,38.270977621804434,72.4380388638989,0.7466134311429353,1.5415902398468289,False,1,-1
87,87,0.9958009533029747,0.8333683297987349,0.9082130143743712,0.48796610872999996,38.44200192475291,74.18964620276587,0.7417615530446354,1.682665146006109,False,1,-1
88,88,0.9926019290889682,0.835294968884013,0.9514600998321149,0.9204074639490502,38.62771295547322,73.17146313900766,0.7392616598959273,2.0665895634484897,False,1,-1
89,89,0.9962597390753066,0.8146332529425588,0.9386086775323524,0.9921624450126317,38.26367702254054,72.26360282617918,0.7430750374303869,1.8581389226111142,False,1,-1
90,90,0.9912394684965503,0.780668643296159,0.9222031781439723,0.7301371645831176,37.58136070577728,70.89006383718691,0.7367678631680231,1.789602795046984,False,1,-1
91,91,0.9925093748782714,0.7899973574488058,0.9054650655475582,0.8925787295414317,38.21298619422963,70.36845672436306,0.7286150901753455,2.0286747434161994,False,1,-1
92,92,0.9924043357154193,0.7859961148317933,0.874218855246977,0.9291686854673635,38.365668519686075,70.98593854702547,0.7142805575872033,2.197041147225353,False,1,-1
93,93,0.9907325073451569,0.8006096973909134,0.9421579910932385,0.9563049138758482,37.71912610974639,71.60008078067293,0.7532664461690204,2.000807585223209,False,1,-1
94,94,0.9849375997243478,0.8209440449944615,0.9267429403004512,0.9976032478706054,38.37106616847418,71.40716824735885,0.7461488927768226,1.8738416908784565,False,1,-1
95,95,0.9879998188256917,0.8019237514859802,0.9584250123627701,0.9937449334055651,39.19885131000629,70.93117028134367,0.7359337294735815,2.288788177264827,False,1,-1
96,96,0.9838516351336827,0.8025046333859052,0.9562009525417513,0.9816280316319914,39.63126378635377,69.53616440781083,0.7312005820754554,2.0058130291114993,False,1,-1
97,97,0.9883918041260784,0.8492359655758202,0.9162966757983843,0.9886323295605863,38.85968540430301,69.77678271082331,0.6987352911541109,1.9526016818010017,False,1,-1
98,98,0.9945752681875781,0.738381451782807,0.9575268251761067,0.9897117013935544,39.461008315730346,69.52986361911836,0.6563682285156466,1.9184996699821475,False,1,-1
99,99,0.9939557643008478,0.8355100358171473,0.930917847944662,0.9411578369468933,39.56174773697704,69.22030500102211,0.8041841239595505,2.135269888431432,False,1,-1
100,100,0.9937641252933859,0.834226390097334,0.9607019888122579,0.9647932994771159,40.42012877763843,69.91490846042966,0.7660275978121116,1.9590152658572721,False,2,-1
101,101,0.9936771324833304,0.776832122724318,0.9407870737425805,0.9871740186405843,41.125650222351446,70.0376077783683,0.7058957084629451,1.8141043470742464,False,2,-1
102,102,0.9965865440054279,0.8315069286584985,0.973759281242058,0.9011860021950592,41.0087392753465,70.71874156639,0.7465429508702928,2.1390773409549553,False,2,-1
103,103,0.9967484311788195,0.8109523760988824,0.9738917607053617,0.7837842191879328,42.32171444834811,70.58407084926728,0.6867736224795508,1.9124269397807105,False,2,-1
104,104,0.9974042357392128,0.7950949413105044,0.972462688161068,0.8565414508833574,43.44063184774887,70.60424168891267,0.6987485975596579,1.717602399614267,False,2,-1
105,105,0.9992217072311624,0.759455987627036,0.9804395811340623,0.7326241043458644,44.17052212746707,69.3934297916591,0.6796340855919722,1.6179504895112047,False,2,-1
106,106,0.9976855934851897,0.7483472533213147,0.98058132046015,0.8471134967221192,44.8049790891967,68.7817933161425,0.6608350037077986,1.6384973100650744,False,2,-1
107,107,0.9972806220561511,0.6751903405012011,0.985899032912021,0.6882083115652324,44.41489505760446,68.19713438540334,0.6955551591429329,1.562699125872858,False,2,-1
108,108,0.9991602920564875,0.6996841953982159,0.9911017388373171,0.7065768518077096,45.33649082526954,66.70670375192915,0.6627698463623677,1.680720438003546,False,2,-1
109,109,0.9995950121867379,0.6580294956805689,0.9776068315005683,0.6472461445634894,45.44318674902492,66.61484253375043,0.6408918922672219,1.650995735488079,False,2,-1
