panel,patch_id,block,center_median_mm,n_stat_units,center_statistic,shaded_band,statistical_unit,bin_edge_lo_m,bin_edge_hi_m,range_center_m,band_q25_mm,band_q75_mm,bin_index
2B,6,4.0,118.6224520206451,83,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,7,4.0,70.6361234188079,103,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,8,4.0,84.545150399208,99,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,9,4.0,99.886804819107,76,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,10,4.0,37.4087765812873,103,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,11,4.0,63.7790784239769,103,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,12,4.0,111.8208691477775,79,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,13,4.0,76.7954140901565,75,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,14,4.0,109.9659316241741,87,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,15,4.0,33.6744450032711,103,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,16,4.0,68.84810887277119,98,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,17,4.0,74.1526633501052,103,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,18,4.0,98.0995632708072,91,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,19,4.0,100.1280844211578,89,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,20,4.0,43.2224832475185,103,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,21,4.0,42.3749387264251,103,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,22,4.0,66.9034346938133,97,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,23,4.0,65.864585340023,103,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,0,5.0,51.6326371580362,83,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,1,5.0,60.29090005904435,78,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,2,5.0,47.049131244421,83,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
2B,3,5.0,30.959414318203898,83,median over scans in block,NONE (heatmap cell = single value),one supported VI scan's patch-median residual,,,,,,
