trajectory,block,n,raw_et_med,raw_eR_med,raw_gt_med,raw_gr_med,patch_et_med,patch_eR_med,patch_gt_med,patch_gr_med,shuf_et_med,shuf_eR_med,shuf_gt_med,shuf_gr_med,shuf_ens_et_med,shuf_ens_et_lo,shuf_ens_et_hi,d_et_patch_raw,d_et_shuf_raw,d_et_patch_shuf,d_eR_patch_raw,d_eR_shuf_raw,d_gt_patch_raw,d_gt_shuf_raw
III,1,50,90.61309406629223,1.802275409454904,0.049742717868262454,0.00297156470703765,62.78762958451281,2.4280442277163914,0.02180426445798155,0.00515204317109175,79.73377585291783,1.2937321703558498,0.0334829938489403,0.0032658364494264,94.61826804482993,88.24824779559941,108.19659590866364,27.367280034831495,10.879784755190961,18.29595975281372,-0.5049190817852377,0.5473746874922205,0.027945629949867948,0.01652110694724955
III,2,50,85.00276269533241,3.362244593134884,0.0537549865648157,0.007654733181844,45.22750367723258,2.6457782553661193,0.02319567540186725,0.0044738705438086505,91.58905393527763,3.1792092923976307,0.04443758227097805,0.0048720590525785,95.57392250657705,85.79479075786614,101.94571886001543,39.46999229023076,-4.3968917176804325,44.041938261559935,0.8372277066659868,0.1841982460589375,0.03017676599006915,0.010685510485242699
III,3,50,64.78443774217322,1.7883641404433934,0.04383508828606495,0.00362745230460175,22.441606378253052,1.8446301629930852,0.0124347590536254,0.0044612395708837505,64.21620407888008,2.8603782239227833,0.041610130173099,0.00555548371201065,57.51761646286639,14.869491612056423,82.29160693452926,42.40801600000279,0.25427360475389804,42.096105311058835,-0.23665681890969198,-0.808342939984341,0.03005321897459825,0.0027048142419275
III,4,50,49.89795950288007,1.5481026423232604,0.04471206492045125,0.0079434701532641,17.860576731808084,2.788815160125875,0.007278259236088,0.005041813152940651,51.85803925552908,3.446596023342698,0.03863166458832905,0.0070918704399753,37.70783846510729,18.82654159523444,61.33270661610534,35.30363745326825,-1.020275797231534,36.308520081978784,-1.1887361743330618,-1.9971277588933267,0.036000612321785,0.00601313226186205
III,5,50,51.70794146670495,1.1429974714664208,0.038534802866546855,0.00425034766184525,23.963873514890302,1.219501125373713,0.01394636129655795,0.0019974179542374,45.811911498856716,2.8061159412330445,0.02739769761395965,0.004589979721520501,39.749232864713235,28.359894838567882,59.256216067502734,28.011911596184486,8.670501283996721,22.10249934878219,0.0122007941390088,-1.6068474956944963,0.02447576991985705,0.01097209157247315
III,6,50,58.082790747938404,1.5129027300766296,0.03748086150816545,0.00423033842000475,49.17639577861411,1.0659053963063305,0.01928579982551635,0.00344397326042255,40.22178186976949,2.792814679756432,0.0253420352763987,0.00631684375505,39.03190200434315,25.933569380938376,64.47752819520548,10.934486835662295,16.796097347097106,-6.84723071259236,0.21881035785203634,-1.2537048271030866,0.01927708759738305,0.0124819111369407
III,7,21,100.60352184974192,3.257714721231708,0.0460885812586506,0.003668058456663,58.51130155117774,1.92324918016252,0.0282089588249067,0.0050898244141047,94.84464689630528,5.333716344185856,0.0366233168592382,0.0073831476030692,88.39299662348772,76.83259133252422,108.56154775208984,39.26102411034204,7.368120400645353,30.961116824924417,1.1434616546635226,-1.7561667229605242,0.0183354046181253,0.0105277612884059
IV,0,50,158.48159106545035,4.164412815344692,0.0686061563055431,0.00564648942602245,120.49021037123283,4.464348027248754,0.040973944454170796,0.0066027869746568,150.8725143762603,4.000466414290433,0.0581328657342446,0.0072135184556336995,156.2615312884124,140.37964924464117,170.9541896089953,36.7094271695521,8.298211640473582,29.43066594492027,-0.30778901436125805,0.42661677366016604,0.028292302765425353,0.0101869044247446
IV,1,50,157.5282097360639,3.883711342382385,0.06233106098616445,0.00787736085395905,120.5265036175322,4.016040565444146,0.032700704665266894,0.0079826303345445,148.60807217790898,3.5052241617534676,0.0511638645404871,0.00911681174773995,151.61853449652457,143.4729295919582,166.2839229840562,37.29558918683602,10.794398444477068,25.65067582283934,0.00952605989129935,0.3470709459812049,0.02771267081773525,0.0116831428369843
IV,2,50,167.34531348982387,3.902590187239403,0.0665081437989192,0.0183184434021647,142.29249559345453,3.6353855553197207,0.0415782394543661,0.016734075215663002,164.0559479931989,3.5028142591371534,0.053519308580102745,0.0174873229648904,162.768631338955,150.03603365131028,176.91705721824516,25.919615669949096,4.520652443871583,20.10790157156002,0.2438233265912903,0.38798522587662493,0.025121432861463497,0.014140901202164699
