experiment,trajectory,configuration,translation_median_mm,rotation_median_deg,paired_translation_effect_mm,paired_rotation_effect_deg,n_frames,n_blocks,seed
03_seed_sensitivity,VI,clustering_seed=1,114.26653393555569,4.225083027997321,47.398793320988034,-0.2130751681845142,501.0,6.0,1
03_seed_sensitivity,IV,clustering_seed=1,122.3433356066688,3.876578508371515,36.50913227830643,-0.142517050077868,156.0,4.0,1
03_seed_sensitivity,II,clustering_seed=1,42.69105764614285,1.384667420773681,21.685511397633164,-0.3756919143372019,428.0,9.0,1
03_seed_sensitivity,III,clustering_seed=1,28.604885795869585,1.9193587407025412,34.80402011975811,0.1360381584355117,371.0,8.0,1
03_seed_sensitivity,VI,clustering_seed=2,113.03484556982676,4.69199161864585,47.94791071903222,0.338005720708793,501.0,6.0,2
03_seed_sensitivity,IV,clustering_seed=2,125.09328752290946,4.20032067594841,33.99935827227971,0.1814860273708274,156.0,4.0,2
03_seed_sensitivity,II,clustering_seed=2,45.88227295936485,1.5561556539787993,22.87455443869884,-0.2777389334542294,428.0,9.0,2
03_seed_sensitivity,III,clustering_seed=2,34.22663956881047,2.374247866318742,26.575041187687024,0.6437977769857297,371.0,8.0,2
03_seed_sensitivity,VI,clustering_seed=42,116.81527871617058,4.66731556808484,43.5102795086748,0.2805735063839094,501.0,6.0,42
03_seed_sensitivity,IV,clustering_seed=42,126.26002467918384,4.000362743729728,33.630700956669884,-0.0056885745831387,156.0,4.0,42
03_seed_sensitivity,II,clustering_seed=42,41.77723740078632,1.2694027224561912,19.1030687120173,-0.3893871715381012,428.0,9.0,42
03_seed_sensitivity,III,clustering_seed=42,41.29782690845897,2.116023558976764,28.929768382518283,0.1939536888455855,371.0,8.0,42
03_seed_sensitivity,VI,clustering_seed=20240910,112.03152972079374,4.603860074493194,48.084991199791176,0.1832697258145703,501.0,6.0,20240910
03_seed_sensitivity,IV,clustering_seed=20240910,120.61004667351835,4.076666198689392,35.963709010226125,0.061536175656035,156.0,4.0,20240910
03_seed_sensitivity,II,clustering_seed=20240910,45.700246214601485,1.5020085494055015,27.695583469270893,-0.3180277509258553,428.0,9.0,20240910
03_seed_sensitivity,III,clustering_seed=20240910,33.59496902456785,2.489983734365409,33.330917622887206,0.4831742202674967,371.0,8.0,20240910
P2A_normal_recompute_p2p,VI,Huber,148.89218795717866,3.946522813593576,0.0,0.0,501.0,,42
P2A_normal_recompute_p2p,IV,Huber,132.56240261356217,3.401346458758705,0.0,0.0,156.0,,42
P2A_normal_recompute_p2p,II,Huber,50.896762880148486,1.048944368693606,0.0,0.0,428.0,,42
P2A_normal_recompute_p2p,III,Huber,55.890951830742615,1.0469504575392192,0.0,0.0,371.0,,42
P2A_normal_recompute_p2p,VI,PatchHuber,102.85815636252336,4.308393753652117,45.3799532674704,0.421019787289143,501.0,,42
P2A_normal_recompute_p2p,IV,PatchHuber,102.13888397725754,3.535414005614065,31.806695607959146,0.0521985184243736,156.0,,42
P2A_normal_recompute_p2p,II,PatchHuber,40.133061803888246,1.53086484902532,7.873511154948556,0.4977056037487792,428.0,,42
P2A_normal_recompute_p2p,III,PatchHuber,32.19458455669096,1.732525011135248,19.66271154365452,0.7200132573811806,371.0,,42
P2A_normal_recompute_p2p,VI,PatchReNormalHuber,102.85815636252336,4.308393753652117,45.37995326747041,0.4210197872891426,501.0,,42
P2A_normal_recompute_p2p,IV,PatchReNormalHuber,102.13888397725756,3.535414005614065,31.80669560795913,0.0521985184243736,156.0,,42
P2A_normal_recompute_p2p,II,PatchReNormalHuber,40.133061803888246,1.53086484902532,7.873511154948556,0.4977056037487792,428.0,,42
P2A_normal_recompute_p2p,III,PatchReNormalHuber,32.19458455669096,1.732525011135248,19.66271154365452,0.7200132573811806,371.0,,42
P2A_normal_recompute_p2l,VI,Huber,149.71909240791803,3.886588956764709,0.0,0.0,501.0,,42
P2A_normal_recompute_p2l,IV,Huber,134.86722865754192,2.828254740069032,0.0,0.0,156.0,,42
P2A_normal_recompute_p2l,II,Huber,52.52628800811347,1.120168625539964,0.0,0.0,428.0,,42
P2A_normal_recompute_p2l,III,Huber,56.49953946977402,0.9629542185298572,0.0,0.0,371.0,,42
P2A_normal_recompute_p2l,VI,PatchHuber,102.30929231152658,4.802705747956933,47.14216313429442,1.11846381882328,501.0,,42
P2A_normal_recompute_p2l,IV,PatchHuber,104.58225198851557,3.416159190638148,32.22245801168562,0.6119992751396579,156.0,,42
P2A_normal_recompute_p2l,II,PatchHuber,42.90240920442986,1.981146754774476,5.704531839927839,0.8883712858766304,428.0,,42
P2A_normal_recompute_p2l,III,PatchHuber,33.17721641720435,2.255419048558004,20.89678777867433,1.0594552958244672,371.0,,42
P2A_normal_recompute_p2l,VI,PatchReNormalHuber,102.25224716482886,4.413484168486784,47.19042374462879,0.7526571670000815,501.0,,42
P2A_normal_recompute_p2l,IV,PatchReNormalHuber,105.27568556003322,3.146407910757092,32.2692939360915,0.2764173472416855,156.0,,42
P2A_normal_recompute_p2l,II,PatchReNormalHuber,42.905320999616976,1.7654651144055522,5.377127666563343,0.6557537776422943,428.0,,42
P2A_normal_recompute_p2l,III,PatchReNormalHuber,31.821144538241004,2.0788626059282533,20.389987071524445,0.9863124935317866,371.0,,42
P2B_boundary_smoothing_p2p,VI,PatchSmooth_vs_Raw,114.41817821155006,4.599477843837341,45.88778136006229,0.2030636175063742,501.0,,42
P2B_boundary_smoothing_p2p,IV,PatchSmooth_vs_Raw,123.20574302003442,3.906704679254248,37.5498054760842,-0.1874001350978762,156.0,,42
P2B_boundary_smoothing_p2p,II,PatchSmooth_vs_Raw,42.76476119494801,1.3309342322213396,21.125479331522413,-0.3666355460275305,428.0,,42
P2B_boundary_smoothing_p2p,III,PatchSmooth_vs_Raw,37.6813910953284,2.142175630383069,31.208339553757725,0.2502705688683702,371.0,,42
P2B_boundary_smoothing_p2p,VI,PatchSmoothHuber,102.43793655155292,4.391432514747162,46.09725314792949,0.502741153577186,501.0,,42
P2B_boundary_smoothing_p2p,IV,PatchSmoothHuber,101.56247683228312,3.549293192906804,33.60806553546147,0.0751412076334097,156.0,,42
P2B_boundary_smoothing_p2p,II,PatchSmoothHuber,40.84567777498562,1.6208081207544602,6.7063658510858914,0.5434825997915885,428.0,,42
P2B_boundary_smoothing_p2p,III,PatchSmoothHuber,29.06369459271769,1.8894409063025237,20.63259081875378,0.8527562876804577,371.0,,42
P2B_boundary_smoothing_p2l,VI,PatchSmoothHuber,102.40987542096626,4.515190157056915,47.12605309300709,0.8298291452923481,501.0,,42
P2B_boundary_smoothing_p2l,IV,PatchSmoothHuber,103.76866205907596,3.2254163899221653,32.89149584619674,0.3766703757608338,156.0,,42
P2B_boundary_smoothing_p2l,II,PatchSmoothHuber,42.60472584379383,1.782332623383278,4.724195946564002,0.6624955470341076,428.0,,42
P2B_boundary_smoothing_p2l,III,PatchSmoothHuber,30.47961747005426,2.134978731198046,19.5309927116245,1.0707781662955964,371.0,,42
P3_blocksize_Patch_vs_Raw,IV,block=25,,,33.630700956669884,,,7.0,42
P3_blocksize_Patch_vs_Raw,IV,block=50,,,33.630700956669884,,,4.0,42
P3_blocksize_Patch_vs_Raw,IV,block=100,,,33.630700956669884,,,2.0,42
P3_blocksize_Patch_vs_Raw,II,block=25,,,19.1030687120173,,,18.0,42
P3_blocksize_Patch_vs_Raw,II,block=50,,,19.1030687120173,,,9.0,42
P3_blocksize_Patch_vs_Raw,II,block=100,,,19.1030687120173,,,5.0,42
P3_blocksize_Patch_vs_Raw,III,block=25,,,28.929768382518283,,,15.0,42
P3_blocksize_Patch_vs_Raw,III,block=50,,,28.929768382518283,,,8.0,42
P3_blocksize_Patch_vs_Raw,III,block=100,,,28.929768382518283,,,4.0,42
P3_blocksize_Patch_vs_Raw,VI,block=frozen_orientation,,,43.5102795086748,,,6.0,42
P3_blocksize_PatchHuber_vs_Huber,IV,block=25,,,31.806695607959146,,,7.0,42
P3_blocksize_PatchHuber_vs_Huber,IV,block=50,,,31.806695607959146,,,4.0,42
P3_blocksize_PatchHuber_vs_Huber,IV,block=100,,,31.806695607959146,,,2.0,42
P3_blocksize_PatchHuber_vs_Huber,II,block=25,,,7.873511154948556,,,18.0,42
P3_blocksize_PatchHuber_vs_Huber,II,block=50,,,7.873511154948556,,,9.0,42
P3_blocksize_PatchHuber_vs_Huber,II,block=100,,,7.873511154948556,,,5.0,42
P3_blocksize_PatchHuber_vs_Huber,III,block=25,,,19.66271154365452,,,15.0,42
P3_blocksize_PatchHuber_vs_Huber,III,block=50,,,19.66271154365452,,,8.0,42
P3_blocksize_PatchHuber_vs_Huber,III,block=100,,,19.66271154365452,,,4.0,42
P3_blocksize_PatchHuber_vs_Huber,VI,block=frozen_orientation,,,45.3799532674704,,,6.0,42
P3_blocksize_Patch_vs_Global,IV,block=25,,,26.16214859274467,,,7.0,42
P3_blocksize_Patch_vs_Global,IV,block=50,,,26.16214859274467,,,4.0,42
P3_blocksize_Patch_vs_Global,IV,block=100,,,26.16214859274467,,,2.0,42
P3_blocksize_Patch_vs_Global,II,block=25,,,7.467911622864934,,,18.0,42
P3_blocksize_Patch_vs_Global,II,block=50,,,7.467911622864934,,,9.0,42
P3_blocksize_Patch_vs_Global,II,block=100,,,7.467911622864934,,,5.0,42
P3_blocksize_Patch_vs_Global,III,block=25,,,22.07169879299484,,,15.0,42
P3_blocksize_Patch_vs_Global,III,block=50,,,22.07169879299484,,,8.0,42
P3_blocksize_Patch_vs_Global,III,block=100,,,22.07169879299484,,,4.0,42
P3_blocksize_Patch_vs_Global,VI,block=frozen_orientation,,,37.78964555678448,,,6.0,42
