trajectory,order,level,in_support,posthoc,et_mm,eR_deg,iters,on_bound
VI,55,A1_patch,True,0,110.20735081719988,6.907566616926068,40,0
VI,55,A2_allhist_scanw,True,0,121.12541909789867,5.911239340470826,40,0
VI,55,B1_view_pointw,True,0,82.52040031384223,4.900481374567037,40,0
VI,55,B2_full,True,0,81.13574206456616,4.769168178959289,40,0
VI,56,A1_patch,True,0,109.18439003860479,6.4020357959058565,26,0
VI,56,A2_allhist_scanw,True,0,105.57928543230445,4.5674697822898045,40,0
VI,56,B1_view_pointw,True,0,71.58344103286478,3.4628718233475255,34,0
VI,56,B2_full,True,0,71.69699449007388,3.7017646442352334,28,0
VI,57,A1_patch,True,0,110.31469837491838,6.196303883633497,35,0
VI,57,A2_allhist_scanw,True,0,111.8656953860245,3.9616707897831303,40,0
VI,57,B1_view_pointw,True,0,74.73327832836067,2.6144218725615325,25,0
VI,57,B2_full,True,0,74.12866773150711,2.5434102172248974,28,0
VI,58,A1_patch,True,0,111.62986481662577,5.6804473758945635,40,0
VI,58,A2_allhist_scanw,True,0,118.14068093883131,3.4326357831607757,25,0
VI,58,B1_view_pointw,True,0,77.22028338605494,3.503927332925817,40,0
VI,58,B2_full,True,0,77.16938602485052,3.373799002983465,40,0
VI,59,A1_patch,True,0,110.15400684305173,2.8525405862467195,31,0
VI,59,A2_allhist_scanw,True,0,122.99497515787519,1.5906751454936512,40,0
VI,59,B1_view_pointw,True,0,73.96988377585538,0.558346783463314,40,0
VI,59,B2_full,True,0,72.85429821481816,0.4976049714434499,40,0
VI,60,A1_patch,True,0,107.72712561402184,3.5080277104362527,28,0
VI,60,A2_allhist_scanw,True,0,123.62340976705877,3.2739308955063247,38,0
VI,60,B1_view_pointw,True,0,75.56184200505717,1.5035805247558762,40,0
VI,60,B2_full,True,0,73.36095208858606,1.137851036341667,40,0
VI,61,A1_patch,True,0,99.74728357920203,5.294908830009082,40,0
VI,61,A2_allhist_scanw,True,0,119.31902101787844,5.606097148738928,40,0
VI,61,B1_view_pointw,True,0,68.59579616647959,2.410906124760665,37,0
VI,61,B2_full,True,0,70.05717067269306,2.803896678340063,40,0
VI,62,A1_patch,True,0,85.13359717338902,4.275509596205863,29,0
VI,62,A2_allhist_scanw,True,0,106.96403616008483,4.276336176516422,40,0
VI,62,B1_view_pointw,True,0,48.01885740902798,1.8909143494945992,21,0
VI,62,B2_full,True,0,49.3859721711317,1.843222474323324,20,0
VI,63,A1_patch,True,0,94.85088248803693,4.692396902249401,40,0
VI,63,A2_allhist_scanw,True,0,115.33622540516002,5.043320460484185,32,0
VI,63,B1_view_pointw,True,0,57.302655097772785,1.2344292923762747,31,0
VI,63,B2_full,True,0,57.870601371998696,1.1094083903426866,27,0
VI,64,A1_patch,True,0,100.01614500593956,3.859980100608464,24,0
VI,64,A2_allhist_scanw,True,0,121.53843538409814,5.067407887376609,32,0
VI,64,B1_view_pointw,True,0,63.54356070739074,0.8090870067366454,40,0
VI,64,B2_full,True,0,63.67417302311229,0.7598038018194742,40,0
VI,65,A1_patch,True,0,101.24185170523997,4.700662559331128,40,0
VI,65,A2_allhist_scanw,True,0,127.90206903465432,7.268814300279863,40,0
VI,65,B1_view_pointw,True,0,62.63818821686472,1.9445752481690777,28,0
VI,65,B2_full,True,0,63.027492423635685,1.8886095804456078,29,0
VI,66,A1_patch,True,0,107.52062412106739,3.674123758317615,33,0
VI,66,A2_allhist_scanw,True,0,135.49787269348732,6.120440859035973,40,0
VI,66,B1_view_pointw,True,0,66.9721788374859,1.4572232019141211,37,0
VI,66,B2_full,True,0,66.55099121939581,1.374699302503003,40,0
VI,67,A1_patch,True,0,99.84566197751109,4.973050826158106,36,0
VI,67,A2_allhist_scanw,True,0,113.6083975833557,3.1944328225912044,28,0
VI,67,B1_view_pointw,True,0,54.00569016438838,1.9198871738953978,24,0
VI,67,B2_full,True,0,58.91843216090361,2.543412821447098,31,0
VI,68,A1_patch,True,0,99.99845440203426,6.175757397150855,40,0
VI,68,A2_allhist_scanw,True,0,114.97026687025517,4.877771821063191,26,0
VI,68,B1_view_pointw,True,0,57.79332952106242,3.4948524066563,40,0
VI,68,B2_full,True,0,59.41973290330724,3.537532403354907,40,0
VI,69,A1_patch,True,0,92.42331200062361,5.143842352733565,28,0
VI,69,A2_allhist_scanw,True,0,112.61434682421546,4.495129630739159,31,0
VI,69,B1_view_pointw,True,0,52.877819699646146,2.9964483188878406,27,0
VI,69,B2_full,True,0,53.51334036218794,3.033194018680337,26,0
VI,70,A1_patch,True,0,105.22116756203616,5.495837612829422,38,0
VI,70,A2_allhist_scanw,True,0,125.44179426543323,4.706233179031437,27,0
VI,70,B1_view_pointw,True,0,68.32007952621093,3.313134126565999,40,0
VI,70,B2_full,True,0,67.43505347786491,3.3376765435744216,40,0
VI,71,A1_patch,True,0,109.77223450483655,4.894436213660616,25,0
VI,71,A2_allhist_scanw,True,0,128.64600410542505,4.427797555590716,22,0
VI,71,B1_view_pointw,True,0,73.25105505534258,2.895332672020016,34,0
VI,71,B2_full,True,0,71.66051392512522,2.92663929714528,32,0
VI,72,A1_patch,True,0,110.86400764312359,5.461294892795629,40,0
VI,72,A2_allhist_scanw,True,0,130.4459455121793,5.102991937892482,40,0
VI,72,B1_view_pointw,True,0,75.51428414287113,4.439917200217711,40,0
VI,72,B2_full,True,0,73.5567602698329,4.2332849589623205,40,0
VI,73,A1_patch,True,0,108.3432981593289,6.1127366660395825,40,0
VI,73,A2_allhist_scanw,True,0,129.14475387282255,6.2811650628674105,40,0
VI,73,B1_view_pointw,True,0,70.61358022552898,4.61435305865156,40,0
VI,73,B2_full,True,0,73.48632778204218,5.080875358253785,40,0
VI,74,A1_patch,True,0,103.65104311341074,5.1156617875926855,26,0
VI,74,A2_allhist_scanw,True,0,125.48828816679661,5.144081598253544,27,0
VI,74,B1_view_pointw,True,0,65.22639126221111,3.9364779626097466,40,0
VI,74,B2_full,True,0,67.07525720571455,3.8451406544982807,40,0
VI,75,A1_patch,True,0,108.23586554397455,6.385301225494455,40,0
VI,75,A2_allhist_scanw,True,0,129.69336654083457,6.118444584553746,40,0
VI,75,B1_view_pointw,True,0,72.76984963899646,4.144036812289208,40,0
VI,75,B2_full,True,0,73.29248959025715,4.1099174242598355,40,0
VI,76,A1_patch,True,0,100.06522079881218,5.121522874382144,31,0
VI,76,A2_allhist_scanw,True,0,130.86575007538224,6.307423252793621,36,0
VI,76,B1_view_pointw,True,0,63.147481853064804,3.355587275213362,37,0
VI,76,B2_full,True,0,63.696816443050416,3.3519075416705477,40,0
VI,77,A1_patch,True,0,102.46708104007348,5.659514267448774,40,0
VI,77,A2_allhist_scanw,True,0,138.93818678710505,8.50969689019889,40,0
VI,77,B1_view_pointw,True,0,63.97134844774495,3.7521198418547614,40,0
VI,77,B2_full,True,0,64.45315727093245,3.735021811753027,40,0
VI,78,A1_patch,True,0,107.306901873411,5.962652737020765,40,0
VI,78,A2_allhist_scanw,True,0,149.1216349991214,9.895077892418934,40,0
VI,78,B1_view_pointw,True,0,69.42607282298275,3.980822553344156,40,0
VI,78,B2_full,True,0,69.43565435939165,3.9134247113926506,40,0
VI,79,A1_patch,True,0,112.05036116964529,4.842557204879842,35,0
VI,79,A2_allhist_scanw,True,0,149.30949589461147,7.3294346481434625,40,0
VI,79,B1_view_pointw,True,0,74.74162027457463,3.0896135829393927,34,0
VI,79,B2_full,True,0,74.72242333744671,3.029420124655088,32,0
VI,80,A1_patch,True,0,116.25891254080294,5.726859342644239,31,0
VI,80,A2_allhist_scanw,True,0,142.3653128701382,5.822313250262107,40,0
VI,80,B1_view_pointw,True,0,80.63518733015127,3.918024173237174,40,0
VI,80,B2_full,True,0,79.82738532598869,3.7620645035957683,40,0
VI,81,A1_patch,True,0,113.76125723959606,7.157817936553741,40,0
VI,81,A2_allhist_scanw,True,0,139.18305719814907,6.921905382000569,40,0
VI,81,B1_view_pointw,True,0,73.69122281088005,3.71269122288488,30,0
VI,81,B2_full,True,0,72.52129974127071,3.611383700565615,40,0
VI,82,A1_patch,True,0,111.79077545288837,6.132534408084633,34,0
VI,82,A2_allhist_scanw,True,0,136.71310117469397,5.053829602230604,37,0
VI,82,B1_view_pointw,True,0,69.64471386640902,3.1556756688657623,26,0
VI,82,B2_full,True,0,69.59546538439241,3.089600989572453,24,0
VI,83,A1_patch,True,0,107.445883050957,6.853670916129637,40,0
VI,83,A2_allhist_scanw,True,0,130.94915221130537,5.431338701110421,40,0
VI,83,B1_view_pointw,True,0,65.17350333357768,4.411761402175775,40,0
