trajectory,order,scan,block,in_support,method,arm,translation_error_mm,rotation_error_deg,iters,on_bound,n_points,wmean,sumw,ess_w,keep_ratio,n_retain
II,152,152,0,True,Raw LS,Raw,83.78298141262292,1.6115850796497313,40,0,10048,1.0,10048.0,10048.0,1.0,10048
II,152,152,0,True,Trim Raw,Trim,67.86775030468243,0.7838106964112419,40,0,10048,0.7999601910828026,8038.0,8038.0,0.7999601910828026,8038
II,153,153,0,True,Huber Raw,Huber,71.4891345948437,1.059546409637509,40,0,10206,0.7724087862160126,7883.204072120625,8823.412749452093,,10206
II,153,153,0,True,Patch LS,Patch,36.205604304928045,0.7533877753885828,40,0,10206,1.0,10206.0,10206.0,1.0,10206
II,153,153,0,True,Patch+Huber,PatchHuber,14.72908536874017,0.8334085349868526,11,0,10206,0.7840059808169998,8001.5650402183,8943.87557792212,,10206
II,153,153,0,True,Patch+Trim,PatchTrim,17.00452076651679,1.9380321733768189,40,0,10206,0.8000195963158926,8165.0,8165.0,0.8000195963158926,8165
II,153,153,0,True,Raw LS,Raw,85.49786925839234,1.8597108433538767,40,0,10206,1.0,10206.0,10206.0,1.0,10206
II,153,153,0,True,Trim Raw,Trim,67.80261970661665,0.9725876706228176,40,0,10206,0.8000195963158926,8165.0,8165.0,0.8000195963158926,8165
II,154,154,0,True,Huber Raw,Huber,70.68019053986538,0.8772111997728103,40,0,10292,0.7702777099496498,7927.698190801796,8855.739757981853,,10292
II,154,154,0,True,Patch LS,Patch,34.60010282314159,1.1237441410718711,40,0,10292,1.0,10292.0,10292.0,1.0,10292
II,154,154,0,True,Patch+Huber,PatchHuber,15.847786383455388,1.2051668792253811,40,0,10292,0.7808789519292967,8036.806173256322,8975.490302606793,,10292
II,154,154,0,True,Patch+Trim,PatchTrim,16.40445048667951,1.9193551585457616,40,0,10292,0.8000388651379713,8234.0,8234.0,0.8000388651379713,8234
II,154,154,0,True,Raw LS,Raw,87.44289158567764,1.954397298694525,30,0,10292,1.0,10292.0,10292.0,1.0,10292
II,154,154,0,True,Trim Raw,Trim,66.45438405010837,0.8079292305926236,40,0,10292,0.8000388651379713,8234.0,8234.0,0.8000388651379713,8234
II,155,155,0,True,Huber Raw,Huber,71.48521484527377,1.1343696276879216,40,0,10409,0.7758293115818146,8075.607304255108,8996.044682013982,,10409
II,155,155,0,True,Patch LS,Patch,38.66879887719021,1.2470715712380296,40,0,10409,1.0,10409.0,10409.0,1.0,10409
II,155,155,0,True,Patch+Huber,PatchHuber,17.06033984620499,0.8364307494996608,40,0,10409,0.7826952450363954,8147.07480558384,9091.83631591531,,10409
