trajectory,block,n_frames,nearest_d,nearest_over_tau,ess_kernel,coverage,n_fallback,corr_full_median_mm,cos_pred_raw_t,raw_et_mm,patch_et_mm,full_et_mm,full_minus_patch_mm,full_minus_raw_mm,frac_full_beats_patch,frac_fallback_any
V,9,50.0,1.6121722604217512,3.6612772804347427,15.994398623960379,1.0,0.0,45.05513292144392,0.9767938284242791,167.14070503555632,123.97607876903616,102.11019204168826,23.16961964202147,65.11552871045785,0.98,0.0
V,10,50.0,1.4859737187008648,3.374677724686399,15.971412592775255,1.0,0.0,49.46134288177899,0.8821582999659383,168.96295423730055,120.50256853098193,117.70651054461173,6.792196622637768,51.33030989108812,0.58,0.0
V,11,50.0,1.5557003663795865,3.533028415399931,15.994378458070628,1.0,0.0,52.326996643662696,0.9615250289629969,170.67853674347379,123.59038564339926,100.16223080708687,24.822397910752464,73.3415461676114,0.92,0.0
V,12,50.0,1.7262755336083364,3.920408225680007,15.995392207852912,1.0,0.0,41.45482931599595,0.9286489822283337,172.83799019341944,127.72913933765642,125.18301605210948,7.487501350955611,50.933776595372066,0.58,0.0
V,13,50.0,1.6928973977671526,3.8446057736600094,15.995151502814394,1.0,0.0,54.50281534051162,0.9475806884961987,174.30873597797734,124.55927313928547,103.29187271529793,24.497350410796045,73.14660030285359,0.76,0.0
V,14,50.0,1.9620583420759288,4.45587596752892,15.997431012556184,1.0,0.0,40.212854437390504,0.9330405531837815,175.43128424497053,130.44361616992836,132.56479046632808,3.5356509076354143,45.49690982263381,0.56,0.0
V,15,50.0,1.913115842345251,4.344726516126787,15.997375575181934,1.0,0.0,54.578122994565,0.9404196555709792,175.95185884510704,129.96034498359242,103.54419390854895,25.330530189406417,72.15910144349687,0.88,0.0
V,16,50.0,2.0069863888139325,4.557908511329872,15.976879033582765,1.0,0.0,39.24155898264872,0.46057932833308574,178.7071564082866,135.089995682734,143.57687795102646,-7.297937012455563,37.05687278828587,0.18,0.0
V,17,50.0,2.172224243965411,4.9331671730659385,15.998398645222416,1.0,0.0,49.74118182917645,0.9460867304965339,180.39526434194084,138.58759877878992,123.82136816278843,17.66152912185008,59.082331537672786,0.98,0.0
V,18,50.0,2.1076286426967483,4.786469197206272,15.978290954343105,1.0,0.0,54.850043201013705,0.787288725688271,175.18980598901973,131.68039905721403,132.9319790465109,-0.6565203404808244,51.63461926744034,0.48,0.0
V,19,50.0,2.3803471575324098,5.405818708939279,15.998551264016976,1.0,0.0,37.36025264513604,0.936036019252745,173.73269269161779,136.25200347405138,132.75494391901069,6.734657563679633,39.18758109796285,0.6,0.0
V,20,50.0,2.3642952976400515,5.369364595830275,15.998926262842737,1.0,0.0,52.67578076054721,0.9426552265272499,171.048455143692,132.3115346310999,108.64210210516245,27.43241419775142,66.56020087931044,0.98,0.0
V,21,50.0,2.330602086190767,5.292846600444424,15.980505332326956,1.0,0.0,54.91842969899909,0.2944442009215012,174.02381339743982,134.93638520487175,142.05601281478738,-9.689226002177719,29.062430244533743,0.3,0.0
V,22,50.0,2.5908802402840214,5.883943789975417,15.99921900251304,1.0,0.0,38.59995300262092,0.9136635802977549,173.21669320036733,138.50746502337736,130.33629312243608,7.188719223743163,41.49082900881659,0.8,0.0
V,23,50.0,2.4655911999344715,5.599409731065809,15.998530520655887,1.0,0.0,54.76483348780037,0.9186069901312996,175.78921469497556,140.22233805754684,104.7403298757583,34.10138220816116,71.11450186672415,0.88,0.0
V,24,50.0,2.4511545177982663,5.566623720781575,15.981279537441317,1.0,0.0,44.91202228084031,0.0200340666965075,174.6033440425018,148.18358714176452,149.5268432832242,-4.5290695682876105,21.962631086602386,0.26,0.0
V,25,50.0,2.586745886090627,5.874554584213009,15.999251090692699,1.0,0.0,48.19474022180568,0.925169422540446,175.66954338954122,149.25080569599285,127.74463809117711,22.357025117592414,48.823237650314844,0.98,0.0
V,26,50.0,2.4305943132554937,5.519931061677111,15.990893144433894,1.0,0.0,54.9224861199944,0.8880962246691949,174.40871725736196,144.27193950215127,115.73105348322964,30.58710340046484,60.049590735428275,0.8,0.0
V,27,50.0,2.5508621521490285,5.793061865945317,15.993715276141401,1.0,0.0,39.90939941114285,-0.0527016459623164,177.60642049449132,153.85099834968517,155.86004463817875,-3.664433960143441,20.229085787025056,0.4,0.0
V,28,50.0,2.5514132734916184,5.794313474163573,15.999253279340536,1.0,0.0,52.13252622652283,0.9133479050847491,174.16688518264633,142.51404966451656,110.64997630436564,31.058622087161467,63.338762192217715,1.0,0.0
V,29,50.0,2.4339536805905264,5.527560255903026,15.981664852158415,1.0,0.0,54.942032679255426,0.5097155275815478,176.37096446789604,145.5988678514898,143.41993164889197,-1.4265307555807567,31.51763528246137,0.48,0.0
V,30,50.0,2.695085773766505,6.120596759140877,15.999345936896692,1.0,0.0,37.72591172293717,0.8443467464079819,175.39718894038606,150.46217726694906,143.8141349311632,10.325129766114188,30.89340022465936,0.74,0.0
V,31,50.0,2.6536695107631116,6.026539550430956,15.999384375522176,1.0,0.0,54.75731816413967,0.9131101950989883,176.1257254321529,147.51705146320083,104.27212281074515,40.66077994903823,71.11040537886637,0.98,0.0
V,32,50.0,2.6607819681644993,6.042692091527867,15.984704365653783,1.0,0.0,54.98269165199334,-0.1981248342870147,181.532312644248,155.4582247963742,157.5624336050755,-4.887275678967455,18.576498452419443,0.38,0.0
V,33,50.0,2.9067042042865063,6.601186687900382,15.99958661323576,1.0,0.0,36.22131448432408,0.8502598919200387,183.85056721892357,163.53150685262761,145.7276171646133,21.676793075794706,41.91007550437676,0.86,0.0
V,34,50.0,2.84363618622502,6.457957885793242,15.99678252684998,1.0,0.0,54.87411120649753,0.9068648230816192,182.98521058125402,158.23791626016666,113.81354487859798,40.931829174131785,66.72061350506718,1.0,0.0
V,35,50.0,2.953907240181279,6.708385780163553,15.989467459913168,1.0,0.0,43.32267992204713,-0.14061330115442655,181.18874998633572,165.00481461816472,166.19055998460192,-2.8006510052682074,13.17069149826844,0.38,0.0
V,36,50.0,3.0473401513995624,6.920573896462543,15.999684894436545,1.0,0.0,50.480333339409334,0.8720155553110187,183.7662181603203,163.89616508624798,129.71064472730072,31.7752780389107,50.137561871626644,1.0,0.0
