table,trajectory,method,block,n_frames,median_translation_mm,median_rotation_deg,axis,block_benefit
marginal,VI,Patch+Huber,5,83,106.93515606220498,4.247575098837055,both,
marginal,VI,Patch+Trim,0,70,80.15760640934818,5.129316275111723,both,
marginal,VI,Patch+Trim,1,70,83.36269037318849,5.096143780901682,both,
marginal,VI,Patch+Trim,2,79,94.08117441385964,4.598344897590456,both,
marginal,VI,Patch+Trim,3,96,98.98347413171929,4.044670003541772,both,
marginal,VI,Patch+Trim,4,103,101.57984382726724,3.932975491821847,both,
marginal,VI,Patch+Trim,5,83,101.25381264625402,4.593115342952655,both,
marginal,VI,Raw LS,0,70,151.2366843667386,4.830858011549058,both,
marginal,VI,Raw LS,1,70,151.7171962222667,4.98605656047063,both,
marginal,VI,Raw LS,2,79,165.48160584038175,4.65190744384812,both,
marginal,VI,Raw LS,3,96,168.3879374728596,4.177004632046296,both,
marginal,VI,Raw LS,4,103,164.1743308436783,3.8645555293233618,both,
marginal,VI,Raw LS,5,83,159.27083929792474,4.602200871581683,both,
marginal,VI,Trim Raw,0,70,126.36471818314675,4.3252362359183385,both,
marginal,VI,Trim Raw,1,70,128.2221615414623,4.238132836558908,both,
marginal,VI,Trim Raw,2,79,141.25769998186465,3.909126274598786,both,
marginal,VI,Trim Raw,3,96,147.5338419792232,3.374409933985076,both,
marginal,VI,Trim Raw,4,103,149.18695304959223,3.1898121199277725,both,
marginal,VI,Trim Raw,5,83,153.49609413685977,3.968738769753978,both,
paired,VI,Patch+Huber vs Patch LS,0,70,,,translation,20.069228124841096
paired,VI,Patch+Huber vs Patch LS,1,70,,,translation,20.81332884482758
paired,VI,Patch+Huber vs Patch LS,2,79,,,translation,19.1116070387163
paired,VI,Patch+Huber vs Patch LS,3,96,,,translation,16.61922921699717
paired,VI,Patch+Huber vs Patch LS,4,103,,,translation,12.032894327677198
paired,VI,Patch+Huber vs Patch LS,5,83,,,translation,7.513230829928617
paired,VI,Patch+Huber vs Patch LS,0,70,,,rotation,0.4491276367330559
