section,trajectory,method,arm,n,K,t_median,t_q25,t_q75,t_ci_lo,t_ci_hi,r_median,r_q25,r_q75,r_ci_lo,r_ci_hi,med_iters,on_bound_rate,med_wmean,med_ess_w,med_keep,comparison,axis,target,comparator,k_improved,n_negative,n_zero,median_block_benefit,q25,q75,ci_lo,ci_hi,sign_p,wilcoxon_p,median_frame_benefit
paired,VI,,,,6.0,,,,,,,,,,,,,,,,Patch+Huber vs Patch LS,translation,PatchHuber,Patch,6.0,0.0,0.0,17.865418127856735,13.17947805000719,19.8298228533099,9.773062578802907,20.44127848483434,0.03125,0.03125,16.179623129738175
paired,VI,,,,6.0,,,,,,,,,,,,,,,,Patch+Huber vs Patch LS,rotation,PatchHuber,Patch,6.0,0.0,0.0,0.42540395505047734,0.35274713810022085,0.4489996406713933,0.31046618550545624,0.5354299453232936,0.03125,0.03125,0.4242535522376265
paired,VI,,,,6.0,,,,,,,,,,,,,,,,Patch+Huber vs Huber Raw,translation,PatchHuber,Huber,6.0,0.0,0.0,45.059185958327475,42.712328250228076,47.02491343787136,42.025973483634324,47.85350161897931,0.03125,0.03125,45.3799532674704
paired,VI,,,,6.0,,,,,,,,,,,,,,,,Patch+Huber vs Huber Raw,rotation,PatchHuber,Huber,0.0,6.0,0.0,-0.43362947531751517,-0.5058794400522486,-0.2539007773909364,-0.6328883043491469,-0.19772322382714114,0.03125,0.03125,-0.421019787289143
paired,VI,,,,6.0,,,,,,,,,,,,,,,,Patch+Trim vs Patch LS,translation,PatchTrim,Patch,6.0,0.0,0.0,25.60710511998138,17.68641449563536,30.08711960247048,13.923104200549567,30.49436012838486,0.03125,0.03125,23.128783154944472
paired,VI,,,,6.0,,,,,,,,,,,,,,,,Patch+Trim vs Patch LS,rotation,PatchTrim,Patch,6.0,0.0,0.0,0.29135313018440234,0.19660145082904235,0.3934956341403879,0.14273072808421539,0.44910837211628896,0.03125,0.03125,0.2865536957549759
paired,VI,,,,6.0,,,,,,,,,,,,,,,,Patch+Trim vs Trim Raw,translation,PatchTrim,Trim,6.0,0.0,0.0,47.33414741078725,46.43584237903818,48.213450092064825,46.144258670887496,50.121935382139625,0.03125,0.03125,48.03366513725055
paired,VI,,,,6.0,,,,,,,,,,,,,,,,Patch+Trim vs Trim Raw,rotation,PatchTrim,Trim,0.0,6.0,0.0,-0.7685103456331323,-0.835928445486307,-0.7124362241885096,-0.905109876640372,-0.6850732887777335,0.03125,0.03125,-0.8201826879273915
paired,IV,,,,4.0,,,,,,,,,,,,,,,,Patch+Huber vs Patch LS,translation,PatchHuber,Patch,4.0,0.0,0.0,27.72657455817439,21.14214447691385,33.93007215283916,18.133112968935258,35.79630620103043,0.125,0.125,24.199135974861385
paired,IV,,,,4.0,,,,,,,,,,,,,,,,Patch+Huber vs Patch LS,rotation,PatchHuber,Patch,4.0,0.0,0.0,0.30411507054071396,0.21957879445019035,0.446965658039568,0.192423637703933,0.6490637490108166,0.125,0.125,0.4485617685062733
paired,IV,,,,4.0,,,,,,,,,,,,,,,,Patch+Huber vs Huber Raw,translation,PatchHuber,Huber,4.0,0.0,0.0,29.883063874452894,21.13175983691481,34.27935692392323,7.251000297428384,35.09508349920641,0.125,0.125,31.806695607959142
paired,IV,,,,4.0,,,,,,,,,,,,,,,,Patch+Huber vs Huber Raw,rotation,PatchHuber,Huber,1.0,3.0,0.0,-0.3175752610171855,-0.6112483492110772,0.039064397965264674,-0.6542790387426181,0.27099479986248065,0.625,0.375,-0.05219851842437362
paired,IV,,,,4.0,,,,,,,,,,,,,,,,Patch+Trim vs Patch LS,translation,PatchTrim,Patch,4.0,0.0,0.0,40.80204924737482,30.887743938929503,52.15287180328418,27.869365391106086,59.48080209349975,0.125,0.125,36.439552728215375
paired,IV,,,,4.0,,,,,,,,,,,,,,,,Patch+Trim vs Patch LS,rotation,PatchTrim,Patch,4.0,0.0,0.0,0.34562216014875125,0.2842059127324929,0.5503979770160271,0.260839948555023,1.0038426495465496,0.125,0.125,0.5014944258806486
paired,IV,,,,4.0,,,,,,,,,,,,,,,,Patch+Trim vs Trim Raw,translation,PatchTrim,Trim,4.0,0.0,0.0,38.78922890032706,32.58056433787239,39.06146122586328,14.32590025011369,39.50682860286665,0.125,0.125,38.8361284426794
paired,IV,,,,4.0,,,,,,,,,,,,,,,,Patch+Trim vs Trim Raw,rotation,PatchTrim,Trim,1.0,3.0,0.0,-0.5569957730688937,-0.8670247607773962,-0.11257340507469565,-0.9670748899897954,0.39065686499479035,0.625,0.375,-0.23060182274975682
paired,II,,,,9.0,,,,,,,,,,,,,,,,Patch+Huber vs Patch LS,translation,PatchHuber,Patch,7.0,2.0,0.0,3.9228243855402596,1.7301618938858816,16.117611052187414,-2.905289220524267,22.537108050496112,0.1796875,0.09765625,6.966115681752306
paired,II,,,,9.0,,,,,,,,,,,,,,,,Patch+Huber vs Patch LS,rotation,PatchHuber,Patch,5.0,4.0,0.0,0.11957475735517059,-0.885833808407412,0.40025069246730904,-1.1914100659387836,0.41888573625334863,1.0,0.65234375,0.08917469521907256
paired,II,,,,9.0,,,,,,,,,,,,,,,,Patch+Huber vs Huber Raw,translation,PatchHuber,Huber,8.0,1.0,0.0,3.9022966924017126,1.9474441806998026,10.82422742051192,0.9222831386045343,11.828102262771207,0.0390625,0.09765625,7.873511154948556
