geometry,dtype,family,mag,res_RMS_mm,rms_q25,rms_q75,translation_bias_mm,tb_q25,tb_q75,rotation_bias_deg,grad_total,n_rep,alpha,eta_t,eta_R,gt_norm,gr_norm,pjw_mm,pjw_t_mm,pjw_r_mm,re_rms_mm,re_et_mm,re_eR_deg,organization
GA,D1_appendage_disp,D1,100.0,71.50515708833905,71.49370547517269,77.93488502144798,80.72999486975826,80.718956911247,81.77653706653767,0.5246349696698357,0.1019468188339472,20,0.3551669316375199,0.9668365489170161,0.0005148545139828766,0.10190703817816799,3.096462292084545e-05,51.28477504441129,51.62534673994628,5.664407908062165,71.5086956885958,80.7649549080443,0.5246910540417665,coherent_extensive
GA,D2_missing_component,D2,0.0,3.4583052905508604,3.4554382977597506,3.4620749070578873,0.01431820857046575,0.011958698643106527,0.021076678149879076,0.0012123335868302,2.6461111240063872e-05,20,0.0,0.0045206247547247645,0.0055367310768321505,2.879057411479317e-05,3.0010311381512713e-05,0.023153634511010532,0.01500349981654522,0.023090094763131074,3.4586902342860784,0.01608854028500436,0.001374501642289225,localized_gross
GA,D2_missing_component,D2,0.25,36.73688198519235,36.72455792874088,39.998653410744,0.0166850166241031,0.0112450381889931,0.018485624266143474,0.0015324435866688,3.2606297496639776e-05,20,0.043137254901960784,0.0012799815219531184,0.0012695862101899527,2.999638760796048e-05,3.680221039263079e-05,0.02687498728754885,0.015879772980121706,0.02731979099799039,36.735851749717895,0.015907153995298247,0.0018592472151201045,localized_gross
GA,D2_missing_component,D2,0.5,98.65434432000234,98.6491596022247,107.5216171524763,0.06270682893824905,0.05916990105248843,0.07234559111712216,0.00432000035749765,0.0002055925644648,20,0.08627450980392157,0.001931375925526813,0.0020096640929244585,0.00014360776862638945,0.00017342385598366638,0.11410007543009336,0.07977804550129804,0.0909728137493364,98.65873633507178,0.06831157802001875,0.005176918496850138,localized_gross
GA,D2_missing_component,D2,0.75,165.7158184507125,165.70412561512038,180.62685801202707,0.0167861779837093,0.012658958118541026,0.02408248746732875,0.0015693984961418,4.290020303409064e-05,20,0.1293764352587882,0.0002444534905318266,0.00024963544876139816,3.52765335470076e-05,4.182409019775036e-05,0.03079083274512797,0.01820189012838419,0.03402154447767252,165.71091004794158,0.019784290430166693,0.0022002972853480043,localized_gross
GA,D2_missing_component,D2,0.9,217.5609738203761,217.53927995946205,237.14702497388322,0.017579143138981297,0.012981483490608774,0.021274431278128902,0.00135468108675025,3.308483057481709e-05,20,0.15523759053170819,0.00015530100812326557,0.00014281689405088154,3.16702674099008e-05,3.582321312951794e-05,0.02400022944039891,0.017040614807382334,0.025877304021720494,217.55525655136353,0.016413404329290015,0.001808775966747929,localized_gross
GA,D2_missing_component,D2,1.0,417.02582114864003,417.01623845965116,454.61347763782294,324.7052963979644,318.32393547907833,324.73850526254375,2.8412054604319863,0.4073463899304237,20,0.1724960254372019,0.9583080375589542,0.00031015340093553165,0.40732932280765183,5.441583256462444e-05,204.99441928454004,206.3409965482814,22.619239315278584,417.0207671954806,324.6873149030898,2.841499194083429,localized_gross
GA,D3_local_surface_off,D3,0.0,3.4578451901610405,3.454320081851596,3.4592037057437945,0.01628186857932435,0.008517459995404875,0.023644612055098848,0.00103704088113155,3.621239412116307e-05,20,0.0,0.004218752964119712,0.006014937544133693,2.6894253168285127e-05,3.142173577901256e-05,0.022845935965504237,0.013673211404211136,0.021726847245131287,3.4559678150197297,0.01476345204362229,0.0012862017749532349,localized_gross_small
GA,D3_local_surface_off,D3,2.0,3.4753230961840282,3.472756230415227,3.477845305001173,0.06041259208406695,0.05703755208184703,0.06503655336985954,0.00112222592697635,0.0001307018959961,20,0.03847376788553259,0.019173355860708754,0.005564829880751656,0.00012309306768243578,3.013648536484717e-05,0.06732435536289023,0.06330829648800881,0.03296732526687861,3.4728242226464703,0.06294813505725518,0.0013309002563678773,localized_gross_small
GA,D3_local_surface_off,D3,5.0,3.5611758640047193,3.555104775703517,3.5791846105601013,0.14495318505994295,0.13590969979767833,0.16542654727053088,0.00259435304361155,0.0003036222161162,20,0.03847376788553259,0.04481999114207016,0.010910264099957713,0.0002932737958913428,5.898536595328324e-05,0.15889129051271728,0.154225696217555,0.08933848544267017,3.560491573388445,0.15026057548788607,0.0019258972734200182,localized_gross_small
GA,D3_local_surface_off,D3,10.0,3.8524666782887387,3.847438186091839,3.9102616449494363,0.2937947036830061,0.28041697963373813,0.3344799244250514,0.0041529014606618495,0.0005996195775389501,20,0.03847376788553259,0.08584438956972498,0.02235571170523968,0.0005817086867198293,0.0001228826922416841,0.31773579554873355,0.3105597400325537,0.19335687361072995,3.8492604729434614,0.2911193993720667,0.0037545210003960897,localized_gross_small
GA,D3_local_surface_off,D3,25.0,5.393480025617897,5.389002842015789,5.675805957970434,0.5559651619393513,0.5430019065279235,0.6698244872670078,0.01082389565712015,0.001057244560486,20,0.03847376788553259,0.134184318706064,0.04924990764070254,0.0010212402143250257,0.00027250280623100805,0.5794779279261223,0.5562633814009654,0.42260368989039365,5.396513988242397,0.5613706068545443,0.010564041345335512,localized_gross_small
GA,D3_local_surface_off,D3,50.0,7.699460031403682,7.693107034660001,8.247279618453197,0.901318928291024,0.893309654943501,1.0878767424158935,0.0176022720562111,0.0018318857241737,20,0.03847376788553259,0.21770783204195196,0.07363937284165334,0.0017835415054760868,0.0004303137488018998,0.9942383894644964,0.9600441985339685,0.6906259739995886,7.6984865463101,0.9005892794683206,0.017032483084644636,localized_gross_small
GA,D3_local_surface_off,D3,100.0,14.50005421573673,14.489607140528468,15.714107729362683,2.3499286835345243,2.3392946971857715,12.839146001086577,0.030281781665367852,0.00441460327976985,20,0.03847376788553259,0.40394510604584855,0.12126174995127811,0.004343853405316414,0.0007875202722340545,2.3402497835772085,2.3032863735862925,1.3891868699266596,14.499832691745123,2.3602468163023493,0.029242403763962754,localized_gross_small
GA,D4_appendage_scale,D4,0.0,3.458658571919968,3.4542865212347365,3.465503036777165,0.0158716506845824,0.010489143329882626,0.022388670151017125,0.0011255681862388,3.2066499297773944e-05,20,0.0,0.00557688514756134,0.007088798214822988,3.548062231591637e-05,3.871925991408371e-05,0.02981857875782585,0.01919059139678625,0.023187469853174214,3.460299289778561,0.019318209106709353,0.0012843332119561587,low_projection_nuisance
GA,D4_appendage_scale,D4,0.005,3.717175756126769,3.7084781552196673,3.754219366455085,0.5774229995002036,0.5635629706101417,0.6913286842204869,0.00884304471833115,0.00031134904318475,20,0.17647058823529413,0.1405095321933142,0.0058589012822020765,0.0009558322665224716,3.426794311152681e-05,0.48553494310280754,0.492252129176893,0.14495994594120837,3.7139777242065204,0.5695150078268565,0.009637128217208288,low_projection_nuisance
GA,D4_appendage_scale,D4,0.01,3.93139285668682,3.9249150845118654,3.998589468967324,0.22821397882173589,0.2184016760554887,0.23723252117489668,0.00399764735846115,0.000159031955547,20,0.17647058823529413,0.04118599531343759,0.00486924544331193,0.000295236049929214,3.097731358193345e-05,0.15342269039437145,0.1531359033961615,0.056296553918309046,3.9256340432122045,0.22236311692897426,0.003517862567550761,low_projection_nuisance
GA,D4_appendage_scale,D4,0.025,4.1436887762182675,4.138956806930948,4.2450027863485955,0.19384337358809756,0.18789096486044662,0.23526300640392983,0.00282593106633145,0.00027653927105865,20,0.17647058823529413,0.03990427110061756,0.005564819951051465,0.00028799189812102343,3.7119103052572004e-05,0.14964012604121857,0.15070538326013538,0.06934936977674512,4.141304347652834,0.18705463606221795,0.002561750190535654,low_projection_nuisance
GA,D4_appendage_scale,D4,0.05,5.405068731212607,5.398978214664405,5.682749029502892,0.6190900067007652,0.6040059886568472,0.7596361395616362,0.00911193266648575,0.0008220067095304499,20,0.17647058823529413,0.1150968945529958,0.005276361188705366,0.000886803927292985,3.7534860848344265e-05,0.4508691811652539,0.45645260889588224,0.1512347568217368,5.396986097431199,0.6228693550964833,0.008984848397204202,low_projection_nuisance
GA,D4_appendage_scale,D4,0.1,10.408763350722435,10.399411743495236,11.243008043862543,1.8908795142658779,1.873178836881643,2.5367355989046745,0.02886459675434825,0.0026574109458403997,20,0.17647058823529413,0.2816425692816471,0.004128811664346806,0.002659453582342701,4.100029363866647e-05,1.3496930307943766,1.3685443860470752,0.3760877893294863,10.409801895525986,1.8910031764505153,0.02956447411978569,low_projection_nuisance
GA,D5_appendage_tilt,D5,0.0,3.460592167719382,3.4558723450443383,3.4664887933878683,0.015729098473766,0.011029674622603075,0.021114910157369174,0.00106183464880385,3.0148897576205977e-05,20,0.0,0.004113147855857878,0.004779965491963262,2.6198698254882014e-05,2.5648742221876427e-05,0.020776200973107603,0.013833405427528539,0.01618828353212535,3.459515177741908,0.014093505064834613,0.0009198224318518722,coherent_extensive_rot
GA,D5_appendage_tilt,D5,0.1,3.873285672305798,3.8669053815185856,3.9363689216983135,0.17955118716894436,0.17128225661282398,0.18740673669986227,0.08991237056010509,0.0010983607010799,20,0.3551669316375199,0.0043900037654417854,0.51116827677103,3.1643887082232474e-05,0.003321199805274481,1.5456212115498467,0.1589180118594452,1.4392277673334561,3.8697208224975714,0.17578227000650187,0.08980260644932991,coherent_extensive_rot
