section,trajectory,method,axis,n,K,median,q25,q75,ci_lo,ci_hi,target,comparator,k_improved,n_negative,n_zero,median_block_benefit,sign_p,wilcoxon_p,median_frame_benefit
paired,VI,Patch_vs_Trim,rotation,,6,,-1.124408629250925,-0.9339750582250238,-1.2578322555660755,-0.8033303262158558,Patch,Trim,0.0,6.0,0.0,-1.0761476946647726,0.03125,0.03125,-1.041573025345893
paired,VI,Patch_vs_Global,translation,,6,,33.21854243130759,42.29272922085775,31.741574396831208,43.62015028182131,Patch,Global,6.0,0.0,0.0,38.19035661403166,0.03125,0.03125,37.78964555678448
paired,VI,Patch_vs_Global,rotation,,6,,-0.48632748628850553,-0.015436901302745498,-0.633417140629448,0.09416395666941757,Patch,Global,2.0,4.0,0.0,-0.36646942924704673,0.6875,0.15625,-0.2810742906881174
paired,VI,Full_vs_Raw,translation,,6,,80.98012863112035,86.80426608072258,79.85334964778049,87.66374376100043,Full,Raw,6.0,0.0,0.0,84.4702304858236,0.03125,0.03125,83.05314334223371
paired,VI,Full_vs_Raw,rotation,,6,,1.4378833308024233,1.5764418075429076,1.4099791016716208,1.6285669611433287,Full,Raw,6.0,0.0,0.0,1.498724252766904,0.03125,0.03125,1.5180855903514914
paired,VI,Full_vs_Huber,translation,,6,,62.45657056387856,75.05206019917588,61.238224966906074,79.66881850364418,Full,Huber,6.0,0.0,0.0,69.334965379944,0.03125,0.03125,68.7270775813005
paired,VI,Full_vs_Huber,rotation,,6,,0.857804848571187,0.9718227262230179,0.7918043288084826,1.0586042800597815,Full,Huber,6.0,0.0,0.0,0.9389356967284305,0.03125,0.03125,0.9109616543294141
paired,VI,Full_vs_Trim,translation,,6,,55.72415142847938,70.49898712422518,54.25817400294839,77.52675311432404,Full,Trim,6.0,0.0,0.0,62.70810656202286,0.03125,0.03125,63.45957533546854
paired,VI,Full_vs_Trim,rotation,,6,,0.7518186084499087,0.9236848443891357,0.7113216456582474,0.9994947084163301,Full,Trim,6.0,0.0,0.0,0.8151182300884029,0.03125,0.03125,0.7918877214908968
paired,IV,Patch_vs_Raw,translation,,4,,24.25827425685236,36.85596767387307,19.274250017562153,37.29558918683602,Patch,Raw,4.0,0.0,0.0,31.31452141975059,0.125,0.125,33.630700956669884
paired,IV,Patch_vs_Raw,rotation,,4,,-0.06980270867184007,0.12700939060167393,-0.3077890143612585,0.24382332659129102,Patch,Raw,3.0,1.0,0.0,0.04879873591488382,0.625,0.875,0.005688574583138761
paired,IV,Patch_vs_Huber,translation,,4,,-15.47907405218767,14.272454833914965,-26.282996655607164,17.723945809080845,Patch,Huber,2.0,2.0,0.0,0.62209566223925,1.0,1.0,9.927292132129068
paired,IV,Patch_vs_Huber,rotation,,4,,-0.8650529023642705,-0.4276182913155827,-0.988268436937553,-0.36660213048164536,Patch,Huber,0.0,4.0,0.0,-0.6359690345500357,0.125,0.125,-0.5118511018726208
paired,IV,Patch_vs_Trim,translation,,4,,-25.571939898099707,7.82300494407982,-36.67399635968732,11.45802068304421,Patch,Trim,2.0,2.0,0.0,-7.629960689906074,1.0,0.625,3.514974054787217
paired,IV,Patch_vs_Trim,rotation,,4,,-1.3006590148103616,-0.6446336535291055,-1.4122715385230433,-0.6365289199063706,Patch,Trim,0.0,4.0,0.0,-0.955395035821409,0.125,0.125,-0.7453314927871479
paired,IV,Patch_vs_Global,translation,,4,,18.008726548941567,29.811447783511817,13.342348785420995,31.346013911834888,Patch,Global,4.0,0.0,0.0,24.43205577209294,0.125,0.125,26.16214859274467
paired,IV,Patch_vs_Global,rotation,,4,,-0.07537568212851486,0.11176439101592434,-0.31642676518945123,0.24958374840976116,Patch,Global,3.0,1.0,0.0,0.03539964205488799,0.625,0.875,0.0005981934371446229
paired,IV,Full_vs_Raw,translation,,4,,56.023411410053406,77.85099246221098,46.65035842891236,81.69814703610496,Full,Raw,4.0,0.0,0.0,67.85818500400671,0.125,0.125,74.44839356625735
paired,IV,Full_vs_Raw,rotation,,4,,1.369100761524723,1.6224833820283264,0.9006105073853088,1.7277317227033147,Full,Raw,4.0,0.0,0.0,1.5563323906872624,0.125,0.125,1.5645423374009777
paired,IV,Full_vs_Huber,translation,,4,,15.8008176885923,56.53809992445113,2.7504216555165115,62.005707546825384,Full,Huber,4.0,0.0,0.0,37.433256874971974,0.125,0.125,51.79740164001756
