trajectory,order,scan,method,block,in_support,translation_error_mm,rotation_error_deg
II,239,239,Huber,1,True,46.38044032807797,0.7457162232739315
II,239,239,Patch,1,True,35.45322070156229,1.2027663443767451
II,239,239,Raw,1,True,39.35043981151488,0.7722860695943401
II,239,239,Trim,1,True,48.30996385947045,0.7625632884064873
II,240,240,Full,1,True,29.174017499732383,1.1986851649939845
II,240,240,Global,1,True,22.408375159150616,0.4244554522112011
II,240,240,Huber,1,True,45.35734615467705,0.4403665908328915
II,240,240,Patch,1,True,29.06035753407092,0.7161177948987223
II,240,240,Raw,1,True,37.95789063624896,0.4203299473062112
II,240,240,Trim,1,True,49.22171424401223,0.5876475351831194
II,241,241,Full,1,True,39.83527496725115,1.0745700206817894
II,241,241,Global,1,True,26.142301525164427,0.8218822956058051
II,241,241,Huber,1,True,47.50381611906656,0.6289405478058936
II,241,241,Patch,1,True,30.71077091643448,0.930370250555658
II,241,241,Raw,1,True,41.00846349821661,0.8239722131200277
II,241,241,Trim,1,True,48.94222774511267,0.6552100705571231
II,242,242,Full,1,True,42.910590076482286,1.0140671832323112
II,242,242,Global,1,True,29.280916969676305,0.8329698219946514
II,242,242,Huber,1,True,47.600001561660434,0.6840427622721169
II,242,242,Patch,1,True,33.67353148059891,1.262409887838594
II,242,242,Raw,1,True,42.80941401226609,0.8350791353473936
II,242,242,Trim,1,True,48.82363839355328,0.752143476734231
II,243,243,Full,1,True,43.85818894195874,1.3554819213702392
II,243,243,Global,1,True,29.606851506373143,0.8687128123786367
II,243,243,Huber,1,True,47.072493598850336,0.7008645685082904
II,243,243,Patch,1,True,36.82865155989114,1.2216616490298464
II,243,243,Raw,1,True,43.90502465390969,0.8690558474166972
II,243,243,Trim,1,True,48.06493836599101,0.7264177414977647
II,244,244,Full,1,True,47.74356137950912,1.228959664795535
II,244,244,Global,1,True,30.10848487333968,0.8223707153344194
II,244,244,Huber,1,True,45.66657689856901,0.7967767370374784
II,244,244,Patch,1,True,40.08410049696312,1.2348943039676863
II,244,244,Raw,1,True,44.900674951654814,0.8211138447437031
II,244,244,Trim,1,True,46.106191842054194,0.7695384581841731
II,245,245,Full,1,True,48.9710879212093,1.1654006473741865
II,245,245,Global,1,True,30.56463946770408,1.0092690049463282
II,245,245,Huber,1,True,46.43352141282846,0.7226075282171556
II,245,245,Patch,1,True,37.45406282072099,1.1824148318703511
II,245,245,Raw,1,True,44.92741808349415,1.0111924277323168
II,245,245,Trim,1,True,46.81169756223182,0.7774473644802613
II,246,246,Full,1,True,49.28886565776226,1.0683216247830465
II,246,246,Global,1,True,30.71935228713901,0.8466197919291155
II,246,246,Huber,1,True,45.74410651128511,0.6868351884656602
II,246,246,Patch,1,True,37.824405748806335,0.9369316879310576
II,246,246,Raw,1,True,46.22815569961819,0.8460063482335448
II,246,246,Trim,1,True,46.05033416400278,0.6978997634035168
II,247,247,Full,1,True,49.56908851285362,1.0099137614059082
II,247,247,Global,1,True,30.57722088771834,0.9219540455690628
II,247,247,Huber,1,True,45.28511516696851,0.677487931695287
II,247,247,Patch,1,True,41.76834728839959,1.0950531498927167
II,247,247,Raw,1,True,45.92338505653436,0.9215123621457656
II,247,247,Trim,1,True,44.81432325567101,0.650412771455613
II,248,248,Full,1,True,51.04938996198708,1.0635378748621986
II,248,248,Global,1,True,34.031673076171764,1.025999949044084
II,248,248,Huber,1,True,46.01846284942158,0.7191110933266136
II,248,248,Patch,1,True,40.33202063839625,0.8738448387441973
II,248,248,Raw,1,True,49.16850207081666,1.0244359408918589
II,248,248,Trim,1,True,45.25692478850823,0.7279230021429365
II,249,249,Full,1,True,47.258017950875725,1.2487079188148411
II,249,249,Global,1,True,27.71824476959134,0.6957758400417481
II,249,249,Huber,1,True,43.524652023779154,0.801296696663313
II,249,249,Patch,1,True,36.59768864901912,1.0452335545080094
II,249,249,Raw,1,True,44.31331144956396,0.6960654229647203
II,249,249,Trim,1,True,43.56498002062759,0.8943765968688802
II,250,250,Full,1,True,40.092251162175366,0.9582313800962934
II,250,250,Global,1,True,22.546231458933203,0.9164816047563136
II,250,250,Huber,1,True,44.02021363030024,0.7505066472185358
II,250,250,Patch,1,True,29.805888990680547,0.6238006227560251
II,250,250,Raw,1,True,40.953714943583,0.9161343788178974
II,250,250,Trim,1,True,44.82032843748223,0.8300201717964537
II,251,251,Full,1,True,42.89561428155262,1.6211314787176525
II,251,251,Global,1,True,25.25655326563152,0.8409533428805376
II,251,251,Huber,1,True,45.401156080884185,0.7532826675303984
II,251,251,Patch,1,True,34.65897145240095,0.8758597130425284
II,251,251,Raw,1,True,42.2364681851086,0.843102250512516
