geometry,dtype,mag,form,n,et_med,et_lo,et_hi,eR_med,eR_lo,eR_hi,grad_med,grad_lo,grad_hi,on_bound
GA,D4_appendage_scale,0.0,huber,20,0.0158716506845824,0.01085476463764775,0.021223438032165448,0.0011255681862388,0.0009478016938215,0.0014390463091199998,1.6033249648886843e-05,1.1762778193537776e-05,1.88329416025356e-05,0.0
GA,D4_appendage_scale,0.0,ls,20,0.0158716506845824,0.01085476463764775,0.021223438032165448,0.0011255681862388,0.0009478016938215,0.0014390463091199998,3.2066499297773944e-05,2.3525556387075304e-05,3.766588320507074e-05,0.0
GA,D4_appendage_scale,0.0,trim,20,0.01623571743839415,0.0143548184647945,0.0225859356462366,0.0009716898704529,0.00079821476022365,0.0014787065903812,,,,0.0
GA,D4_appendage_scale,0.005,huber,20,0.5774229995002036,0.5659624663561937,0.6373158914812511,0.00884304471833115,0.008315330957945451,0.0108450104881862,0.00015567451965035,0.00014939943004005,0.0001648734389044,0.0
GA,D4_appendage_scale,0.005,ls,20,0.5774229995002036,0.5659624663561937,0.6373158914812511,0.00884304471833115,0.008315330957945451,0.0108450104881862,0.00031134904318475,0.00029879905395685,0.0003297468778088,0.0
GA,D4_appendage_scale,0.005,trim,20,0.426467887765119,0.41636612508483173,0.4745306995063092,0.007704505267335951,0.00617288145370375,0.009049806907114065,,,,0.0
GA,D4_appendage_scale,0.01,huber,20,0.22821397882173589,0.2226078699778625,0.23541422780161148,0.00399764735846115,0.00332492347746965,0.004695592437833472,7.946903490551023e-05,7.683878175899993e-05,8.226879624661333e-05,0.0
GA,D4_appendage_scale,0.01,ls,20,0.22821397882173589,0.2226078699778625,0.23541422780161148,0.00399764735846115,0.00332492347746965,0.004695592437833472,0.000159031955547,0.00015376951594945,0.00016462583549399498,0.0
GA,D4_appendage_scale,0.01,trim,20,0.1368167322282654,0.12815363818670886,0.15646582756099842,0.0027886104097534,0.00230631356065425,0.00319779358589455,,,,0.0
GA,D4_appendage_scale,0.025,huber,20,0.16173941022206315,0.15680090696111043,0.18427999962931255,0.0021481192023048,0.0013946289839194001,0.00247426527664255,0.00011372778356715001,0.00010991595173255001,0.0001206524878158,0.0
