geometry,dtype,mag,unit,rep,kind,form,grad_gt,et_mm,eR_deg,J0,Jstar,dJ,on_bound,n_obs,condition
GA,D3_local_surface_off,50.0,mm,11,p2p,ls,0.0021833990973863923,1.105580339132971,0.0359077227112937,6.845491421055297e-05,6.716323289623026e-05,1.2916813143227065e-06,0,32274,structured
GA,D3_local_surface_off,50.0,mm,11,p2p,huber,0.00038652513012213315,0.39584304401895276,0.01186934979864927,2.2390252307196492e-05,3.242530280763247e-05,-1.0035050500435981e-05,0,32274,structured
GA,D3_local_surface_off,50.0,mm,11,p2p,trim,,0.011182711034441135,0.0009481977569479024,8.40181589963738e-06,8.40148059119642e-06,3.35308440960682e-10,0,32274,structured
GA,D3_local_surface_off,50.0,mm,11,p2l,ls,0.0018840423635671185,6.028704807007347,0.9279077359173726,5.675483120365458e-05,4.9407521610721714e-05,7.347309592932863e-06,0,32274,structured
GA,D3_local_surface_off,50.0,mm,12,p2p,ls,0.001810214861135772,0.8889805252276554,0.016748493304117065,5.911212040382084e-05,5.827290202007914e-05,8.392183837416966e-07,0,38358,structured
GA,D3_local_surface_off,50.0,mm,12,p2p,huber,0.0003129353993200823,0.31627207332076945,0.0047013320573952196,1.9706307052447715e-05,2.9033774038181808e-05,-9.327466985734093e-06,0,38358,structured
GA,D3_local_surface_off,50.0,mm,12,p2p,trim,,0.023061775175428782,0.001413649136716976,8.295496801731494e-06,8.294716716168147e-06,7.800855633469241e-10,0,38358,structured
GA,D3_local_surface_off,50.0,mm,12,p2l,ls,0.0015612469267838784,5.442743582764387,0.44971882068051366,4.822491466319391e-05,4.314837396040531e-05,5.076540702788604e-06,0,38358,structured
GA,D3_local_surface_off,50.0,mm,13,p2p,ls,0.0018356615865727855,0.910979873729322,0.015811296567845738,5.9340449649581564e-05,5.847298767323064e-05,8.674619763509222e-07,0,38358,structured
GA,D3_local_surface_off,50.0,mm,13,p2p,huber,0.00032378177618823904,0.33130699307150463,0.0036036022855413232,1.975605014262773e-05,2.909077070394409e-05,-9.33472056131636e-06,0,38358,structured
GA,D3_local_surface_off,50.0,mm,13,p2p,trim,,0.018353833769389687,0.0015158450558627986,8.293846140405522e-06,8.293361942388202e-06,4.841980173200203e-10,0,38358,structured
GA,D3_local_surface_off,50.0,mm,13,p2l,ls,0.0015692878751805577,5.464065684995319,0.4512895914093954,4.85406055090822e-05,4.304204385431565e-05,5.498561654766546e-06,0,38358,structured
GA,D3_local_surface_off,50.0,mm,14,p2p,ls,0.002156005569538622,1.0980659972632174,0.0335359601984144,6.817879609892532e-05,6.691975594016248e-05,1.25904015876284e-06,0,32274,structured
GA,D3_local_surface_off,50.0,mm,14,p2p,huber,0.00037421515821311585,0.3880105428319026,0.009803818851527661,2.233660598646442e-05,3.2355680294125494e-05,-1.0019074307661075e-05,0,32274,structured
GA,D3_local_surface_off,50.0,mm,14,p2p,trim,,0.03480944029329377,0.0017475242196120133,8.353070135961728e-06,8.35123345738019e-06,1.8366785815389288e-09,0,32274,structured
GA,D3_local_surface_off,50.0,mm,14,p2l,ls,0.0018707162523828097,6.189793312631979,0.9313661005595264,5.644052056493289e-05,4.9203779095839576e-05,7.236741469093314e-06,0,32274,structured
GA,D3_local_surface_off,50.0,mm,15,p2p,ls,0.00182084790264418,0.8969270062014578,0.015987765832489797,5.9116269679974317e-05,5.8277077505430755e-05,8.391921745435615e-07,0,38358,structured
GA,D3_local_surface_off,50.0,mm,15,p2p,huber,0.0003207450798188594,0.3217951813896099,0.004439277385269755,1.973411887260675e-05,2.9092979555331466e-05,-9.358860682724717e-06,0,38358,structured
GA,D3_local_surface_off,50.0,mm,15,p2p,trim,,0.005422202361940662,0.0028102542952514005,8.309216219409843e-06,8.308140393696457e-06,1.075825713386133e-09,0,38358,structured
GA,D3_local_surface_off,50.0,mm,15,p2l,ls,0.001597425143449857,5.485150775640775,0.4575580024686083,4.791162213063115e-05,4.2871274149572784e-05,5.040347981058369e-06,0,38358,structured
GA,D3_local_surface_off,50.0,mm,16,p2p,ls,0.0018216924745527324,0.895793151924257,0.016058534489906448,5.921474769587314e-05,5.837480313858779e-05,8.399445572853501e-07,0,38358,structured
GA,D3_local_surface_off,50.0,mm,16,p2p,huber,0.00031788422078978955,0.31341384041707065,0.004161113148698191,1.9712829177980204e-05,2.9018469482672017e-05,-9.305640304691812e-06,0,38358,structured
GA,D3_local_surface_off,50.0,mm,16,p2p,trim,,0.013145022891326151,0.001224185007874781,8.274568929539641e-06,8.274020140363114e-06,5.487891765268438e-10,0,38358,structured
GA,D3_local_surface_off,50.0,mm,16,p2l,ls,0.0015891056295521228,5.479596767888706,0.45898026095185435,4.822781785138756e-05,4.320367134301667e-05,5.02414650837089e-06,0,38358,structured
GA,D3_local_surface_off,50.0,mm,17,p2p,ls,0.0021723038597511084,1.0944740097454861,0.03383650187140639,6.821223695306586e-05,6.695390512046788e-05,1.2583318325979736e-06,0,32274,structured
GA,D3_local_surface_off,50.0,mm,17,p2p,huber,0.0003820065517212054,0.3887380997871857,0.010371170181981335,2.232925035210769e-05,3.232568587870811e-05,-9.996435526600421e-06,0,32274,structured
GA,D3_local_surface_off,50.0,mm,17,p2p,trim,,0.016542136259986708,0.0015909789269496597,8.350953190996966e-06,8.3502227006439e-06,7.304903530654723e-10,0,32274,structured
GA,D3_local_surface_off,50.0,mm,17,p2l,ls,0.0018770384995327183,6.029787769059464,0.9208114288257647,5.654114858828579e-05,4.935012652069334e-05,7.1910220675924495e-06,0,32274,structured
GA,D3_local_surface_off,50.0,mm,18,p2p,ls,0.0018518602782656322,0.9038368862686723,0.018666861665801122,5.934549126193616e-05,5.847097377257521e-05,8.745174893609522e-07,0,38358,structured
GA,D3_local_surface_off,50.0,mm,18,p2p,huber,0.0003327659757009933,0.3283409112153952,0.006944426761567781,1.977688950927514e-05,2.9145719232711175e-05,-9.368829723436034e-06,0,38358,structured
