scan,fold,eR_deg_Huber,eR_deg_PatchFullFit,eR_deg_PatchHuberOOF,eR_deg_PatchOOF,eR_deg_Raw,et_mm_Huber,et_mm_PatchFullFit,et_mm_PatchHuberOOF,et_mm_PatchOOF,et_mm_Raw,iters_Huber,iters_PatchFullFit,iters_PatchHuberOOF,iters_PatchOOF,iters_Raw,on_bound_Huber,on_bound_PatchFullFit,on_bound_PatchHuberOOF,on_bound_PatchOOF,on_bound_Raw,benefit_oof,benefit_fullfit,benefit_ph,rot_change_oof,oof_minus_fullfit_error
308,3,3.284059460484696,4.967276224802801,4.548788122799016,4.878175804462185,3.8948515832069375,156.8262192957856,126.10511825872535,114.27282859639575,126.63710666793868,168.59092057530876,40.0,36.0,40.0,34.0,40.0,0.0,0.0,0.0,0.0,0.0,41.953813907370076,42.4858023165834,42.55339069938984,-0.9833242212552471,0.5319884092133265
309,3,4.109867394229468,5.106482390542901,4.988440199352971,5.049268605829252,4.574058985511761,161.27879446248835,132.53289000463974,119.69854962408078,132.7896825689206,174.3921906232281,40.0,40.0,40.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,41.60250805430749,41.85930061858835,41.580244838407566,-0.47520962031749114,0.2567925642808575
310,3,4.756387068029556,5.694367469882638,5.454151959355002,5.62717729539435,5.361564184275831,161.63383074018242,129.2851678245824,120.56236071183748,129.94269268707032,174.0074545379087,40.0,31.0,40.0,35.0,38.0,0.0,0.0,0.0,0.0,0.0,44.06476185083838,44.7222867133263,41.07147002834493,-0.2656131111185198,0.657524862487918
311,3,3.688576772208984,4.447970756936301,4.227332715237504,4.370128415036198,4.1414772378422,159.42116135974567,127.30320036949684,118.22742647760369,127.78455976306164,172.592187034783,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,44.80762727172136,45.28898666528616,41.19373488214198,-0.2286511771939974,0.4813593935648015
312,3,4.642570888500007,5.434181244442554,4.846742707624738,5.371189910877371,4.723690270889762,158.68028400179335,126.40922151445336,119.50404093389372,126.59071350839584,171.88605070046552,40.0,31.0,40.0,31.0,35.0,0.0,0.0,0.0,0.0,0.0,45.29533719206968,45.476829186012154,39.176243067899634,-0.6474996399876094,0.18149199394247262
313,3,3.538771333812304,3.950514039833324,3.722270860098584,3.901244527849602,3.79174452535588,154.56520269248608,124.27491884981656,117.45129327797709,124.11249144100913,165.0725285519483,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40.96003711093917,40.79760970213174,37.113909414508996,-0.10950000249372183,-0.16242740880743156
314,3,3.329901824509544,3.761398697804496,3.885077298154642,3.675549904793313,3.852061459668053,158.53563902168074,131.06146661339312,113.93200221579023,131.03733287041337,170.51316487948654,40.0,40.0,21.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,39.47583200907317,39.451698266093416,44.6036368058905,0.17651155487474002,-0.02413374297975679
315,4,3.3281820012499224,3.538524056471815,3.05965988470184,3.7235983096357543,4.321842621350403,161.32733384595838,135.4000724806328,121.82226984298964,133.36725044166408,174.7263179279266,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,41.35906748626252,39.326245447293815,39.50506400296874,0.598244311714649,-2.0328220389687033
316,4,4.938211935235288,5.734590682119768,5.104903369469884,5.763870733479828,5.800503391430165,166.2483412260992,139.4561465812657,124.61269941545186,138.05190909048318,180.8345412964696,32.0,30.0,40.0,32.0,30.0,0.0,0.0,0.0,0.0,0.0,42.78263220598643,41.37839471520391,41.63564181064734,0.03663265795033688,-1.4042374907825206
317,4,4.672347531242207,4.773802547716223,4.445440323096292,4.934991680046737,5.455316489172315,165.66429029133815,141.44553120132565,124.66584569677909,140.52839557071846,181.7616946850981,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,41.23329911437963,40.31616348377244,40.99844459455906,0.5203248091255777,-0.9171356306071914
