scan,fold,method,et_mm,eR_deg,iters,on_bound
15,0,PatchOOF,126.39217255640008,5.67463144593122,40,0
15,0,PatchHuberOOF,105.83481965747573,5.983928075948834,40,0
15,0,PatchFullFit,124.97331691159606,5.62230094319518,40,0
16,0,Raw,156.15726873046648,5.940196495100716,40,0
16,0,Huber,133.11218539670466,5.562687008736858,40,0
16,0,PatchOOF,122.74942731939915,6.607363178447665,40,0
16,0,PatchHuberOOF,103.23174515849006,6.690272583125072,40,0
16,0,PatchFullFit,121.86514212780946,6.59114282379671,40,0
17,0,Raw,151.3464905926848,4.078496399957601,24,0
17,0,Huber,129.38906380677898,3.970275346626495,40,0
17,0,PatchOOF,119.22404496762428,5.842389650432358,40,0
17,0,PatchHuberOOF,97.10410676276302,5.597895300538554,40,0
17,0,PatchFullFit,118.38797900301098,5.752325799801375,40,0
18,0,Raw,146.08169726687532,4.456519337665111,29,0
18,0,Huber,125.42467638217167,4.109190301006953,40,0
18,0,PatchOOF,116.64707889800805,5.51235813759901,27,0
18,0,PatchHuberOOF,88.7042101988713,4.8274245313066055,40,0
18,0,PatchFullFit,116.03671318253521,5.521441798344215,30,0
19,0,Raw,148.62554572919302,5.469626925583501,40,0
19,0,Huber,129.228603987643,4.709139594578355,40,0
19,0,PatchOOF,114.17519802860876,6.121063112523554,40,0
19,0,PatchHuberOOF,87.52829888365292,5.508826417493297,40,0
19,0,PatchFullFit,113.16367839982114,6.0964822310448605,40,0
20,0,Raw,158.3950859458633,6.336142827199101,40,0
20,0,Huber,135.69837415684344,5.373611520676767,40,0
20,0,PatchOOF,116.72045901909952,5.82638660979332,40,0
20,0,PatchHuberOOF,94.62164844983313,5.4752096556777445,40,0
20,0,PatchFullFit,116.4829812239137,5.901642777317471,40,0
21,0,Raw,156.29876363566726,6.249994648290088,40,0
21,0,Huber,139.66155574094984,5.777291316453333,40,0
21,0,PatchOOF,113.08324904942725,5.429704284004952,40,0
21,0,PatchHuberOOF,91.03026022316138,4.483248642170155,40,0
21,0,PatchFullFit,112.59532936484356,5.405327827005857,40,0
22,0,Raw,149.4569197631465,3.820962892828501,30,0
22,0,Huber,132.18979623858544,3.7456418174150206,40,0
22,0,PatchOOF,104.43305205413427,4.415480628921883,33,0
22,0,PatchHuberOOF,77.60020041175599,3.661574356387641,40,0
22,0,PatchFullFit,104.15326676880017,4.47216168853373,40,0
23,0,Raw,138.51690381793904,4.124843338751022,36,0
23,0,Huber,125.51429391511077,4.081024570013564,40,0
23,0,PatchOOF,89.15412329052143,4.495830323856798,40,0
23,0,PatchHuberOOF,65.36083147264401,3.904134405951373,40,0
23,0,PatchFullFit,88.9037051283268,4.437350262247826,40,0
24,0,Raw,136.66836451021706,4.590854467131406,40,0
24,0,Huber,122.52332998373515,4.133471648659319,31,0
24,0,PatchOOF,86.83492164065085,4.5104610571802,33,0
24,0,PatchHuberOOF,62.86227351712311,4.124643815268239,40,0
24,0,PatchFullFit,86.64287307149752,4.495310873554623,34,0
25,0,Raw,148.95619195369554,5.5518306878482555,40,0
25,0,Huber,128.3498809126856,4.957354244588723,40,0
25,0,PatchOOF,101.58170919318714,5.039213962171502,40,0
25,0,PatchHuberOOF,72.80419190786195,4.576321992713314,40,0
25,0,PatchFullFit,101.45842800479842,5.048258954951448,40,0
26,0,Raw,153.02759628245957,4.624442332102668,36,0
26,0,Huber,133.84608499099338,3.6678973050625965,40,0
