scan,fold,method,et_mm,eR_deg,iters,on_bound
82,1,PatchHuberOOF,90.66651967931573,5.35288696440262,29,0
82,1,PatchFullFit,111.79077545288837,6.132534408084633,34,0
83,1,Raw,144.65174663817623,5.649596869312742,38,0
83,1,Huber,128.66120762809365,4.5389395384801325,40,0
83,1,PatchOOF,108.49340800574923,6.938380567596576,40,0
83,1,PatchHuberOOF,90.94439210828853,6.29990838556516,40,0
83,1,PatchFullFit,107.445883050957,6.853670916129637,40,0
84,1,Raw,149.36010390970475,6.299356826351561,40,0
84,1,Huber,134.04813931753344,5.3193451516535974,40,0
84,1,PatchOOF,111.18037862415022,7.291502945831615,40,0
84,1,PatchHuberOOF,99.59900572056794,6.448609082248539,34,0
84,1,PatchFullFit,109.78683919563369,7.200840926577611,40,0
85,1,Raw,160.24068067590756,4.540357838370869,20,0
85,1,Huber,139.97169902284722,3.8364834762667424,40,0
85,1,PatchOOF,123.52907698304384,5.5931752726185895,23,0
85,1,PatchHuberOOF,106.77508546337408,4.955772400418515,40,0
85,1,PatchFullFit,122.31580547928814,5.541166583427354,23,0
86,1,Raw,159.12579005109154,4.535688063703423,37,0
86,1,Huber,140.08189762041815,4.370710291164661,40,0
86,1,PatchOOF,122.42069522104578,5.634073445716319,40,0
86,1,PatchHuberOOF,107.64234102791843,5.311944798355111,40,0
86,1,PatchFullFit,120.98600325813612,5.638555928165458,40,0
87,1,Raw,148.6976320882904,5.521914262828671,40,0
87,1,Huber,133.63885798345285,5.243249326215245,40,0
87,1,PatchOOF,113.10215105964492,6.872678548224768,40,0
87,1,PatchHuberOOF,100.53525379089648,6.14246497669153,40,0
87,1,PatchFullFit,111.99604175914133,6.825601637842906,40,0
88,1,Raw,140.17590728802492,4.363672875273591,24,0
88,1,Huber,128.94321519739523,4.011116053655111,40,0
88,1,PatchOOF,104.18390012053459,5.404408810521572,33,0
88,1,PatchHuberOOF,92.91025302081636,5.5184722288019525,39,0
88,1,PatchFullFit,103.28622424567078,5.366426508088112,33,0
89,1,Raw,153.4255241375386,5.068971014492792,31,0
89,1,Huber,136.13694074246564,4.4026213787613555,40,0
89,1,PatchOOF,116.57460155177874,5.916359477142207,40,0
