trajectory,method,level,n,et_med,et_iqr,et_p25,et_p75,eR_med,eR_iqr,captureA_rate,captureB_rate,safeguard_rate,itercap_rate,numfail_rate,solvervalid_rate,posthoc,PatchRaw_gain_t_med,PatchRaw_frac_pos,PHHuber_gain_t_med,PHHuber_frac_pos
VI,PatchHuber,L4,80,102.22684535685488,23.063498038341635,85.4201848001898,108.48368283853144,3.8832362089641017,2.0425640713330244,0.325,0.0,0.0,0.9375,0.0,1.0,0,44.704108953043146,1.0,49.920878820568674,1.0
VI,PatchHuber,L5,80,100.97723651705755,21.69951247905726,85.28383372710027,106.98334620615753,3.8487694869678215,2.5931741474538685,0.975,0.0,0.025,0.9125,0.0,0.975,0,44.49125974957186,0.975,50.236457390545674,1.0
VI,PatchHuber,L6,80,106.83081544180033,153.82670511206663,92.48374884058828,246.3104539526549,5.539948458703163,11.760507393247735,0.6375,0.0,0.4125,0.5875,0.0,0.5875,0,45.80895724725704,0.9,42.79518481229089,0.825
VI,Raw,L0,20,160.58248093477386,13.834378534159242,154.0698219238603,167.90420045801955,4.364959245229596,0.8898555368844496,0.0,0.0,0.0,0.6,0.0,1.0,0,45.12091924579405,1.0,50.10325802351519,1.0
VI,Raw,L1,80,160.54725822754935,13.953447861757411,153.92789662739037,167.88134448914778,4.342932542981349,0.989604747624226,0.0,0.0,0.0,0.6125,0.0,1.0,0,45.03718292788016,1.0,50.04269763764345,1.0
VI,Raw,L2,80,160.70589467538008,14.077663691369992,153.813249241035,167.890912932405,4.403176667248785,1.1095813175417786,0.0,0.0,0.0,0.65,0.0,1.0,0,44.74208959866649,1.0,49.963770863159574,1.0
VI,Raw,L3,80,160.79194708115256,14.085678179129644,153.82510352740803,167.91078170653768,4.381227503126233,1.0967455778492465,0.0,0.0,0.0,0.725,0.0,1.0,0,44.58386489637318,1.0,49.914346394248085,1.0
VI,Raw,L4,80,160.89049921307125,14.070665998267515,153.66946767560367,167.74013367387118,4.325786101391158,1.1900318071130305,0.0,0.0,0.0,0.85,0.0,1.0,0,44.704108953043146,1.0,49.920878820568674,1.0
VI,Raw,L5,80,160.09252694397742,14.35448949408098,153.05410845039754,167.40859794447852,4.142854662406912,1.9700824477354288,0.975,0.0,0.025,0.9125,0.0,0.975,0,44.49125974957186,0.975,50.236457390545674,1.0
VI,Raw,L6,80,162.4544952228194,44.09907716026049,153.1745384890972,197.27361564935768,4.741583059706718,11.217364214983162,0.7625,0.0,0.35,0.6125,0.0,0.65,0,45.80895724725704,0.9,42.79518481229089,0.825
