trajectory,method,level,n,et_med,et_iqr,et_p25,et_p75,eR_med,eR_iqr,captureA_rate,captureB_rate,safeguard_rate,itercap_rate,numfail_rate,solvervalid_rate,posthoc,PatchRaw_gain_t_med,PatchRaw_frac_pos,PHHuber_gain_t_med,PHHuber_frac_pos
II,Patch,L3,80,49.56523225130361,37.15122509377121,34.600846162901654,71.75207125667286,1.689359742447309,1.5633420242533451,0.4,0.4,0.0,0.6875,0.0,1.0,0,9.628192796976332,0.85,2.769135043234174,0.5875
II,Patch,L4,80,51.22056404963794,37.26399658079959,34.49042976086164,71.75442634166123,1.8780841444427885,1.429365449347043,0.9,0.375,0.0,0.8875,0.0,1.0,0,10.729116491597914,0.8625,2.6147489733995712,0.575
II,Patch,L5,80,49.84769285759157,38.278409255028215,34.092263435490885,72.3706726905191,2.1601835444041266,1.1280396273693873,0.95,0.3,0.0,0.95,0.0,1.0,0,10.830508180026015,0.825,3.0899091391211275,0.6125
II,Patch,L6,80,58.17884964000894,45.29661763002776,34.36989284733799,79.66651047736575,2.6871633021816415,2.502264609590981,0.925,0.2,0.1,0.8875,0.0,0.9,0,10.743715886111154,0.85,3.2311931820760833,0.6
II,PatchHuber,L0,20,31.537484196023943,18.221613726450613,22.82650167822412,41.04811540467473,1.2066247996226371,0.8987435511290505,0.0,0.75,0.0,0.8,0.0,1.0,0,9.622765707752578,0.85,6.085376742983261,0.55
II,PatchHuber,L1,80,32.05269439429067,21.460184560765462,20.776100280882538,42.236284841648,1.2553355553048324,0.9144666981721565,0.0,0.725,0.0,0.7375,0.0,1.0,0,9.636547898022307,0.85,6.258418734245961,0.6125
II,PatchHuber,L2,80,32.254438161135795,21.045389364149948,21.59033186849249,42.63572123264244,1.4067396168834345,0.9572304277996839,0.2,0.7,0.0,0.8625,0.0,1.0,0,9.707299736291787,0.85,3.534565853995119,0.5625
II,PatchHuber,L3,80,33.32552660735445,20.26289896682561,22.194754237319763,42.45765320414537,1.7071188384315428,0.9055405654952664,0.65,0.65,0.0,0.875,0.0,1.0,0,9.628192796976332,0.85,2.769135043234174,0.5875
II,PatchHuber,L4,80,37.85725228710757,17.625778252982926,26.771235337502418,44.397013590485344,2.030930139379457,1.1472823380363493,0.9875,0.425,0.0,0.9875,0.0,1.0,0,10.729116491597914,0.8625,2.6147489733995712,0.575
II,PatchHuber,L5,80,41.42403789064053,17.88707886141453,30.56617014777286,48.45324900918739,2.914017620338625,2.1907357903499176,1.0,0.1875,0.0,0.975,0.0,1.0,0,10.830508180026015,0.825,3.0899091391211275,0.6125
II,PatchHuber,L6,80,46.72062482384242,43.46350913603015,34.537965128318454,78.0014742643486,4.434362193529454,5.456217342684333,0.8875,0.075,0.15,0.8375,0.0,0.85,0,10.743715886111154,0.85,3.2311931820760833,0.6
II,Raw,L0,20,60.58902608320048,48.15225292580423,35.30193202044472,83.45418494624894,1.62967165961054,1.2551461944668216,0.0,0.35,0.0,0.65,0.0,1.0,0,9.622765707752578,0.85,6.085376742983261,0.55
II,Raw,L1,80,60.56443435723048,48.64243860179046,34.81562880428035,83.45806740607081,1.6363836977253126,1.2979076588407925,0.0,0.35,0.0,0.725,0.0,1.0,0,9.636547898022307,0.85,6.258418734245961,0.6125
II,Raw,L2,80,60.52266088748226,49.6786903537953,33.84562018530924,83.52431053910453,1.6424489014450352,1.33320043333774,0.05,0.35,0.0,0.725,0.0,1.0,0,9.707299736291787,0.85,3.534565853995119,0.5625
II,Raw,L3,80,60.19470847274306,50.0040234079535,33.52294371510297,83.52696712305647,1.6296067221225234,1.4197022599082803,0.35,0.35,0.0,0.775,0.0,1.0,0,9.628192796976332,0.85,2.769135043234174,0.5875
II,Raw,L4,80,57.97638575713381,50.02120166441305,33.43758560064571,83.45878726505876,1.8017650402966967,1.461757680533965,0.8,0.3,0.0,0.975,0.0,1.0,0,10.729116491597914,0.8625,2.6147489733995712,0.575
II,Raw,L5,80,57.650304749501096,49.430479067645905,33.930223994639135,83.36070306228504,2.3979654640226338,1.4557111504851936,0.95,0.15,0.0,0.975,0.0,1.0,0,10.830508180026015,0.825,3.0899091391211275,0.6125
II,Raw,L6,80,65.17484355525366,54.828651156437786,41.20576254062706,96.03441369706485,3.2364172809093965,3.102270430529755,0.9125,0.1,0.125,0.8375,0.0,0.875,0,10.743715886111154,0.85,3.2311931820760833,0.6
III,Huber,L0,20,30.00876815820626,42.99714451635414,15.40486827453335,58.40201279088749,0.8996013210615623,0.30134362356693667,0.0,0.7,0.0,0.65,0.0,1.0,1,7.604031927956303,0.7,1.867923774001655,0.5
III,Huber,L1,80,29.83599955293341,43.183259918017065,15.199964374815485,58.38322429283255,0.9295562712158978,0.3817119057633236,0.0,0.7,0.0,0.6,0.0,1.0,1,7.836170918435869,0.675,1.9121579158384918,0.5
III,Huber,L2,80,29.439789639669243,42.44411352341079,15.985333886858003,58.42944741026879,0.9678761556610083,0.41098999512884227,0.35,0.7,0.0,0.75,0.0,1.0,1,8.050445200177446,0.6625,2.1096323074190497,0.5
III,Huber,L3,80,28.945344228014214,41.85766440841102,16.820843089899363,58.67850749831038,0.9909720834781558,0.5196266307043425,0.7,0.7,0.0,0.8875,0.0,1.0,1,8.449216866556913,0.6625,1.5349065275771867,0.5125
