trajectory,frame_id,method,perturbation_level,direction_id,translation_init_mm,rotation_init_deg,final_translation_error_mm,final_rotation_error_deg,iterations,termination_reason,hit_iteration_cap,hit_translation_boundary,hit_rotation_boundary,final_objective,ref_translation_error_mm,ref_rotation_error_deg,delta_init_t_mm,delta_init_r_deg,posthoc,safeguard,numerical_failure,solver_valid,capture_A,capture_B
II,321,Huber,L5,v4,200.0,10.0,63.72691371773954,1.485120272129113,40,cap,1,0,0,0.0014377220649129,62.4010191646098,1.0645988586988189,1.3258945531297428,0.4205214134302943,0,0,0,1,True,False
II,321,Huber,L6,v1,300.0,15.0,71.18253165698698,8.155844696823216,40,cap,1,0,0,0.0019539459056635,62.4010191646098,1.0645988586988189,8.781512492377182,7.091245838124397,0,0,0,1,True,False
II,321,Huber,L6,v2,300.0,15.0,58.93773208823188,10.05090069777889,40,cap,1,0,0,0.0022248565088667,62.4010191646098,1.0645988586988189,-3.4632870763779167,8.98630183908007,0,0,0,1,True,False
II,321,Huber,L6,v3,300.0,15.0,63.7063593462649,0.954371358544998,40,cap,1,0,0,0.0014490004587842,62.4010191646098,1.0645988586988189,1.3053401816550974,-0.1102275001538207,0,0,0,1,True,False
II,321,Huber,L6,v4,300.0,15.0,64.27282301804907,2.3687461454277208,40,cap,1,0,0,0.0014654242139766,62.4010191646098,1.0645988586988189,1.871803853439268,1.304147286728902,0,0,0,1,True,False
II,321,Patch,L4,v1,100.0,5.0,84.75904294552224,2.0485915568970774,40,cap,1,0,0,0.0338384917024963,84.7608593632579,1.6848128680602887,-0.0018164177356538,0.3637786888367886,0,0,0,1,True,False
II,321,Patch,L4,v2,100.0,5.0,84.73362126185856,0.9765242790155934,40,cap,1,0,0,0.0338436601215419,84.7608593632579,1.6848128680602887,-0.0272381013993339,-0.7082885890446954,0,0,0,1,True,False
II,321,Patch,L4,v3,100.0,5.0,84.89281262923436,1.674048910351145,40,cap,1,0,0,0.0338379814605557,84.7608593632579,1.6848128680602887,0.1319532659764632,-0.010763957709144,0,0,0,1,True,False
II,321,Patch,L4,v4,100.0,5.0,84.51465970913661,1.8051738186018045,26,tol,0,0,0,0.0338378966407253,84.7608593632579,1.6848128680602887,-0.246199654121284,0.1203609505415157,0,0,0,1,True,False
II,321,Patch,L5,v1,200.0,10.0,84.89467490728258,2.583208112424659,40,cap,1,0,0,0.0338429238842182,84.7608593632579,1.6848128680602887,0.1338155440246851,0.8983952443643701,0,0,0,1,True,False
II,321,Patch,L5,v2,200.0,10.0,84.18900491328232,0.937792235706938,40,cap,1,0,0,0.0338838494066262,84.7608593632579,1.6848128680602887,-0.5718544499755751,-0.7470206323533507,0,0,0,1,True,False
II,321,Patch,L5,v3,200.0,10.0,84.90484992919777,1.6994615703543454,40,cap,1,0,0,0.0338379258878034,84.7608593632579,1.6848128680602887,0.1439905659398732,0.0146487022940566,0,0,0,1,True,False
II,321,Patch,L5,v4,200.0,10.0,84.5618683994159,1.9502358758849685,40,cap,1,0,0,0.0338381713896069,84.7608593632579,1.6848128680602887,-0.1989909638419931,0.2654230078246795,0,0,0,1,True,False
II,321,Patch,L6,v1,300.0,15.0,85.17199495559844,3.531034455718864,40,cap,1,0,0,0.033862448548576,84.7608593632579,1.6848128680602887,0.4111355923405426,1.8462215876585752,0,0,0,1,True,False
II,321,Patch,L6,v2,300.0,15.0,109.44127156185598,14.459929135275152,5,boundary,0,0,1,0.0380382941743981,84.7608593632579,1.6848128680602887,24.68041219859809,12.775116267214862,0,1,0,0,True,False
II,321,Patch,L6,v3,300.0,15.0,84.96097633536947,1.6868542755369194,40,cap,1,0,0,0.0338379734961763,84.7608593632579,1.6848128680602887,0.2001169721115729,0.0020414074766306,0,0,0,1,True,False
II,321,Patch,L6,v4,300.0,15.0,84.79045668470188,2.234820921841317,40,cap,1,0,0,0.0338396610104167,84.7608593632579,1.6848128680602887,0.0295973214439868,0.5500080537810283,0,0,0,1,True,False
