method,et_mm,eR_deg,g_corr_gt,J_raw_gt,J_raw_final,iters,traj,order,scan,view,ndist,in_support,nearest_d
M1_raw_p2l,107.10335048973631,1.8079608348785097,0.03572697686133848,0.0070580080492432685,0.004763737282056454,40,iii,16,16,oracle,2.204254425982587,False,2.204254425982587
M2_raw_huber,86.70001374650923,1.7702217016708786,0.02203702180930916,0.0070580080492432685,0.004915646557408807,40,iii,16,16,oracle,2.204254425982587,False,2.204254425982587
M3_global_corr,102.5631626173038,2.1872140376110005,0.03377232484676429,0.0070580080492432685,0.004924958353347624,40,iii,16,16,oracle,2.204254425982587,False,2.204254425982587
M4_patch_corr,85.77096459845447,3.2087503199310343,0.020346111248515136,0.0070580080492432685,0.005118602756472264,40,iii,16,16,oracle,2.204254425982587,False,2.204254425982587
M5_full_corr,57.178004692582924,2.3013351820082852,0.015385660511300182,0.0070580080492432685,0.005536765317480696,35,iii,16,16,oracle,2.204254425982587,False,2.204254425982587
M0_raw_p2p,108.11255800511614,2.4292315695792577,0.04242531067100212,0.007308531975424733,0.005025564350701542,36,iii,17,17,oracle,2.189064482240246,False,2.189064482240246
M1_raw_p2l,104.61611595259124,1.9999369223395025,0.03977035504227099,0.007308531975424733,0.005048187767505367,40,iii,17,17,oracle,2.189064482240246,False,2.189064482240246
M2_raw_huber,86.8668545522539,1.8873870577952871,0.02068314927615902,0.007308531975424733,0.005192426414740011,40,iii,17,17,oracle,2.189064482240246,False,2.189064482240246
M3_global_corr,100.91672683647552,2.427385129254578,0.03273273003676634,0.007308531975424733,0.00521811407973765,36,iii,17,17,oracle,2.189064482240246,False,2.189064482240246
M4_patch_corr,80.62169349496553,3.162386410447993,0.019074261493845,0.007308531975424733,0.005436011189473382,37,iii,17,17,oracle,2.189064482240246,False,2.189064482240246
M5_full_corr,51.157466661556136,1.8848125903932356,0.014209230646584818,0.007308531975424733,0.005829531268415156,34,iii,17,17,oracle,2.189064482240246,False,2.189064482240246
M0_raw_p2p,108.2822085704411,2.5105407048034145,0.0425567587457907,0.007971493368911807,0.0057102886029786965,40,iii,18,18,oracle,2.1742113119785675,False,2.1742113119785675
M1_raw_p2l,104.58145459888233,1.783799327926923,0.041504751730415325,0.007971493368911807,0.005735034776908832,40,iii,18,18,oracle,2.1742113119785675,False,2.1742113119785675
M2_raw_huber,85.4281322230764,1.9476448283857748,0.02038482022304883,0.007971493368911807,0.005891666952595192,40,iii,18,18,oracle,2.1742113119785675,False,2.1742113119785675
M3_global_corr,101.02202095840536,2.5063680212168853,0.03300990267276714,0.007971493368911807,0.005897083966253213,40,iii,18,18,oracle,2.1742113119785675,False,2.1742113119785675
M4_patch_corr,80.03047372859135,3.0737531092764043,0.021393713756971213,0.007971493368911807,0.00607977963540127,33,iii,18,18,oracle,2.1742113119785675,False,2.1742113119785675
M5_full_corr,49.92379669047378,1.678523369686513,0.01509004606920127,0.007971493368911807,0.0064969486307749885,37,iii,18,18,oracle,2.1742113119785675,False,2.1742113119785675
M0_raw_p2p,107.26215443888772,2.8396855927562066,0.03898339515013908,0.007966132149580755,0.005868001680464732,40,iii,19,19,oracle,2.1589186054512313,False,2.1589186054512313
M1_raw_p2l,103.56808730202496,2.425730972421828,0.03140376669273678,0.007966132149580755,0.0059018268209993195,40,iii,19,19,oracle,2.1589186054512313,False,2.1589186054512313
M2_raw_huber,84.58432518488911,2.0269633425747537,0.021127961694896967,0.007966132149580755,0.006035380075772133,40,iii,19,19,oracle,2.1589186054512313,False,2.1589186054512313
M3_global_corr,100.60652471043781,2.8323526469447162,0.03180004917024592,0.007966132149580755,0.006049955834993494,40,iii,19,19,oracle,2.1589186054512313,False,2.1589186054512313
M4_patch_corr,78.84536063366602,3.7930396716603783,0.018262622911496215,0.007966132149580755,0.006233458488233034,40,iii,19,19,oracle,2.1589186054512313,False,2.1589186054512313
M5_full_corr,50.65664876504413,2.1568640841413123,0.013500026918330224,0.007966132149580755,0.006613002786280464,40,iii,19,19,oracle,2.1589186054512313,False,2.1589186054512313
M0_raw_p2p,114.63977429440101,2.879716257093926,0.042389483355833105,0.035079257505072986,0.03263587079368814,37,iii,20,20,oracle,2.143906472226751,False,2.143906472226751
M1_raw_p2l,109.30490467223206,5.6005930277413425,0.042886608992155996,0.035079257505072986,0.03307334559735412,40,iii,20,20,oracle,2.143906472226751,False,2.143906472226751
M2_raw_huber,87.44795794954165,2.121061059489889,0.020779196923271123,0.035079257505072986,0.03292468331509521,40,iii,20,20,oracle,2.143906472226751,False,2.143906472226751
M3_global_corr,107.44192084245111,2.873440910070163,0.03406212262282662,0.035079257505072986,0.032819747640327565,38,iii,20,20,oracle,2.143906472226751,False,2.143906472226751
M4_patch_corr,85.50099287596846,3.495264779345699,0.022749938894181254,0.035079257505072986,0.0329898890035516,37,iii,20,20,oracle,2.143906472226751,False,2.143906472226751
M5_full_corr,62.203891340344654,2.1912936262889415,0.018619239749224727,0.035079257505072986,0.033306618318320165,40,iii,20,20,oracle,2.143906472226751,False,2.143906472226751
M0_raw_p2p,119.51685358289284,3.0762897649632746,0.04720669315744443,0.04057230455085636,0.03781883146846815,39,iii,21,21,oracle,2.128318327822128,False,2.128318327822128
M1_raw_p2l,164.25096528267304,9.154522474533637,0.046204585215293706,0.04057230455085636,0.039126724486011316,2,iii,21,21,oracle,2.128318327822128,False,2.128318327822128
M2_raw_huber,88.07775052952715,2.2961684073319737,0.0214773824651009,0.04057230455085636,0.03818796102526068,40,iii,21,21,oracle,2.128318327822128,False,2.128318327822128
M3_global_corr,111.62310458541775,3.0792789877176276,0.03715285211935336,0.04057230455085636,0.03800667173960807,38,iii,21,21,oracle,2.128318327822128,False,2.128318327822128
M4_patch_corr,89.28714242816233,2.983134685410868,0.02548705899396729,0.04057230455085636,0.038162354168855855,40,iii,21,21,oracle,2.128318327822128,False,2.128318327822128
M5_full_corr,64.34285394413186,2.173184260295688,0.02372184646042425,0.04057230455085636,0.038533161299802644,40,iii,21,21,oracle,2.128318327822128,False,2.128318327822128
M0_raw_p2p,117.45896447390079,3.1525636253378053,0.04812657249734424,0.07098543443795625,0.06811384394103448,38,iii,22,22,oracle,2.1128153223543396,False,2.1128153223543396
M1_raw_p2l,180.85026153809855,11.75171520277515,0.08139074470274074,0.07098543443795625,0.07277473015342213,2,iii,22,22,oracle,2.1128153223543396,False,2.1128153223543396
M2_raw_huber,85.702918063156,2.1739876589839504,0.02353514112185068,0.07098543443795625,0.06860349040661681,40,iii,22,22,oracle,2.1128153223543396,False,2.1128153223543396
M3_global_corr,109.23410182289949,3.1545896922740257,0.03770439550687656,0.07098543443795625,0.06830550750618516,38,iii,22,22,oracle,2.1128153223543396,False,2.1128153223543396
M4_patch_corr,90.42599968628348,3.4721644455507095,0.026289653726696838,0.07098543443795625,0.06839288986569957,40,iii,22,22,oracle,2.1128153223543396,False,2.1128153223543396
M5_full_corr,74.38811730939686,3.434019446622317,0.02470897798478286,0.07098543443795625,0.06869152347638613,33,iii,22,22,oracle,2.1128153223543396,False,2.1128153223543396
M0_raw_p2p,116.92176463526225,3.425820077841311,0.04781772453340883,0.08340736202412721,0.08032306003439195,40,iii,23,23,oracle,2.097227886199678,False,2.097227886199678
M1_raw_p2l,189.85074853291297,14.760525753679946,0.08100844057732487,0.08340736202412721,0.0873559148260907,2,iii,23,23,oracle,2.097227886199678,False,2.097227886199678
M2_raw_huber,84.29357977072004,2.1825094533702587,0.02010748609685232,0.08340736202412721,0.08101231449489803,40,iii,23,23,oracle,2.097227886199678,False,2.097227886199678
M3_global_corr,108.73133259235634,3.422832338982699,0.038919321799080545,0.08340736202412721,0.08052076113855276,40,iii,23,23,oracle,2.097227886199678,False,2.097227886199678
M4_patch_corr,87.25381079683936,3.850564760485407,0.026187008594871632,0.08340736202412721,0.0806004385659064,40,iii,23,23,oracle,2.097227886199678,False,2.097227886199678
M5_full_corr,73.96344719970168,4.323908463721817,0.02655237652481952,0.08340736202412721,0.08088469925627455,40,iii,23,23,oracle,2.097227886199678,False,2.097227886199678
M0_raw_p2p,155.46592294707025,9.564462646249341,0.11439749037062147,0.4624869145300423,0.44893937133672984,23,iii,24,24,oracle,2.081214010144769,False,2.081214010144769
M1_raw_p2l,127.12739437963697,0.0,1.6669840860902871,0.4624869145300423,0.4608790300110828,1,iii,24,24,oracle,2.081214010144769,False,2.081214010144769
M2_raw_huber,86.04486241637271,2.2218685868670844,0.034132118309781266,0.4624869145300423,0.45746016597386235,40,iii,24,24,oracle,2.081214010144769,False,2.081214010144769
M3_global_corr,141.612007308484,9.558587620288366,0.10422804963976369,0.4624869145300423,0.4491552795547873,22,iii,24,24,oracle,2.081214010144769,False,2.081214010144769
M4_patch_corr,135.72681255555804,9.072282815866659,0.09359718321178925,0.4624869145300423,0.4492403874281772,40,iii,24,24,oracle,2.081214010144769,False,2.081214010144769
M5_full_corr,140.29535998221772,14.69544462721455,0.09071209992701051,0.4624869145300423,0.450449027471967,40,iii,24,24,oracle,2.081214010144769,False,2.081214010144769
M0_raw_p2p,189.40522367533208,11.550522557873434,0.16448946799716913,0.7355039080717479,0.7111900371294606,23,iii,25,25,oracle,2.0656191546373703,False,2.0656191546373703
M1_raw_p2l,103.81758273957436,0.0,2.2546121959690457,0.7355039080717479,0.7340175740191573,1,iii,25,25,oracle,2.0656191546373703,False,2.0656191546373703
M2_raw_huber,85.1760085159787,2.033907196354416,0.04230850498358734,0.7355039080717479,0.7284846036671933,40,iii,25,25,oracle,2.0656191546373703,False,2.0656191546373703
