kind,form,real,g_gt,et_mm,eR_deg,J_gt,J_star,dJ,iters,traj,order,scan,ndist,in_support,block,n
p2l,ls,1,0.04914784438063155,117.36886898895364,2.1889730447321307,0.007578256239751232,0.004935789138559951,0.002642467101191281,40,iii,8,8,2.336853298356153,False,0,9610
p2l,ls,0,4.909180148901867e-06,0.0,0.0,,0.0,,2,iii,8,8,2.336853298356153,False,0,9610
p2l,huber,1,0.022515724723583104,90.54890680910023,1.097091325226997,0.0020395125713786716,0.0011895196466966556,0.000849992924682016,40,iii,8,8,2.336853298356153,False,0,9610
p2l,huber,0,2.45459007445076e-06,0.0,0.0,,0.0,,2,iii,8,8,2.336853298356153,False,0,9610
p2l,trim,1,0.025313261924606815,83.03638246862191,0.8129161145244352,0.0015534752323438624,0.000413077599509311,0.0011403976328345513,21,iii,8,8,2.336853298356153,False,0,9610
p2l,trim,0,6.196597186732904e-06,0.0,0.0,,0.0,,2,iii,8,8,2.336853298356153,False,0,9610
p2p,ls,1,0.04885971321164376,112.47938224994843,2.0635590381319826,0.008105999182919276,0.00535009290989447,0.0027559062730248057,40,iii,9,9,2.319184343424167,False,0,9940
p2p,ls,0,1.4495334906302847e-05,9.477688342229655e-14,1.545844616163747e-14,,1.605705972582333e-31,,2,iii,9,9,2.319184343424167,False,0,9940
p2p,huber,1,0.02588964792174834,91.00585152692372,1.46845917908086,0.0022359023813533813,0.0013439549407063016,0.0008919474406470797,40,iii,9,9,2.319184343424167,False,0,9940
p2p,huber,0,7.24766745315135e-06,9.477688342229655e-14,1.545844616163747e-14,,1.605705972582333e-31,,2,iii,9,9,2.319184343424167,False,0,9940
p2p,trim,1,0.027721844705991493,84.2438338184292,1.2032897538105836,0.0017870289274452417,0.0005373749669351297,0.0012496539605101119,40,iii,9,9,2.319184343424167,False,0,9940
p2p,trim,0,1.7942699374280838e-05,4.057408444363959e-14,1.543486116599205e-14,,1.226963596837195e-31,,2,iii,9,9,2.319184343424167,False,0,9940
p2l,ls,1,0.046407567566974096,115.13286852184841,2.3644625361963505,0.007342659278352675,0.004968719502447644,0.0023739397759050306,40,iii,9,9,2.319184343424167,False,0,9940
p2l,ls,0,1.1019462378678904e-05,0.0,0.0,,0.0,,2,iii,9,9,2.319184343424167,False,0,9940
p2l,huber,1,0.021754056953222238,89.74485351860997,1.1638471604659832,0.0019287558496247407,0.001159816820898639,0.0007689390287261017,40,iii,9,9,2.319184343424167,False,0,9940
p2l,huber,0,5.509731189339552e-06,0.0,0.0,,0.0,,2,iii,9,9,2.319184343424167,False,0,9940
p2l,trim,1,0.02223699881581522,82.98246696203275,0.7670954118096138,0.0014176721364947944,0.0004077481317025979,0.0010099240047921965,25,iii,9,9,2.319184343424167,False,0,9940
p2l,trim,0,1.2898816870340622e-05,0.0,0.0,,0.0,,2,iii,9,9,2.319184343424167,False,0,9940
p2p,ls,1,0.045101064662593664,106.04362609930821,1.9735489071152812,0.007954448017299186,0.005533208608361647,0.0024212394089375387,40,iii,10,10,2.301165328404146,False,0,10292
p2p,ls,0,2.5805555830154406e-05,3.46971799190965e-14,7.492205822199805e-16,,3.0448116432248045e-32,,2,iii,10,10,2.301165328404146,False,0,10292
p2p,huber,1,0.02301836314782009,86.74570309961723,1.4465804322039753,0.0021021581799028225,0.0012769690746483042,0.0008251891052545183,40,iii,10,10,2.301165328404146,False,0,10292
p2p,huber,0,1.2902777915077357e-05,3.46971799190965e-14,7.492205822199805e-16,,3.0448116432248045e-32,,2,iii,10,10,2.301165328404146,False,0,10292
p2p,trim,1,0.025370662365323732,81.23748105577985,1.0800306585382893,0.001634235630221646,0.0005093434464207796,0.0011248921838008666,40,iii,10,10,2.301165328404146,False,0,10292
p2p,trim,0,3.201646448101806e-05,6.401789222147867e-14,6.234506682449875e-15,,3.982206281378528e-32,,2,iii,10,10,2.301165328404146,False,0,10292
p2l,ls,1,0.03976085691246085,106.8866679055332,2.3012326850870415,0.007244507357979246,0.005131441964067633,0.0021130653939116133,40,iii,10,10,2.301165328404146,False,0,10292
p2l,ls,0,8.25927379034728e-06,0.0,0.0,,0.0,,2,iii,10,10,2.301165328404146,False,0,10292
p2l,huber,1,0.01885543711549148,85.86839868899101,1.1226820512280034,0.0018249079786009448,0.0011431510120094987,0.0006817569665914461,40,iii,10,10,2.301165328404146,False,0,10292
p2l,huber,0,4.129636895173552e-06,0.0,0.0,,0.0,,2,iii,10,10,2.301165328404146,False,0,10292
p2l,trim,1,0.019330940798897498,80.55827788863488,0.8200185187153037,0.0012999773832617246,0.00038699503488477715,0.0009129823483769474,40,iii,10,10,2.301165328404146,False,0,10292
p2l,trim,0,7.457677295940168e-06,0.0,0.0,,0.0,,2,iii,10,10,2.301165328404146,False,0,10292
p2p,ls,1,0.0451671773194279,108.94247805636788,2.0421062817126576,0.00788249679459827,0.005471241248260056,0.0024112555463382144,40,iii,11,11,2.2837240170447473,False,0,10694
p2p,ls,0,5.885427173072766e-06,1.3756094656547374e-13,1.2976783873937596e-13,,2.45782690580133e-30,,2,iii,11,11,2.2837240170447473,False,0,10694
p2p,huber,1,0.023622728112637964,87.43634075108186,1.4494034572563337,0.002094040834815873,0.0013666350624878503,0.0007274057723280225,40,iii,11,11,2.2837240170447473,False,0,10694
p2p,huber,0,2.9427135865364647e-06,1.3756094656547374e-13,1.2976783873937596e-13,,2.45782690580133e-30,,2,iii,11,11,2.2837240170447473,False,0,10694
p2p,trim,1,0.024883179508490925,80.56617690355068,1.097177767972152,0.0016238287903998338,0.0005595166949294484,0.0010643120954703855,40,iii,11,11,2.2837240170447473,False,0,10694
p2p,trim,0,6.454402463025991e-06,4.57980139313838e-14,6.437472238597694e-15,,3.984300703258444e-32,,2,iii,11,11,2.2837240170447473,False,0,10694
p2l,ls,1,0.04363079695699161,107.90517361379007,2.1009565062432394,0.007222736221344752,0.005046843664337725,0.002175892557007027,40,iii,11,11,2.2837240170447473,False,0,10694
p2l,ls,0,3.921688432059294e-06,0.0,0.0,,0.0,,2,iii,11,11,2.2837240170447473,False,0,10694
p2l,huber,1,0.02012315961644078,86.20046076721836,1.1383336339783954,0.0018626372858483765,0.0012344557185087514,0.0006281815673396252,26,iii,11,11,2.2837240170447473,False,0,10694
p2l,huber,0,1.9608442160296138e-06,0.0,0.0,,0.0,,2,iii,11,11,2.2837240170447473,False,0,10694
p2l,trim,1,0.02003006546448495,80.38804075265926,0.7473753125570572,0.0013173643803618036,0.0004313946370883994,0.0008859697432734042,21,iii,11,11,2.2837240170447473,False,0,10694
p2l,trim,0,4.400370888152372e-06,0.0,0.0,,0.0,,2,iii,11,11,2.2837240170447473,False,0,10694
p2p,ls,1,0.07224141525640912,129.55552025904993,6.646681966282603,0.16146286823531023,0.1555607390442992,0.0059021291910110185,40,iii,12,12,2.2665960894290764,False,0,10857
p2p,ls,0,2.0890178021731157e-05,9.819209125020509e-14,8.335880306176796e-15,,2.047197564623716e-31,,2,iii,12,12,2.2665960894290764,False,0,10857
p2p,huber,1,0.029278768185959588,87.09802279269259,1.5137117046934125,0.0028068336856704747,0.001979845974579969,0.0008269877110905059,40,iii,12,12,2.2665960894290764,False,0,10857
p2p,huber,0,1.0445089010865618e-05,9.819209125020509e-14,8.335880306176796e-15,,2.047197564623716e-31,,2,iii,12,12,2.2665960894290764,False,0,10857
p2p,trim,1,0.024125331997022048,79.64087951671709,1.193952763044103,0.0016255038689127932,0.0006293034920830821,0.0009962003768297111,40,iii,12,12,2.2665960894290764,False,0,10857
p2p,trim,0,2.5927801100624867e-05,3.657346759178978e-14,7.61476721337854e-15,,1.5762330676173557e-31,,2,iii,12,12,2.2665960894290764,False,0,10857
p2l,ls,1,0.14739174321249923,143.4117107468336,0.0,0.06261231388924414,,,1,iii,12,12,2.2665960894290764,False,0,10857
p2l,ls,0,7.3266162007481035e-06,0.0,0.0,,0.0,,2,iii,12,12,2.2665960894290764,False,0,10857
p2l,huber,1,0.02479135710291784,85.92249743733048,1.2893718753533694,0.0022527966445914194,0.001597533152960244,0.0006552634916311753,28,iii,12,12,2.2665960894290764,False,0,10857
p2l,huber,0,3.6633081003740543e-06,0.0,0.0,,0.0,,2,iii,12,12,2.2665960894290764,False,0,10857
p2l,trim,1,0.02000943168038552,78.20495007484121,0.9068002140336245,0.0013243699538384697,0.0004916161656304415,0.0008327537882080282,29,iii,12,12,2.2665960894290764,False,0,10857
p2l,trim,0,7.787517410002611e-06,0.0,0.0,,0.0,,2,iii,12,12,2.2665960894290764,False,0,10857
p2p,ls,1,0.055408127093871454,119.9743575973556,3.90612106067359,0.06702258962319846,0.06331118273864329,0.0037114068845551657,40,iii,13,13,2.249650475267596,False,0,11003
p2p,ls,0,8.814732979935376e-06,3.836298902887396e-14,1.488876455186101e-14,,3.469320404651898e-31,,2,iii,13,13,2.249650475267596,False,0,11003
p2p,huber,1,0.027764798897901666,86.6445236595974,1.896335273587657,0.0024562790572749964,0.0017517017144796326,0.0007045773427953638,17,iii,13,13,2.249650475267596,False,0,11003
p2p,huber,0,4.407366489967889e-06,3.836298902887396e-14,1.488876455186101e-14,,3.469320404651898e-31,,2,iii,13,13,2.249650475267596,False,0,11003
p2p,trim,1,0.025214463163749975,82.02733718890964,1.1442911592622533,0.0017008353521878506,0.0006313753291697096,0.0010694600230181412,40,iii,13,13,2.249650475267596,False,0,11003
p2p,trim,0,1.1112650521351702e-05,8.955273674796308e-14,2.192779690444897e-15,,6.333237179455666e-32,,2,iii,13,13,2.249650475267596,False,0,11003
p2l,ls,1,0.07110928793630139,166.65224813683068,12.50163669270193,0.026956623185903274,0.045125799633994025,-0.01816917644809075,4,iii,13,13,2.249650475267596,False,0,11003
p2l,ls,0,6.882181525453083e-06,0.0,0.0,,0.0,,2,iii,13,13,2.249650475267596,False,0,11003
