dataset,condition,metric,value,note
G_GENERALITY,D1_appendage_disp@50mm_p2p,et_median_huber,42.75337415090006,"D1 appendage displacement 50mm dose, p2p, huber loss"
G_GENERALITY,D1_appendage_disp@50mm_p2p,et_median_trim,50.68385125231589,"D1 appendage displacement 50mm dose, p2p, trim loss; TWO-STAGE cross-geometry median (median of per-geometry medians GA/GB/GC), same aggregation as ls/huber rows and dose_response.csv -> rounds to 50.7"
G_GENERALITY,D1_dose_response_ls_p2p,et_median_mag0.0,0.0211242439979239,"D1 appendage displacement dose-response, LS, p2p"
G_GENERALITY,D1_dose_response_ls_p2p,et_median_mag2.0,0.9053625984659606,"D1 appendage displacement dose-response, LS, p2p"
G_GENERALITY,D1_dose_response_ls_p2p,et_median_mag5.0,2.2974478032050936,"D1 appendage displacement dose-response, LS, p2p"
G_GENERALITY,D1_dose_response_ls_p2p,et_median_mag10.0,8.878535614031371,"D1 appendage displacement dose-response, LS, p2p"
G_GENERALITY,D1_dose_response_ls_p2p,et_median_mag25.0,17.564955333848218,"D1 appendage displacement dose-response, LS, p2p"
G_GENERALITY,D1_dose_response_ls_p2p,et_median_mag50.0,39.16299536763985,"D1 appendage displacement dose-response, LS, p2p"
G_GENERALITY,D1_dose_response_ls_p2p,et_median_mag100.0,80.72569505134135,"D1 appendage displacement dose-response, LS, p2p"
G_GENERALITY,D3_dose_response_ls_p2p,et_median_mag0.0,0.0245300768130802,"D3 local surface offset dose-response, LS, p2p"
G_GENERALITY,D3_dose_response_ls_p2p,et_median_mag2.0,0.13162325559037916,"D3 local surface offset dose-response, LS, p2p"
G_GENERALITY,D3_dose_response_ls_p2p,et_median_mag5.0,0.317004148990387,"D3 local surface offset dose-response, LS, p2p"
G_GENERALITY,D3_dose_response_ls_p2p,et_median_mag10.0,0.620566039533851,"D3 local surface offset dose-response, LS, p2p"
G_GENERALITY,D3_dose_response_ls_p2p,et_median_mag25.0,1.58016359530089,"D3 local surface offset dose-response, LS, p2p"
G_GENERALITY,D3_dose_response_ls_p2p,et_median_mag50.0,3.5836471943425097,"D3 local surface offset dose-response, LS, p2p"
G_GENERALITY,D3_dose_response_ls_p2p,et_median_mag100.0,13.845619655957329,"D3 local surface offset dose-response, LS, p2p"
G_GENERALITY,D2_missing_component@f1.0_p2p,et_median_ls,300.0,"D2 fully missing component, p2p, ls; on_bound_frac=0.667"
G_GENERALITY,D2_missing_component@f1.0_p2p,et_median_huber,11.601123869756673,"D2 fully missing component, p2p, huber; on_bound_frac=0.333"
G_GENERALITY,D2_missing_component@f1.0_p2p,et_median_trim,132.74533758092943,"D2 fully missing component, p2p, trim; on_bound_frac=0.433"
